background_names,foreground_names,palettes_names,input_names,input_entropy_mean,input_std_dev_mean,background_entropy,background_stddev,background_num_options,foreground_entropy,foreground_stddev,foreground_num_options,palettes_entropy,palettes_stddev,palettes_num_options,output_entropy_mean,output_stddev,output_num_options,score,
"['quads', 'blooming_petals', 'circles', 'clouds', 'color_cycle', 'diamonds', 'disco_ball', 'fireworks', 'flowers', 'frosted_grid', 'growing_stars', 'higher_power', 'swirl', 'kaleidoscope', 'lasers', 'splatter', 'rainbow', 'ripples_random', 'ripples', 'snowflakes', 'text', 'galaxy', 'sparkles', 'spiral', 'disco', 'squiggles', 'starburst', 'stars', 'music_wave', 'entropy', 'deviation']","['bubbles', 'hearts_colorful', 'confetti', 'emojis', 'hearts_red', 'music_notes', 'paint_drip', 'pineapples', 'pizzas', 'smiling_poop', 'rain', 'floating_rainbows', 'smile_face', 'spotlight', 'color_lights', 'exploding_stars', 'raining_tacos', 'entropy', 'deviation']","['autumn', 'rave', 'cool', 'electronic', 'grayscale', 'iceCream', 'default', 'neon', 'ocean', 'rainbow', 'roses', 'sky', 'spring', 'summer', 'sunrise', 'sunset', 'tropical', 'twinkling', 'vintage', 'warm', 'winter', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",0.957,0.038,0.834160525,381.2918484,19,0.87408504,362.0447881,15,0.81703446,410.1088808,18,0.842,384.482,52,0.043,Staging/Ada
"['moving shapes', 'flower petals', 'pulse', 'clouds', 'solid colors', 'diamonds', 'disco', 'firework', 'flowers', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'hearts', 'confetti', 'emojis', 'heart', 'music notes', 'rainbow paint', 'pineapple', 'pizza', 'poop', 'rain', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'stars', 'taco', 'entropy', 'deviation']","['autumn', 'black and white', 'green blue', 'electronic', 'grayscale', 'creamy pastel', 'rainbow pastel', 'neon', 'blue', 'bright rainbow', 'roses', 'pink blue', 'green', 'flower', 'coral', 'purple', 'sweet candy rainbow', 'orange', 'retro', 'red orange', 'icy blue', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",0.957,0.038,0.834160525,,,0.87408504,,,0.81703446,,,0.842,,,0.043,
"['moving shapes', 'flower petals', 'pulse', 'clouds', 'solid colors', 'diamonds', 'disco', 'firework', 'flowers', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'hearts', 'confetti', 'emojis', 'heart', 'music notes', 'rainbow paint', 'pineapple', 'pizza', 'poop', 'rain', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'stars', 'taco', 'entropy', 'deviation']","['autumn', 'black and white', 'green blue', 'electronic', 'grayscale', 'creamy pastel', 'rainbow pastel', 'neon', 'blue', 'bright rainbow', 'roses', 'pink blue', 'green', 'flower', 'coral', 'purple', 'sweet candy rainbow', 'orange', 'retro', 'red orange', 'icy blue', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'angle ruler', 'fast', 'raincloud', 'artist palette with paint', 'cosmic', 'teardrops', 'black-and-white', 'fire', 'snowflake']",0.957,0.039,0.80800598,,,0.848921259,,,0.851841933,,,0.836,,,0.045,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'rainbow paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'creamy pastel ice cream', 'rainbow pastel', 'neon colors', 'blue', 'bright rainbow', 'roses', 'pink blue', 'green', 'flower', 'coral', 'purple', 'sweet candy rainbow', 'orange', 'retro', 'red orange', 'icy blue', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'angle ruler', 'fast', 'raincloud', 'artist palette with paint', 'cosmic', 'teardrops', 'black-and-white', 'fire', 'snowflake']",0.957,0.039,0.787183521,,,0.825907001,,,0.851262065,,,0.821,,,0.045,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'rainbow paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'creamy pastel ice cream', 'rainbow pastel', 'neon colors', 'ocean blue', 'bright rainbow', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy blue winter', 'entropy', 'deviation']","['taco', 'romantic', 'party confetti', 'silly', 'sparkle', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic swirls', 'disco', 'angle ruler', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic', 'tear drops', 'black-and-white', 'fire', 'snowflake']",0.957,0.04,0.801945944,,,0.778049788,,,0.822774176,,,0.801,,,0.048,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'rainbow paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'creamy pastel ice cream', 'rainbow pastel', 'neon colors', 'ocean blue', 'bright rainbow', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy blue winter', 'entropy', 'deviation']","['taco', 'romantic', 'party confetti', 'silly', 'glitter', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'prism', 'robot', 'chaotic swirls', 'disco ball', 'angle ruler', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic', 'tear drops', 'black-and-white', 'warm fire', 'snowflake']",0.957,0.039,0.79306098,,,0.780977612,,,0.789413959,,,0.788,,,0.047,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'rainbow paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'creamy pastel ice cream', 'rainbow pastel', 'neon colors', 'ocean blue', 'bright rainbow', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy blue winter', 'entropy', 'deviation']","['taco', 'romantic', 'party confetti', 'silly', 'glitter', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'flash', 'spectrum', 'robot', 'chaotic swirls', 'disco ball', 'angle protractor', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic rocket', 'tear drops', 'monochromatic newspaper', 'warm fire', 'snowflake']",0.957,0.04,0.807431758,,,0.737965049,,,0.783607289,,,0.776,,,0.049,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'prismatic spectrum', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkling dust', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'prismatic spectrum', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'creamy pastel ice cream', 'rainbow pastel', 'neon colors', 'ocean blue', 'prismatic', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy blue winter', 'entropy', 'deviation']","['taco', 'romantic', 'party confetti', 'silly', 'glitter', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'flash', 'spectrum', 'robot', 'chaotic swirls', 'disco ball', 'angle protractor', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic rocket', 'tear drops', 'monochromatic newspaper', 'warm fire', 'snowflake']",0.957,0.04,0.865958624,,,0.791591427,,,0.837634963,,,0.832,,,0.046,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'prismatic spectrum', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkling dust', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'prismatic', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'ice cream', 'pastels', 'neon colors', 'ocean blue', 'prismatic', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy winter', 'entropy', 'deviation']","['taco', 'romantic', 'party', 'silly', 'glitter', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'flash', 'spectrum', 'robot', 'chaotic swirls', 'disco ball', 'angle protractor', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic rocket', 'tear drops', 'monochromatic newspaper', 'warm fire', 'snowflake']",0.957,0.039,0.866660687,,,0.794944287,,,0.888535477,,,0.85,,,0.044,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'prismatic spectrum', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkling dust', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'prismatic', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'ice cream', 'pastels', 'neon colors', 'ocean blue', 'prismatic', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy winter', 'entropy', 'deviation']","['taco', 'romantic', 'party', 'silly', 'glitter', 'happy', 'magic wand', 'spooky', 'cute', 'funky', 'wavy', 'flash', 'spectrum', 'robot', 'chaotic swirls', 'disco ball', 'angle protractor', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic rocket', 'tear drops', 'monochromatic newspaper', 'warm fire', 'snowflake']",0.957,0.039,0.866660687,246.8763378,26,0.794944287,526.7059268,16,0.888535477,306.3442623,19,0.85,359.976,61,0.04,
"['moving shapes', 'flower petals', 'pulsing ripples on water', 'fluffy clouds floating through sky', 'solid colors', 'diamonds', 'disco ball', 'firework exploding', 'flowers blooming', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope of lights and colors', 'laser beam', 'paint splatter', 'prismatic spectrum', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkling dust', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'colorful hearts', 'confetti', 'emojis', 'red hearts', 'music notes', 'paint drip', 'pineapple', 'pizza', 'poop', 'rain storm', 'prismatic', 'smily face', 'spotlight', 'stage lights', 'exploding stars', 'raining tacos', 'entropy', 'deviation']","['autumn', 'black and white strobe rave', 'green blue cool tones', 'electronic', 'grayscale', 'ice cream', 'pastels', 'neon colors', 'ocean blue', 'prismatic', 'roses', 'pink blue sky', 'monochrome green', 'flower summer', 'coral sunrise', 'purple sunset', 'tropical palm tree', 'orange', 'retro vintage groove', 'red orange warm', 'icy winter', 'entropy', 'deviation']","['taco', 'romantic', 'party', 'guitar', 'glitter', 'happy', 'magic wand', 'ghost', 'cute', 'groovy', 'tidal wave', 'flash', 'spectrum', 'robot', 'chaotic swirls', 'disco ball', 'angle protractor', 'flower bouquet', 'rain cloud', 'artist palette with paint', 'cosmic rocket', 'tear drops', 'monochromatic newspaper', 'warm fire', 'snowflake']",0.957,0.04,0.883538015,222.3193014,27,0.81097353,484.5533875,17,0.87653304,300.8864098,20,0.857,335.92,64,0.042,
"['quads', 'blooming_petals', 'circles', 'clouds', 'color_cycle', 'diamonds', 'disco_ball', 'fireworks', 'flowers', 'frosted_grid', 'growing_stars', 'higher_power', 'swirl', 'kaleidoscope', 'lasers', 'splatter', 'rainbow', 'ripples_random', 'ripples', 'snowflakes', 'text', 'galaxy', 'sparkles', 'spiral', 'disco', 'squiggles', 'starburst', 'stars', 'music_wave', 'entropy', 'deviation']","['bubbles', 'hearts_colorful', 'confetti', 'emojis', 'hearts_red', 'music_notes', 'paint_drip', 'pineapples', 'pizzas', 'smiling_poop', 'rain', 'floating_rainbows', 'smile_face', 'spotlight', 'color_lights', 'exploding_stars', 'raining_tacos', 'entropy', 'deviation']","['autumn', 'rave', 'cool', 'electronic', 'grayscale', 'iceCream', 'default', 'neon', 'ocean', 'rainbow', 'roses', 'sky', 'spring', 'summer', 'sunrise', 'sunset', 'tropical', 'twinkling', 'vintage', 'warm', 'winter', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",#NAME?,0.185,0.786783163,361.4451081,26,0.808826391,480.8970091,16,0.713956621,544.6063066,19,0.77,462.316,61,#NAME?,Spacy
"['quads', 'blooming_petals', 'circles', 'clouds', 'color_cycle', 'diamonds', 'disco_ball', 'fireworks', 'flowers', 'frosted_grid', 'growing_stars', 'higher_power', 'swirl', 'kaleidoscope', 'lasers', 'splatter', 'rainbow', 'ripples_random', 'ripples', 'snowflakes', 'text', 'galaxy', 'sparkles', 'spiral', 'disco', 'squiggles', 'starburst', 'stars', 'music_wave', 'entropy', 'deviation']","['bubbles', 'hearts_colorful', 'confetti', 'emojis', 'hearts_red', 'music_notes', 'paint_drip', 'pineapples', 'pizzas', 'smiling_poop', 'rain', 'floating_rainbows', 'smile_face', 'spotlight', 'color_lights', 'exploding_stars', 'raining_tacos', 'entropy', 'deviation']","['autumn', 'rave', 'cool', 'electronic', 'grayscale', 'iceCream', 'default', 'neon', 'ocean', 'rainbow', 'roses', 'sky', 'spring', 'summer', 'sunrise', 'sunset', 'tropical', 'twinkling', 'vintage', 'warm', 'winter', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",0.957,0.038,0.834160525,381.2918484,19,0.87408504,362.0447881,15,0.81703446,410.1088808,18,0.842,384.482,52,0.043,
"['quads', 'blooming_petals', 'circles', 'clouds', 'color_cycle', 'diamonds', 'disco_ball', 'fireworks', 'flowers', 'frosted_grid', 'growing_stars', 'higher_power', 'swirl', 'kaleidoscope', 'lasers', 'splatter', 'rainbow', 'ripples_random', 'ripples', 'snowflakes', 'text', 'galaxy', 'sparkles', 'spiral', 'disco', 'squiggles', 'starburst', 'stars', 'music_wave', 'entropy', 'deviation']","['bubbles', 'hearts_colorful', 'confetti', 'emojis', 'hearts_red', 'music_notes', 'paint_drip', 'pineapples', 'pizzas', 'smiling_poop', 'rain', 'floating_rainbows', 'smile_face', 'spotlight', 'color_lights', 'exploding_stars', 'raining_tacos', 'entropy', 'deviation']","['autumn', 'rave', 'cool', 'electronic', 'grayscale', 'iceCream', 'default', 'neon', 'ocean', 'rainbow', 'roses', 'sky', 'spring', 'summer', 'sunrise', 'sunset', 'tropical', 'twinkling', 'vintage', 'warm', 'winter', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",0.957,0.039,0.769878147,367.0724445,27,0.82917743,483.5534441,16,0.774372309,442.0867979,20,0.791,430.904,63,0.035,
"['moving shapes', 'flower petals', 'pulse', 'clouds', 'solid colors', 'diamonds', 'disco', 'firework', 'flowers', 'light grid', 'stars', 'groovy shapes', 'swirl', 'kaleidoscope', 'laser beam', 'paint splatter', 'rainbow', 'dots', 'circles', 'snow fall', 'words', 'galaxy', 'sparkles', 'spiral', 'squares', 'squiggles', 'starburst', 'twinkle', 'sound wave', 'entropy', 'deviation']","['bubbles', 'hearts', 'confetti', 'emojis', 'heart', 'music notes', 'rainbow paint', 'pineapple', 'pizza', 'poop', 'rain', 'rainbow', 'smily face', 'spotlight', 'stage lights', 'stars', 'taco', 'entropy', 'deviation']","['autumn', 'black and white', 'green blue', 'electronic', 'grayscale', 'creamy pastel', 'rainbow pastel', 'neon', 'blue', 'bright rainbow', 'roses', 'pink blue', 'green', 'flower', 'coral', 'purple', 'sweet candy rainbow', 'orange', 'retro', 'red orange', 'icy blue', 'entropy', 'deviation']","['poopy', 'romantic', 'party', 'silly', 'sparkle', 'happy', 'magic', 'spooky', 'cute', 'funky', 'wavy', 'lights', 'rainbow', 'robot', 'chaotic', 'disco', 'zen', 'fast', 'evil', 'cold', 'cosmic', 'sad', 'black-and-white', 'warm', 'cool']",0.957,0.039,0.769878147,367.0724445,27,0.82917743,483.5534441,16,0.774372309,442.0867979,20,0.791,430.904,63,0.035,
