error_manifest_object_key,undelivered_batch_object_key,undelivered_batch_position_in_manifest,records_in_batch,records_modified,records_skipped,redelivery_batch_object_key,redelivery_manifest_object_key,redelivery_date_time,redelivery_status,redelivery_status_reason
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-00-58-95571d36-93b2-4077-b302-832c2ce6515b,2024/05/13/23/analysis-events-4-2024-05-13-23-59-56-8ca3bec2-8659-4813-8288-fc301c19cf7b,0,405,69,0,redeliveries/2024/05/13/23/analysis-events-4-2024-05-13-23-59-56-8ca3bec2-8659-4813-8288-fc301c19cf7b,redeliveries/manifests/2024/05/13/23/analysis-events-4-2024-05-13-23-59-56-8ca3bec2-8659-4813-8288-fc301c19cf7b,2024-09-30T22:42:54+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-01-23-ae376ea4-fa43-41b1-bf2c-3c14dc712a26,2024/05/14/00/analysis-events-4-2024-05-14-00-00-21-948968a0-4e27-45fb-a95b-4f6d4479c53e,0,432,66,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-00-21-948968a0-4e27-45fb-a95b-4f6d4479c53e,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-00-21-948968a0-4e27-45fb-a95b-4f6d4479c53e,2024-09-30T22:43:01+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-05-01-9396aad0-b17f-4d23-b289-c620830bde26,2024/05/14/00/analysis-events-4-2024-05-14-00-03-59-9e866189-aa47-4020-ba5f-fd3b8dd02843,0,376,78,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-03-59-9e866189-aa47-4020-ba5f-fd3b8dd02843,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-03-59-9e866189-aa47-4020-ba5f-fd3b8dd02843,2024-09-30T22:43:05+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-05-27-2b98cb6e-16a0-46bf-ab63-be925c361b45,2024/05/14/00/analysis-events-4-2024-05-14-00-04-23-c9d14af9-f877-42fe-a754-34cc45899d9c,0,381,75,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-04-23-c9d14af9-f877-42fe-a754-34cc45899d9c,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-04-23-c9d14af9-f877-42fe-a754-34cc45899d9c,2024-09-30T22:43:08+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-12-32-dc7db924-3e86-4a32-9c34-1a698f780bc3,2024/05/14/00/analysis-events-4-2024-05-14-00-11-30-1cd1b1ac-4771-4451-9e6d-c3c9b9b9f95c,0,419,74,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-11-30-1cd1b1ac-4771-4451-9e6d-c3c9b9b9f95c,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-11-30-1cd1b1ac-4771-4451-9e6d-c3c9b9b9f95c,2024-09-30T22:43:14+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-14-07-d804e917-2416-47dd-b409-a17e6b7d4467,2024/05/14/00/analysis-events-4-2024-05-14-00-13-05-18ecdccc-8082-48c3-9afa-ff802c25befc,0,532,99,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-13-05-18ecdccc-8082-48c3-9afa-ff802c25befc,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-13-05-18ecdccc-8082-48c3-9afa-ff802c25befc,2024-09-30T22:43:16+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-17-35-e922c2f1-850f-4c67-8dc9-c3dee6b90bbc,2024/05/14/00/analysis-events-4-2024-05-14-00-16-33-8f984cdf-ec21-490b-b76f-99986b479dc1,0,493,83,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-16-33-8f984cdf-ec21-490b-b76f-99986b479dc1,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-16-33-8f984cdf-ec21-490b-b76f-99986b479dc1,2024-09-30T22:43:20+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-27-19-7157aba7-4382-4026-b5f0-9b6c10067a31,2024/05/14/00/analysis-events-4-2024-05-14-00-26-17-75870f2c-a35d-4bc6-8bf6-449c7ee91015,0,482,90,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-26-17-75870f2c-a35d-4bc6-8bf6-449c7ee91015,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-26-17-75870f2c-a35d-4bc6-8bf6-449c7ee91015,2024-09-30T22:43:22+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-30-41-e0128531-0665-4179-84d3-b51a4f217f1a,2024/05/14/00/analysis-events-4-2024-05-14-00-29-39-870e4be5-d20e-486e-8d6b-f0888b498463,0,439,70,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-29-39-870e4be5-d20e-486e-8d6b-f0888b498463,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-29-39-870e4be5-d20e-486e-8d6b-f0888b498463,2024-09-30T22:43:23+00:00,true,
errors/manifests/2024/05/14/00/analysis-events-2024-05-14-00-37-46-2a91a2d6-8a6e-4da7-86d0-529f3c9de60d,2024/05/14/00/analysis-events-4-2024-05-14-00-36-44-d52e69e9-9f34-4f15-b16a-f1d35d2cf1e6,0,612,144,0,redeliveries/2024/05/14/00/analysis-events-4-2024-05-14-00-36-44-d52e69e9-9f34-4f15-b16a-f1d35d2cf1e6,redeliveries/manifests/2024/05/14/00/analysis-events-4-2024-05-14-00-36-44-d52e69e9-9f34-4f15-b16a-f1d35d2cf1e6,2024-09-30T22:43:25+00:00,true,
