suite	files	tests	assertions	failures	errors	skips	wall_s
apps	1138	10793	0	0	0	8	331
dashboard/models	200	3409	8212	0	0	30	647
dashboard/controllers	204	4307	13405	3	0	21	2492
dashboard/lib	153	1490	9349	3	0	0	298
dashboard/helpers	47	703	4170	0	0	0	167
dashboard/jobs	16	161	533	0	0	0	74
dashboard/mailers	14	46	161	0	0	0	54
dashboard/serializers	6	33	76	0	0	0	54
dashboard/config	5	28	82	0	0	0	47
dashboard/dsl	2	15	43	0	0	0	51
dashboard/app	1	0	0	0	0	0	46
dashboard/testing	2	NA	NA	NA	NA	NA	2
dashboard/integration	48	436	2306	0	0	2	182
lib	86	792	2504	2	0	2	514
shared	21	112	192864	1	6	0	117
