Split Key Concept,Original Key Concept
Multiple Sprites - Creation,Multiple Sprites
Multiple Sprites - Updated Properties,Multiple Sprites
Program Sequence,Program Sequence
Program Sequence - Draw Loop,Program Sequence
Elements Used - Number of Items,Position and Movement
Elements Used - Coordinate System,Position and Movement
Elements Used - Movement,Position and Movement
Variables - Number Used,Variables
Variables - Counter Pattern,Variables
User Input,User Input
Conditionals - Number,Conditionals and Variables
Conditionals - Variable,Conditionals and Variables
