nces_id,ai_code,name,city,state,zip,num_teachers,num_students
10001200874,10465,BOAZ HIGH SCH,BOAZ,AL,35957,1,10
10012001472,10175,ATHENS HIGH SCH,ATHENS,AL,35611,1,36
10019001183,12485,THOMPSON HIGH SCHOOL,ALABASTER,AL,35007,1,15
10024000048,12220,PRATTVILLE HIGH SCH,PRATTVILLE,AL,36067,1,49
10027000641,11334,GULF SHORES HIGH SCH,GULF SHORES,AL,36542,1,23
10027001784,11140,FOLEY HIGH SCH,FOLEY,AL,36535,1,18
10039000176,10355,RAMSAY HIGH SCH,BIRMINGHAM,AL,35205,1,30
10081000327,11512,ZION CHAPEL HIGH SCH,JACK,AL,36346,1,8
10129000468,11758,STANHOPE ELMORE HIGH SCH,MILLBROOK,AL,36054,1,13
10129000471,12835,WETUMPKA HIGH SCH,WETUMPKA,AL,36092,1,9
10132000476,10980,ENTERPRISE HIGH SCH,ENTERPRISE,AL,36330,1,14
10144000516,11055,FAIRFIELD HIGH PREPARATORY SCH,FAIRFIELD,AL,35064,1,18
10153000528,11126,FLORENCE HIGH SCH,FLORENCE,AL,35630,1,44
10192000917,,JEFFERSON CO IBS,IRONDALE,AL,35210,1,21
10201000764,11568,BROOKS HIGH SCH,KILLEN,AL,35645,1,8
10207000791,10445,BEULAH HIGH SCH,VALLEY,AL,36854,1,16
10237001688,12615,THEODORE HIGH SCH,THEODORE,AL,36582,1,11
10243001457,11877,BREWBAKER TECH MAGNET HIGH SCH,MONTGOMERY,AL,36116,1,44
10243002203,,MONTGOMERY TECHNICAL EDUCATION CENTER,MONTGOMERY,AL,36108,1,6
10291001142,12352,RUSSELLVILLE HIGH SCH,RUSSELLVILLE,AL,35653,1,6
10300001164,12455,SHEFFIELD HIGH SCH,SHEFFIELD,AL,35660,1,18
10303001189,10408,OAK MT HIGH SCH,BIRMINGHAM,AL,35242,1,81
10309002201,12855,SUMTER CENTRAL HIGH SCH,YORK,AL,36925,1,15
10318001213,20228,CHILDERSBURG HIGH SCH,CHILDERSBURG,AL,35044,1,14
10318001220,20049,MUNFORD HIGH SCH,MUNFORD,AL,36268,1,14
10339000052,20243,HILLCREST HIGH SCH,TUSCALOOSA,AL,35405,1,44
40146000081,30417,BUENA HIGH SCHOOL,SIERRA VISTA,AZ,85635,1,7
40593000488,30316,NORTH CANYON HIGH SCHOOL,PHOENIX,AZ,85024,1,16
40593001553,30287,PARADISE VALLEY HIGH SCHOOL,PHOENIX,AZ,85032,1,21
60002807222,53539,CHAPARRAL HIGH,TEMECULA,CA,92591,1,55
60002808564,53643,TEMECULA PREPARATORY,WINCHESTER,CA,92596,1,9
60002809499,53499,TEMECULA VALLEY HIGH,TEMECULA,CA,92592,1,26
60002811038,53880,GREAT OAK HIGH,TEMECULA,CA,92592,1,34
60162000010,54791,CERRITOS HIGH,CERRITOS,CA,90703,1,74
60263000169,52017,ANAHEIM HIGH,ANAHEIM,CA,92805,1,20
60263000172,53792,CYPRESS HIGH,CYPRESS,CA,90630,1,39
60263000180,51162,LOARA HIGH,ANAHEIM,CA,92804,1,24
60263007580,59578,OXFORD ACADEMY,CYPRESS,CA,90630,1,26
60962000975,52763,CENTENNIAL HIGH,COMPTON,CA,90222,1,19
60985004959,51932,SANTIAGO HIGH,CORONA,CA,92881,1,21
61005001105,52562,SOUTH HILLS HIGH,WEST COVINA,CA,91723,1,28
