Name,Min Life Span,Max Life Span,Min Weight,Max Weight,Temperament,Origin,Intelligence,Shedding Level,Hypoallergenic,Image URL
Abyssinian,14,15,7,10,"Active, Energetic, Independent, Intelligent, Gentle",Egypt,5,2,0,https://cdn2.thecatapi.com/images/unPP08xOZ.jpg
Aegean,9,12,7,10,"Affectionate, Social, Intelligent, Playful, Active",Greece,3,3,0,https://cdn2.thecatapi.com/images/h19-vtIeX.jpg
American Bobtail,11,15,7,16,"Intelligent, Interactive, Lively, Playful, Sensitive",United States,5,3,0,https://cdn2.thecatapi.com/images/gVrhv_yAY.jpg
American Curl,12,16,5,10,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",United States,3,3,0,https://cdn2.thecatapi.com/images/zeKI28A21.jpg
American Shorthair,15,17,8,15,"Active, Curious, Easy Going, Playful, Calm",United States,3,3,0,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg
American Wirehair,14,18,8,15,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",United States,3,1,0,https://cdn2.thecatapi.com/images/Q6TDnfM_O.jpg
Arabian Mau,12,14,8,16,"Affectionate, Agile, Curious, Independent, Playful, Loyal",United Arab Emirates,3,1,0,https://cdn2.thecatapi.com/images/mnD88Lsjd.jpg
Australian Mist,12,16,7,15,"Lively, Social, Fun-loving, Relaxed, Affectionate",Australia,4,3,0,https://cdn2.thecatapi.com/images/weHGBmpb0.jpg
Balinese,10,15,4,10,"Affectionate, Intelligent, Playful",United States,5,3,1,https://cdn2.thecatapi.com/images/DBmIBhhyv.jpg
Bambino,12,14,4,9,"Affectionate, Lively, Friendly, Intelligent",United States,5,1,0,https://cdn2.thecatapi.com/images/MizM7dBMU.jpg
Bengal,12,15,6,12,"Alert, Agile, Energetic, Demanding, Intelligent",United States,5,3,1,https://cdn2.thecatapi.com/images/bz15V3Kvg.jpg
Birman,14,15,6,15,"Affectionate, Active, Gentle, Social",France,3,3,0,https://cdn2.thecatapi.com/images/TzyZJUeIM.jpg
Bombay,12,16,6,11,"Affectionate, Dependent, Gentle, Intelligent, Playful",United States,5,3,0,https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg
British Longhair,12,14,8,18,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",United Kingdom,5,1,0,https://cdn2.thecatapi.com/images/re7uO34hz.jpg
British Shorthair,12,17,12,20,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",United Kingdom,3,4,0,https://cdn2.thecatapi.com/images/utX9jo5EO.jpg
Burmese,15,16,6,12,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",Burma,5,3,1,https://cdn2.thecatapi.com/images/hj7Oh-SRY.jpg
Burmilla,10,15,6,13,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",United Kingdom,3,3,0,https://cdn2.thecatapi.com/images/J4Jv10E7O.jpg
California Spangled,10,14,10,15,"Affectionate, Curious, Intelligent, Loyal, Social",United States,5,1,0,https://cdn2.thecatapi.com/images/B1ERTmgph.jpg
Chantilly-Tiffany,14,16,7,12,"Affectionate, Demanding, Interactive, Loyal",United States,5,5,0,https://cdn2.thecatapi.com/images/E4j4aBDx9.jpg
Chartreux,12,15,6,15,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",France,4,3,1,https://cdn2.thecatapi.com/images/K3eHRIQXM.jpg
Chausie,12,14,7,15,"Affectionate, Intelligent, Playful, Social",Egypt,5,3,0,https://cdn2.thecatapi.com/images/r0s90j0I8.jpg
Cheetoh,12,14,8,15,"Affectionate, Gentle, Intelligent, Social",United States,5,1,0,https://cdn2.thecatapi.com/images/BjIppqbNI.jpg
