Name,Breed Group,Bred For,Min Life Span,Max Life Span,Min Height,Max Height,Min Weight,Max Weight,Temperament,Image URL
Affenpinscher,Toy,"Small rodent hunting, lapdog",10,12,9,11.5,6,13,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg
Afghan Hound,Hound,Coursing and hunting,10,13,25,27,50,60,"Aloof, Clownish, Dignified, Independent, Happy",https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg
Airedale Terrier,Terrier,"Badger, otter hunting",10,13,21,23,40,65,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",https://cdn2.thedogapi.com/images/PG8UPLSVU.jpg
Akbash Dog,Working,Sheep guarding,10,12,28,34,90,120,"Loyal, Independent, Intelligent, Brave",https://cdn2.thedogapi.com/images/SyfsC19NQ_1280.jpg
Akita,Working,Hunting bears,10,14,24,28,65,115,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",https://cdn2.thedogapi.com/images/36TXlWMDf.jpg
Alapaha Blue Blood Bulldog,Mixed,Guarding,12,13,18,24,55,90,"Loving, Protective, Trainable, Dutiful, Responsible",https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
Alaskan Husky,Mixed,Sled pulling,10,13,23,26,38,50,"Friendly, Energetic, Loyal, Gentle, Confident",https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
Alaskan Malamute,Working,"Hauling heavy freight, Sled pulling",12,15,23,25,65,100,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",https://cdn2.thedogapi.com/images/GhtSdrW29.jpg
American Eskimo Dog,Non-Sporting,Circus performer,12,15,15,19,20,40,"Friendly, Alert, Reserved, Intelligent, Protective",https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg
American Foxhound,Hound,"Fox hunting, scent hound",8,15,21,28,65,75,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",https://cdn2.thedogapi.com/images/uISezUGDV.jpg
American Pit Bull Terrier,Terrier,Fighting,10,15,17,21,30,60,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",https://cdn2.thedogapi.com/images/HkC31gcNm_1280.png
American Water Spaniel,Sporting,Bird flushing and retrieving,10,12,15,18,25,45,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg
Anatolian Shepherd Dog,Working,Livestock herding,11,13,27,29,80,150,"Steady, Bold, Independent, Confident, Intelligent, Proud",https://cdn2.thedogapi.com/images/BJT0Jx5Nm_1280.jpg
Australian Kelpie,Herding,"Farm dog, Cattle herding",10,13,17,20,31,46,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",https://cdn2.thedogapi.com/images/Hyq1ge9VQ_1280.jpg
Australian Shepherd,Herding,Sheep herding,12,16,18,23,35,65,"Good-natured, Affectionate, Intelligent, Active, Protective",https://cdn2.thedogapi.com/images/B1-llgq4m_1280.jpg
Azawakh,Hound,"Livestock guardian, hunting",10,13,23,29,33,55,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg
Basenji,Hound,Hunting,10,12,16,17,22,24,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",https://cdn2.thedogapi.com/images/H1dGlxqNQ_1280.jpg
Basset Bleu de Gascogne,Hound,Hunting on foot.,10,14,13,15,35,40,"Affectionate, Lively, Agile, Curious, Happy, Active",https://cdn2.thedogapi.com/images/BkMQll94X_1280.jpg
Beagle,Hound,"Rabbit, hare hunting",13,16,13,15,20,35,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",https://cdn2.thedogapi.com/images/Syd4xxqEm_1280.jpg
Beauceron,Herding,"Boar herding, hunting, guarding",10,12,24,27.5,80,110,"Fearless, Friendly, Intelligent, Protective, Calm",https://cdn2.thedogapi.com/images/HJQ8ge5V7_1280.jpg
Bedlington Terrier,Terrier,"Killing rat, badger, other vermin",14,16,15,16,17,23,"Affectionate, Spirited, Intelligent, Good-tempered",https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg
Belgian Malinois,Herding,Stock herding,12,14,22,26,40,80,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",https://cdn2.thedogapi.com/images/r1f_ll5VX_1280.jpg
Belgian Tervuren,Herding,"Guarding, Drafting, Police work.",10,12,22,26,40,65,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",https://cdn2.thedogapi.com/images/B1KdxlcNX_1280.jpg
Bernese Mountain Dog,Working,Draft work,7,10,23,27.5,65,120,"Affectionate, Loyal, Intelligent, Faithful",https://cdn2.thedogapi.com/images/S1fFlx5Em_1280.jpg
Black and Tan Coonhound,Hound,"Hunting raccoons, night hunting",10,12,23,27,65,100,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg
Bloodhound,Hound,Trailing,8,10,23,27,80,110,"Stubborn, Affectionate, Gentle, Even Tempered",https://cdn2.thedogapi.com/images/Skdcgx9VX_1280.jpg
Bluetick Coonhound,Hound,Hunting with a superior sense of smell.,12,14,21,27,45,80,"Friendly, Intelligent, Active",https://cdn2.thedogapi.com/images/rJxieg9VQ_1280.jpg
Boerboel,Working,"Guarding the homestead, farm work.",10,12,22,27,110,200,"Obedient, Confident, Intelligent, Dominant, Territorial",https://cdn2.thedogapi.com/images/HyOjge5Vm_1280.jpg
Border Terrier,Terrier,"Fox bolting, ratting",12,14,11,16,11.5,15.5,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",https://cdn2.thedogapi.com/images/HJOpge9Em_1280.jpg
Boston Terrier,Non-Sporting,"Ratting, Companionship",11,13,16,17,10,25,"Friendly, Lively, Intelligent",https://cdn2.thedogapi.com/images/rkZRggqVX_1280.jpg
Bouvier des Flandres,Herding,Cattle herding,10,15,23.5,27.5,70,110,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",https://cdn2.thedogapi.com/images/Byd0xl5VX_1280.jpg
Boxer,Working,"Bull-baiting, guardian",8,10,21.5,25,50,70,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",https://cdn2.thedogapi.com/images/ry1kWe5VQ_1280.jpg
Boykin Spaniel,Sporting,Turkey retrieving,10,14,14,18,25,40,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",https://cdn2.thedogapi.com/images/ryHJZlcNX_1280.jpg
Bracco Italiano,Sporting,Versatile gun dog,10,12,21.5,26.5,55,88,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",https://cdn2.thedogapi.com/images/S13yZg5VQ_1280.jpg
Briard,Herding,"Herding, guarding sheep",10,12,22,27,70,90,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",https://cdn2.thedogapi.com/images/rkVlblcEQ_1280.jpg
Brittany,Sporting,"Pointing, retrieving",12,14,17.5,20.5,30,45,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",https://cdn2.thedogapi.com/images/HJWZZxc4X_1280.jpg
Bullmastiff,Working,Estate guardian,8,12,24,27,100,130,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",https://cdn2.thedogapi.com/images/r1ifZl5E7_1280.jpg
Cairn Terrier,Terrier,"Bolting of otter, foxes, other vermin",14,15,9,10,13,14,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",https://cdn2.thedogapi.com/images/Sk7Qbg9E7_1280.jpg
Cane Corso,Working,"Companion, guard dog, and hunter",10,11,23.5,27.5,88,120,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg
Cardigan Welsh Corgi,Herding,Cattle droving,12,14,10.5,12.5,25,38,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg
Catahoula Leopard Dog,Herding,Driving livestock,10,12,20,26,50,95,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",https://cdn2.thedogapi.com/images/BJcNbec4X_1280.jpg
Caucasian Shepherd (Ovcharka),Working,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",10,12,24,33.5,80,100,"Alert, Quick, Dominant, Powerful, Calm, Strong",https://cdn2.thedogapi.com/images/r1rrWe5Em_1280.jpg
Cavalier King Charles Spaniel,Toy,"Flushing small birds, companion",10,14,12,13,13,18,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg
