State,Code,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution URL,State Flag URL,State Seal URL,Map URL,Landscape Background URL,Skyline Background URL,Twitter,Facebook,Area (Square Miles),Median Household Income (USD),Percent of Population in Poverty,Violent Crimes per Thousand People 2018,Percent Adult with Bachelors Degree
Alabama,AL,Yellowhammer State,http://www.alabama.gov,1819,22,Montgomery,http://www.montgomeryal.gov,4833722,23,http://alisondb.legislature.state.al.us/alison/default.aspx,https://cdn.civil.services/us-states/flags/alabama-large.png,https://cdn.civil.services/us-states/seals/alabama-large.png,https://cdn.civil.services/us-states/maps/alabama-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alabama.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alabama.jpg,https://twitter.com/alabamagov,https://www.facebook.com/alabamagov,52420.07,46472,16.0,8.849557522,24.5
Alaska,AK,The Last Frontier,http://alaska.gov,1959,49,Juneau,http://www.juneau.org,735132,47,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt/query=*/doc/{t1}?,https://cdn.civil.services/us-states/flags/alaska-large.png,https://cdn.civil.services/us-states/seals/alaska-large.png,https://cdn.civil.services/us-states/maps/alaska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alaska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alaska.jpg,https://twitter.com/alaska,https://www.facebook.com/AlaskaLocalGovernments,665384.04,76114,12.2,5.1963319,29.0
Arizona,AZ,The Grand Canyon State,https://az.gov,1912,48,Phoenix,https://www.phoenix.gov,6626624,15,http://www.azleg.gov/Constitution.asp,https://cdn.civil.services/us-states/flags/arizona-large.png,https://cdn.civil.services/us-states/seals/arizona-large.png,https://cdn.civil.services/us-states/maps/arizona-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arizona.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arizona.jpg,,,113990.30,53510,14.4,5.436281138,28.4
Arkansas,AR,The Natural State,http://arkansas.gov,1836,25,Little Rock,http://www.littlerock.org,2959373,32,http://www.arkleg.state.ar.us/assembly/Summary/ArkansasConstitution1874.pdf,https://cdn.civil.services/us-states/flags/arkansas-large.png,https://cdn.civil.services/us-states/seals/arkansas-large.png,https://cdn.civil.services/us-states/maps/arkansas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arkansas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arkansas.jpg,https://twitter.com/arkansasgov,https://www.facebook.com/Arkansas.gov,53178.55,43813,15.5,4.748979523,22.0
California,CA,Golden State,http://www.ca.gov,1850,31,Sacramento,http://www.cityofsacramento.org,38332521,1,http://www.leginfo.ca.gov/const-toc.html,https://cdn.civil.services/us-states/flags/california-large.png,https://cdn.civil.services/us-states/seals/california-large.png,https://cdn.civil.services/us-states/maps/california-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/california.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/california.jpg,https://twitter.com/cagovernment,,163694.74,67169,12.5,4.474095575,32.6
Colorado,CO,The Centennial State,https://www.colorado.gov,1876,38,Denver,http://www.denvergov.org,5268367,22,https://www.colorado.gov/pacific/archives/government,https://cdn.civil.services/us-states/flags/colorado-large.png,https://cdn.civil.services/us-states/seals/colorado-large.png,https://cdn.civil.services/us-states/maps/colorado-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/colorado.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/colorado.jpg,https://twitter.com/coloradogov,https://www.facebook.com/Colorado.gov,104093.67,65458,8.9,3.972214165,39.4
Connecticut,CT,Constitution State,http://www.ct.gov,1788,5,Hartford,http://www.hartford.gov,3596080,29,http://www.ct.gov/sots/cwp/view.asp?a=3188&q=392288,https://cdn.civil.services/us-states/flags/connecticut-large.png,https://cdn.civil.services/us-states/seals/connecticut-large.png,https://cdn.civil.services/us-states/maps/connecticut-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/connecticut.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/connecticut.jpg,,,5543.41,73781,9.9,2.074361856,38.4
Delaware,DE,The First State / The Diamond State,http://delaware.gov,1787,1,Dover,http://www.cityofdover.com,925749,45,http://www.state.de.us/facts/constit/welcome.htm,https://cdn.civil.services/us-states/flags/delaware-large.png,https://cdn.civil.services/us-states/seals/delaware-large.png,https://cdn.civil.services/us-states/maps/delaware-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/delaware.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/delaware.jpg,https://twitter.com/delaware_gov,https://www.facebook.com/delaware.gov,2488.72,63036,9.6,4.236065804,31.0
Florida,FL,Sunshine State,http://www.myflorida.com,1845,27,Tallahassee,https://www.talgov.com/Main/Home.aspx,19552860,4,http://www.leg.state.fl.us/Statutes/index.cfm,https://cdn.civil.services/us-states/flags/florida-large.png,https://cdn.civil.services/us-states/seals/florida-large.png,https://cdn.civil.services/us-states/maps/florida-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/florida.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/florida.jpg,,,65757.70,50883,13.6,3.848948265,28.5
Georgia,GA,Peach State,http://georgia.gov,1788,4,Atlanta,http://www.atlantaga.gov,9992167,8,http://sos.ga.gov/admin/files/Constitution_2013_Final_Printed.pdf,https://cdn.civil.services/us-states/flags/georgia-large.png,https://cdn.civil.services/us-states/seals/georgia-large.png,https://cdn.civil.services/us-states/maps/georgia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/georgia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/georgia.jpg,http://twitter.com/georgiagov,http://www.facebook.com/pages/georgiagov/29760668054,59425.15,52977,14.7,3.265847393,29.9
