Word,Part of Speech,Per Million Words,Length
the,article,48974.7,3
be,verb,27879.6,2
and,conjunction,23869.1,3
of,preposition,22986.4,2
a,article,22542.7,1
in,preposition,15547.6,2
to,infinitive marker,14071.5,2
have,verb,9564.3,4
I,pronoun,8840.6,1
it,pronoun,8605.5,2
to,preposition,8570.9,2
that,conjunction,7624.4,4
for,preposition,7292.1,3
you,pronoun,6847.0,3
he,pronoun,6465.0,2
with,preposition,5962.3,4
do,verb,5719.1,2
on,preposition,5522.9,2
say,verb,4255.9,3
this,determiner,4189.7,4
they,pronoun,4145.7,4
we,pronoun,4046.5,2
his,article,4003.8,3
but,conjunction,3948.4,3
at,preposition,3928.1,2
that,determiner,3805.3,4
not,not,3641.8,3
from,preposition,3635.4,4
n't,not,3597.8,3
by,preposition,3312.3,2
she,pronoun,3299.7,3
or,conjunction,3065.2,2
as,conjunction,2882.0,2
what,determiner,2624.5,4
go,verb,2557.9,2
their,article,2406.7,5
can,verb,2272.8,3
who,pronoun,2262.9,3
get,verb,2205.8,3
her,article,2154.6,3
if,conjunction,2074.5,2
would,verb,2056.7,5
my,article,2044.0,2
know,verb,1983.4,4
all,determiner,1982.4,3
about,preposition,1943.1,5
make,verb,1904.8,4
as,preposition,1842.3,2
will,verb,1832.4,4
up,adverb,1767.9,2
there,existential there,1743.4,5
think,verb,1717.3,5
year,noun,1709.5,4
one,number,1707.2,3
time,noun,1699.2,4
so,adverb,1681.2,2
me,pronoun,1576.9,2
people,noun,1536.6,6
which,determiner,1524.4,5
when,conjunction,1508.1,4
out,adverb,1508.0,3
them,pronoun,1506.4,4
just,adverb,1506.0,4
him,pronoun,1506.0,3
some,determiner,1498.2,4
take,verb,1490.5,4
into,preposition,1484.8,4
see,verb,1474.8,3
your,article,1465.8,4
come,verb,1396.1,4
could,verb,1373.2,5
now,adverb,1346.7,3
than,conjunction,1288.3,4
like,preposition,1264.1,4
other,adjective,1217.3,5
then,adverb,1208.8,4
its,article,1199.4,3
how,adverb,1197.5,3
our,article,1166.9,3
more,adverb,1150.1,4
want,verb,1144.4,4
these,determiner,1141.9,5
two,number,1135.6,3
look,verb,1092.7,4
way,noun,1045.3,3
also,adverb,1032.5,4
first,number,1030.1,5
because,conjunction,974.5,7
new,adjective,968.9,3
day,noun,961.7,3
use,verb,935.1,3
more,determiner,933.7,4
here,adverb,916.3,4
well,adverb,915.1,4
man,noun,910.6,3
no,article,893.8,2
thing,noun,890.5,5
her,pronoun,884.3,3
find,verb,878.2,4
very,adverb,870.7,4
tell,verb,862.6,4
many,determiner,856.3,4
give,verb,854.5,4
only,adverb,843.5,4
those,determiner,840.0,5
one,pronoun,821.2,3
back,adverb,817.4,4
even,adverb,802.4,4
good,adjective,786.6,4
us,pronoun,780.2,2
any,determiner,773.6,3
woman,noun,758.7,5
through,preposition,757.6,7
child,noun,741.9,5
there,adverb,741.0,5
life,noun,740.2,4
down,adverb,732.0,4
may,verb,721.3,3
work,verb,707.1,4
after,preposition,693.1,5
should,verb,689.5,6
call,verb,684.6,4
school,noun,676.0,6
world,noun,674.5,5
over,preposition,667.4,4
still,adverb,659.9,5
try,verb,653.4,3
last,number,644.1,4
in,adverb,633.4,2
ask,verb,632.5,3
as,adverb,625.5,2
too,adverb,623.1,3
need,verb,615.0,4
feel,verb,611.6,4
state,noun,604.9,5
when,adverb,596.0,4
three,number,592.8,5
between,preposition,587.0,7
really,adverb,585.4,6
never,adverb,583.5,5
become,verb,575.8,6
high,adjective,568.7,4
student,noun,566.8,7
something,pronoun,566.5,9
most,adverb,547.5,4
much,determiner,543.3,4
family,noun,540.6,6
out,preposition,538.8,3
mean,verb,538.2,4
another,determiner,534.8,7
leave,verb,534.4,5
own,determiner,534.3,3
let,verb,534.0,3
put,verb,527.7,3
on,adverb,526.6,2
old,adjective,525.7,3
why,adverb,523.2,3
while,conjunction,521.2,5
keep,verb,515.0,4
group,noun,509.9,5
talk,verb,509.8,4
big,adjective,504.8,3
hand,noun,500.5,4
great,adjective,500.0,5
country,noun,495.9,7
same,determiner,495.2,4
turn,verb,492.0,4
seem,verb,488.1,4
begin,verb,485.8,5
problem,noun,483.8,7
help,verb,480.2,4
American,adjective,477.7,8
start,verb,475.4,5
where,conjunction,475.0,5
every,article,472.8,5
might,verb,464.6,5
about,adverb,463.4,5
over,adverb,462.8,4
show,verb,462.3,4
part,noun,461.9,4
such,determiner,460.1,4
again,adverb,459.8,5
right,adverb,456.1,5
against,preposition,454.2,7
company,noun,451.9,7
place,noun,449.8,5
case,noun,446.2,4
system,noun,444.8,6
week,noun,442.8,4
few,determiner,438.4,3
most,determiner,438.0,4
each,determiner,436.7,4
hear,verb,435.7,4
program,noun,435.5,7
where,adverb,432.1,5
question,noun,426.8,8
so,conjunction,426.4,2
government,noun,425.1,10
during,preposition,423.8,6
Mr,noun,419.0,2
play,verb,418.5,4
work,noun,416.7,4
run,verb,416.3,3
number,noun,413.3,6
small,adjective,412.1,5
night,noun,410.0,5
off,adverb,408.6,3
today,adverb,408.3,5
happen,verb,406.0,6
like,verb,405.2,4
always,adverb,398.8,6
move,verb,398.6,4
believe,verb,396.4,7
point,noun,394.4,5
hold,verb,394.2,4
all,adverb,394.0,3
million,number,393.1,7
next,number,391.8,4
live,verb,391.4,4
large,adjective,390.2,5
bring,verb,387.5,5
study,noun,386.8,5
before,preposition,383.9,6
room,noun,383.3,4
without,preposition,383.2,7
must,verb,380.1,4
home,noun,378.9,4
lot,noun,376.8,3
mother,noun,376.5,6
eye,noun,375.9,3
water,noun,372.6,5
national,adjective,369.7,8
area,noun,368.5,4
money,noun,366.2,5
under,preposition,366.1,5
fact,noun,365.3,4
story,noun,363.5,5
right,noun,362.8,5
month,noun,361.5,5
different,adjective,360.9,9
write,verb,359.6,5
head,noun,355.8,4
young,adjective,355.6,5
yes,interjection,349.7,3
issue,noun,347.6,5
kind,noun,344.5,4
job,noun,343.9,3
business,noun,343.3,8
book,noun,342.3,4
word,noun,339.8,4
side,noun,339.0,4
though,conjunction,338.2,6
provide,verb,335.3,7
black,adjective,334.9,5
four,number,334.8,4
little,adjective,332.6,6
house,noun,331.7,5
long,adjective,331.2,4
far,adverb,330.3,3
sit,verb,327.1,3
both,determiner,325.2,4
game,noun,325.1,4
service,noun,324.7,7
father,noun,322.3,6
away,adverb,321.6,4
political,adjective,321.0,9
important,adjective,320.4,9
around,preposition,319.5,6
friend,noun,317.1,6
after,conjunction,316.2,5
however,adverb,316.2,7
long,adverb,315.6,4
power,noun,314.1,5
since,conjunction,313.9,5
stand,verb,313.2,5
until,conjunction,312.9,5
often,adverb,312.7,5
hour,noun,308.8,4
among,preposition,307.1,5
line,noun,302.2,4
ever,adverb,301.7,4
yet,adverb,301.1,3
bad,adjective,299.8,3
member,noun,299.4,6
president,noun,298.2,9
end,noun,298.0,3
lose,verb,298.0,4
law,noun,297.1,3
car,noun,296.8,3
include,verb,296.8,7
pay,verb,295.9,3
community,noun,295.7,9
social,adjective,295.3,6
city,noun,294.9,4
team,noun,292.2,4
meet,verb,286.1,4
almost,adverb,284.2,6
set,verb,283.0,3
information,noun,283.0,11
face,noun,282.9,4
name,noun,282.5,4
white,adjective,281.7,5
nothing,pronoun,281.6,7
minute,noun,281.5,6
later,adverb,281.1,5
kid,noun,281.0,3
right,adjective,280.6,5
once,adverb,280.5,4
continue,verb,280.1,8
much,adverb,280.1,4
five,number,279.0,4
ago,adverb,278.3,3
body,noun,278.1,4
back,noun,277.8,4
door,noun,277.8,4
watch,verb,277.7,5
best,adjective,277.4,4
learn,verb,276.3,5
real,adjective,276.0,4
several,determiner,275.6,7
least,adverb,275.5,5
change,verb,273.7,6
around,adverb,272.9,6
lead,verb,272.6,4
idea,noun,271.4,4
whether,conjunction,270.9,7
level,noun,270.5,5
stop,verb,270.0,4
understand,verb,269.7,10
anything,pronoun,267.3,8
public,adjective,266.3,6
parent,noun,265.8,6
follow,verb,265.4,6
create,verb,265.4,6
together,adverb,264.9,8
such,preposition,264.7,4
art,noun,261.9,3
add,verb,261.9,3
war,noun,261.8,3
health,noun,261.7,6
only,adjective,261.6,4
speak,verb,260.8,5
result,noun,258.4,6
sure,adjective,258.2,4
teacher,noun,258.0,7
others,noun,257.3,6
already,adverb,256.0,7
history,noun,255.3,7
allow,verb,255.3,5
research,noun,255.1,8
office,noun,255.1,6
within,preposition,254.7,6
spend,verb,254.6,5
read,verb,253.5,4
morning,noun,253.3,7
walk,verb,252.9,4
education,noun,252.7,9
person,noun,252.6,6
party,noun,251.0,5
change,noun,249.8,6
open,verb,248.6,4
win,verb,247.7,3
girl,noun,245.4,4
guy,noun,245.4,3
grow,verb,244.5,4
moment,noun,243.8,6
himself,pronoun,242.9,7
low,adjective,242.2,3
maybe,adverb,240.9,5
early,adjective,240.4,5
force,noun,240.0,5
although,conjunction,239.8,8
food,noun,239.4,4
policy,noun,239.1,6
before,conjunction,238.8,6
boy,noun,238.8,3
process,noun,238.5,7
foot,noun,238.4,4
remember,verb,237.5,8
reason,noun,237.5,6
offer,verb,236.6,5
both,adverb,236.4,4
toward,preposition,235.5,6
air,noun,235.4,3
enough,adverb,235.3,6
across,preposition,234.6,6
actually,adverb,233.7,8
off,preposition,231.4,3
love,verb,230.4,4
including,preposition,230.3,9
second,number,230.3,6
oh,interjection,230.3,2
everything,pronoun,230.2,10
age,noun,229.8,3
yeah,interjection,229.8,4
able,adjective,229.3,4
music,noun,228.1,5
wait,verb,227.7,4
consider,verb,226.6,8
human,adjective,224.9,5
buy,verb,224.7,3
appear,verb,223.7,6
market,noun,223.2,6
probably,adverb,221.7,8
serve,verb,221.5,5
die,verb,218.6,3
experience,noun,218.0,10
home,adverb,217.6,4
nation,noun,216.0,6
college,noun,215.6,7
stay,verb,215.4,4
fall,verb,215.4,4
build,verb,214.8,5
