code_s!,unique_language_s,language_s,locale_s,localize_code_s,native_name_s,english_name_s,supported_codeorg_b*,supported_hoc_b,crowdin_code_s,crowdin_name_s,csf_b,frozen_b,starwars_b,minecraft_adventurer_b,minecraft_designer_b
ar,ar,ar,ar-SA,ar,العربية,Arabic,TRUE,TRUE,ar,Arabic,FALSE,TRUE,TRUE,TRUE,TRUE
cs,cs,cs,cs-CZ,cs,Čeština,Czech,TRUE,TRUE,cs,Czech,FALSE,TRUE,FALSE,TRUE,FALSE
de,de,de,de-DE,de,Deutsch,German,TRUE,TRUE,de,German,TRUE,TRUE,TRUE,TRUE,FALSE
en-IN,in,en,en-IN,en-IN,English (India),English (India),TRUE,FALSE,en-IN,"English, India",FALSE,FALSE,FALSE,FALSE,FALSE
en,en,en,en-US,en,English,English,TRUE,TRUE,en,English,TRUE,TRUE,TRUE,TRUE,FALSE
es,es,es,es-ES,es,Español (España),Spanish (Spain),TRUE,TRUE,es-ES,Spanish,TRUE,TRUE,TRUE,TRUE,TRUE
es-MX,mx,es,es-MX,es-MX,Español (EEUU),Spanish (US),TRUE,TRUE,es-MX,"Spanish, US",TRUE,TRUE,TRUE,TRUE,TRUE
es-LA,la,es,es-LA,es-LA,Español (LATAM),Spanish (LATAM),TRUE,TRUE,es-LA,"Spanish, Latin America",TRUE,TRUE,TRUE,TRUE,TRUE
fa-IR,fa,fa,fa-IR,fa,فارسی,Persian,TRUE,TRUE,fa,Persian,FALSE,TRUE,FALSE,TRUE,FALSE
fr,fr,fr,fr-FR,fr,Français,French,TRUE,TRUE,fr,French,TRUE,FALSE,FALSE,FALSE,FALSE
gu,gu,gu,gu-IN,gu,ગુજરાતી,Gujarati,TRUE,TRUE,gu,Gujarati,TRUE,TRUE,TRUE,TRUE,TRUE
hi,hi,hi,hi-IN,hi,हिन्दी,Hindi,TRUE,TRUE,hi,Hindi,FALSE,FALSE,FALSE,TRUE,FALSE
id,id,id,id-ID,id,Bahasa Indonesia,Indonesian,TRUE,TRUE,id,Indonesian,TRUE,TRUE,FALSE,TRUE,TRUE
it,it,it,it-IT,it,Italiano,Italian,TRUE,TRUE,it,Italian,FALSE,TRUE,TRUE,TRUE,FALSE
ja,ja,ja,ja-JP,ja,日本語,Japanese,TRUE,TRUE,ja,Japanese,TRUE,TRUE,TRUE,TRUE,FALSE
kn,kn,kn,kn-IN,kn,ಕನ್ನಡ,Kannada,TRUE,TRUE,kn,Kannada,TRUE,TRUE,TRUE,TRUE,TRUE
ko,ko,ko,ko-KR,ko,한국어,Korean,TRUE,TRUE,ko,Korean,FALSE,FALSE,TRUE,FALSE,TRUE
mr,mr,mr,mr-IN,mr,मराठी,Marathi,TRUE,TRUE,mr,Marathi,FALSE,FALSE,FALSE,FALSE,FALSE
or,or,or,or-IN,or,ଓଡ଼ିଆ,Odia,TRUE,TRUE,or,Odia,TRUE,TRUE,TRUE,TRUE,TRUE
pl,pl,pl,pl-PL,pl,Polski,Polish,TRUE,TRUE,pl,Polish,FALSE,FALSE,TRUE,FALSE,TRUE
pt-BR,pt,pt,pt-BR,pt-BR,Português (Brasil),Portuguese (Brazil),TRUE,TRUE,pt-BR,"Portuguese, Brazilian",FALSE,TRUE,TRUE,TRUE,TRUE
pt-PT,po,pt,pt-PT,pt,Português (Portugal),Portuguese (Portugal),TRUE,TRUE,pt-PT,Portuguese,TRUE,TRUE,TRUE,TRUE,TRUE
ro,ro,ro,ro-RO,,Română,Romanian,TRUE,TRUE,ro,Romanian,TRUE,TRUE,FALSE,TRUE,FALSE
ru,ru,ru,ru-RU,ru,Pусский,Russian,TRUE,TRUE,ru,Russian,FALSE,FALSE,TRUE,FALSE,TRUE
sk,sk,sk,sk-SK,sk,Slovenčina,Slovak,TRUE,TRUE,sk,Slovak,FALSE,TRUE,FALSE,FALSE,TRUE
ta,ta,ta,ta-IN,ta,தமிழ்,Tamil,TRUE,TRUE,ta,Tamil,FALSE,FALSE,FALSE,FALSE,FALSE
te,te,te,te-IN,te,తెలుగు,Telugu,TRUE,TRUE,te,Telugu,FALSE,FALSE,FALSE,FALSE,FALSE
th,th,th,th-TH,th,ภาษาไทย,Thai,TRUE,TRUE,th,Thai,TRUE,TRUE,TRUE,FALSE,TRUE
tr,tr,tr,tr-TR,tr,Türkçe,Turkish,TRUE,TRUE,tr,Turkish,TRUE,FALSE,TRUE,FALSE,TRUE
uk,uk,uk,uk-UA,uk,Українська,Ukrainian,TRUE,TRUE,uk,Ukrainian,FALSE,FALSE,FALSE,FALSE,TRUE
zh-CN,cn,zh,zh-CN,zh-Hans,简体字,Chinese (Simplified),TRUE,TRUE,zh-CN,Chinese Simplified,FALSE,TRUE,TRUE,TRUE,TRUE
zh-TW,zh,zh,zh-TW,zh-TW,繁體字,Chinese (Traditional),TRUE,TRUE,zh-TW,Chinese Traditional,FALSE,FALSE,TRUE,FALSE,TRUE
