School Code,School Name,City,State,
0,Hawaii Department of Education eSchool,Honolulu,HI,
0,International Academy of Science: Acellus Learning System,Independence,MO,
0,Wisconsin Virtual School,Tomahawk,WI,
0,Institute for Mathematics and Computer Science: Online,Plantation,FL,
0,Academically Talented Youth Program Western Michigan University,Kalamazoo,MI,
0,Idaho Digital Learning Academy,Boise,ID,
0,Montana Digital Academy,Missoula,MT,
0,Manhattan Virtual Academy,Manhattan,KS,
0,Jesuit Virtual Learning Academy,Omaha,NE,
0,Cayuga-Onondaga Board of Cooperative Educational Services (BOCES): Online Program,Auburn,NY,
0,ALHS Online,New Ulm,MN,
0,AccelerateU,Newark,NY,
0,AccelerateU,Newark,NY,
0,Placer County Office of Education: Distance Education Program,Auburn,CA,
0,Virtual Arkansas School,Plumerville,AR,
0,Connections Learning,Columbia,MD,
0,AP4ALL,Augusta,ME,
0,Iowa Online Advanced Placement Academy,Iowa City,IA,
0,Founders Education,Washington Crossing,PA,
0,Jefferson-Lewis-Hamilton-Herkimer-Oneida BOCES Online,Watertown,NY,
0,Edhesive,New York,NY,
0,Shmoop University Inc,Mountain View,CA,
0,Virtual Virginia,Richmond,VA,
0,West Virginia Virtual School,Charleston,WV,
0,Potter's School,Springfield,VA,
0,Bay Area Tutoring Association,Milpitas,CA,
10014,Lindsay Lane Christian Academy,Athens,AL,
10175,Athens High School,Athens,AL,
10326,Alabama School of Fine Arts,Birmingham,AL,
10326,Alabama School of Fine Arts,Birmingham,AL,
10328,Hoover High School,Hoover,AL,
10335,Altamont School,Birmingham,AL,
10380,Mountain Brook High School,Mountain Brook,AL,
10912,Houston Academy,Dothan,AL,
11060,Fairhope High School,Fairhope,AL,
11440,Indian Springs School,Indian Springs,AL,
11466,Virgil I Grissom High School,Huntsville,AL,
11483,Saint John Paul II Catholic High School,Huntsville,AL,
11485,Huntsville High School,Huntsville,AL,
11494,New Century Technology High School,Huntsville,AL,
11697,Bob Jones High School,Madison,AL,
11701,James Clemens High School,Madison,AL,
11793,Alabama School of Mathematics and Science,Mobile,AL,
11880,Montgomery Catholic Preparatory High School,Montgomery,AL,
11896,LAMP High School,Montgomery,AL,
11919,ACCESS Virtual Learning,Montgomery,AL,
11930,Lawrence County High School,Moulton,AL,
11980,Buckhorn High School,New Market,AL,
12085,Oxford High School,Oxford,AL,
12648,Sparkman High School,Harvest,AL,
20003,Dimond High School,Anchorage,AK,
20003,Dimond High School,Anchorage,AK,
20028,West Valley High School,Fairbanks,AK,
20035,Austin E Lathrop High School,Fairbanks,AK,
30037,Basha High School,Chandler,AZ,
30045,Chandler High School,Chandler,AZ,
30062,Hamilton High School,Chandler,AZ,
30072,BASIS Chandler,Chandler,AZ,
30140,Gilbert High School,Gilbert,AZ,
30141,Highland High School,Gilbert,AZ,
30163,Higley High School,Gilbert,AZ,
30221,Red Mountain High School,Mesa,AZ,
30256,Centennial High School,Peoria,AZ,
30256,Centennial High School,Peoria,AZ,
30259,Ironwood High School,Glendale,AZ,
30260,Peoria High School,Peoria,AZ,
30265,Brophy College Preparatory,Phoenix,AZ,
30265,Brophy College Preparatory,Phoenix,AZ,
30277,Carl Hayden High School,Phoenix,AZ,
30287,Paradise Valley High School,Phoenix,AZ,
30295,Xavier College Preparatory School,Phoenix,AZ,
30328,Desert Vista High School,Phoenix,AZ,
30377,Pinnacle High School,Phoenix,AZ,
30397,Chaparral High School,Scottsdale,AZ,
30431,Corona Del Sol High School,Tempe,AZ,
30432,Marcos De Niza High School,Tempe,AZ,
30473,Canyon del Oro High School,Oro Valley,AZ,
30488,University High School,Tucson,AZ,
30497,Mountain View High School,Tucson,AZ,
30497,Mountain View High School,Tucson,AZ,
30497,Mountain View High School,Tucson,AZ,
30506,The Gregory School,Tucson,AZ,
30541,Cienega High School,Vail,AZ,
30581,Boulder Creek High School,Anthem,AZ,
30652,BASIS Peoria,Peoria,AZ,
30660,BASIS Scottsdale,Scottsdale,AZ,
30668,Perry High School,Gilbert,AZ,
30669,Arizona Connections Academy,Gilbert,AZ,
