School Name,School Code
Cordova Junior-Senior High School,20015
South Anchorage High School,20365
Service High School,20004
Colony High School,20286
Mat-Su Career and Technical High School,21080
Mat-Su Middle College School,20840
Austin E Lathrop High School,20035
West Valley High School,20028
Indian Springs School,11440
Houston Academy,10912
Hoover High School,10328
Spain Park High School,10381
Bob Jones High School,11697
James Clemens High School,11701
Alabama School of Fine Arts,10326
Thompson High School,12485
Auburn High School,10220
Fairhope High School,11060
Austin High School,10856
Decatur High School,10860
Enterprise High School,10980
Huntsville High School,11485
New Century Technology High School,11494
Lawrence County High School,11930
Hazel Green High School,11415
Sparkman High School,12648
Buckhorn High School,11980
W P Davidson High School,11839
Mary G Montgomery High School,12450
Lanier Senior High School,11910
Mountain Brook High School,10380
Opelika High School,12055
Oxford High School,12085
Central High School,12135
Handley High School,12310
Russellville High School,12352
Sheffield High School,12455
Sylacauga High School,12570
Tuscaloosa County High School,12005
Catholic High School for Boys,41420
Star City High School,42337
Hamburg High School,40995
Arkansas Arts Academy High School,42169
Lisa Academy,41486
Haas Hall Academy - Fayetteville,42762
eStem High PCS,41412
Haas Hall Academy - Bentonville,40277
Arkadelphia High School,40035
Beebe High School,40145
Benton High School,40170
Bentonville High School,40175
Bentonville West High School,40004
Bryant High School,40310
Cabot High School,40320
Westside High School,41274
Clarksville High School,40460
Conway High School,40490
El Dorado High School,40690
Fayetteville High School,40770
Northside High School,40835
Southside High School,40837
Greenbrier High School,40935
The Academies at Jonesboro High School,41270
Lake Hamilton High School,41155
Lakeside High School,41160
Central High School,41422
McGehee High School,41620
Nettleton High School,41815
North Little Rock Center Of Excellence,40007
Prairie Grove High School,42105
Rogers High School,42165
Rogers Heritage High School,42168
Rogers New Technology High School,42171
Russellville High School,42195
Springdale Senior High School,42315
Har-Ber High School,42147
Springdale School of Innovation,40003
Arkansas High School,42403
Valley View High School,41272
White Hall High School,42045
Brophy College Preparatory,30265
The Orme School,30210
The Gregory School,30506
Cactus Shadows High School,30043
Mohave High School,30032
Sonoran Science Academy,30563
Arizona Connections Academy,30669
Agua Fria High School,30007
Millennium High School,30159
Verrado High School,30029
BASIS Scottsdale,30660
Amphitheater High School,30455
Canyon del Oro High School,30473
Sonoran Science Academy - Davis Monthan,34570
BASIS Peoria,30652
BASIS Chandler,30072
BASIS Phoenix,30742
BASIS Tucson North,30743
BASIS Ahwatukee,30800
BASIS Goodyear,30797
Youngker High School,30026
Chandler High School,30045
Hamilton High School,30062
Basha High School,30037
Perry High School,30668
Arizona College Prep-Erie Campus,30711
Poston Butte High School,30690
Highland High School,30141
Gilbert High School,30140
Desert Ridge High School,30424
Gilbert Classical Academy,30132
Campo Verde High School,30696
Washington High School,30320
Higley High School,30163
Williams Field High School,30619
Mountain View High School,30497
Westwood High School,30223
Red Mountain High School,30221
Skyline High School,30368
Paradise Valley High School,30287
Pinnacle High School,30377
Peoria High School,30260
Centennial High School,30256
Walden Grove High School,30731
Chaparral High School,30397
Mountain Ridge High School,30153
Deer Valley High School,30144
Sandra Day Oconnor High School,30173
Boulder Creek High School,30581
Desert Vista High School,30328
Corona Del Sol High School,30431
Mountain Pointe High School,30307
University High School,30746
Palo Verde High Magnet School,30493
University High School,30488
Pueblo Magnet High School,30500
Empire High School,30601
Casteel High School,30820
Seton Catholic Preparatory,30047
Notre Dame Preparatory High School,30392
Calvary Chapel Christian School,30675
Valley Lutheran High School,30319
Crespi Carmelite High School,50867
Don Bosco Technical Institute,53053
Notre Dame High School,53095
La Salle High School,52392
Damien High School,52502
Junipero Serra High School,53180
Loyola High School,51685
Woodside Priory School,52527
Mercy High School,52975
Mercy High School,52975
Archbishop Riordan High School,53000
Sacred Heart Cathedral Preparatory,53005
Marin Catholic High School,53215
Moreau Catholic High School,51156
Mater Dei High School,53240
Jesuit High School,52714
Academy of Our Lady of Peace,52820
The Harker School,53142
The Buckley School,51628
South Hills Academy,54877
Sacramento Country Day School,52733
Bais Yaakov School For Girls,51533
Brentwood School,51555
Viewpoint School,50423
Ojai Valley School,52262
Palm Valley School,52321
Chadwick School,52680
Marlborough School,51710
La Jolla Country Day School,51333
San Francisco University High School,53039
Westridge School,52420
Polytechnic School,52402
Windward School,53323
Glendale Adventist Academy,51055
Servite High School,50088
Presentation High School,53097
Sierra Canyon School,54038
