school_code,school_name
10013,Alabama Connections Academy
10014,Lindsay Lane Christian Academy
10061,Alabama School Of Cyber Technology And Engineering
10326,Alabama School of Fine Arts
10328,Hoover High School
10335,Altamont School
10380,Mountain Brook High School
10381,Spain Park High School
10415,Shades Valley High School
10856,Austin High School
10860,Decatur High School
10912,Houston Academy
11060,Fairhope High School
11415,Hazel Green High School
11440,Indian Springs School
11466,Virgil Grissom High School
11485,Huntsville High School
11494,New Century Technology High School
11701,James Clemens High School
11758,Stanhope Elmore High School
11793,Alabama School of Mathematics and Science
11839,W P Davidson High School
11880,Mcps High School
11896,LAMP High School
11910,Lanier Senior High School
11919,ACCESS Virtual Learning
12005,Tuscaloosa County High School
12055,Opelika High School
12085,Oxford High School
12135,Central High School
12150,Phil Campbell High School
12310,Handley High School
12352,Russellville High School
12450,Mary G Montgomery High School
12455,Sheffield High School
12485,Thompson High School
12540,Sulligent School
12570,Sylacauga High School
12615,Theodore High School
12648,Sparkman High School
12858,Pike Road High School
20004,Service High School
20028,West Valley High School
20035,Austin E Lathrop High School
20182,Grace Christian School
20286,Colony High School
20365,South Anchorage High School
20379,Thunder Mountain High School
20840,Mat-Su Middle College School
21080,Mat-Su Career and Technical High School
30007,Agua Fria High School
30026,Youngker High School
30029,Verrado High School
30030,Buckeye Union High School
30032,Mohave High School
30037,Basha High School
30043,Cactus Shadows High School
30045,Chandler High School
30062,Hamilton High School
30070,Paragon Science Academy
30072,BASIS Chandler
30132,Gilbert Classical Academy
30141,Highland High School
30144,Deer Valley High School
30146,Independence High School
30153,Mountain Ridge High School
30159,Millennium High School
30163,Higley High School
30172,Estrella Foothills High School
30173,Sandra Day Oconnor High School
30221,Red Mountain High School
30223,Westwood High School
30256,Centennial High School
30260,Peoria High School
30265,Brophy College Preparatory
30266,Greenway High School
30277,Carl Hayden High School
30283,Moon Valley High School
30287,Paradise Valley High School
30295,Xavier College Preparatory School
30307,Mountain Pointe High School
30312,Thunderbird High School
30319,Valley Lutheran High School
30320,Washington High School
30328,Desert Vista High School
30368,Skyline High School
30377,Pinnacle High School
30392,Notre Dame Preparatory High School
30396,Desert Mountain High School
30431,Corona Del Sol High School
30433,McClintock High School
30473,Canyon del Oro High School
30476,Catalina Foothills High School
30488,University High School
30493,Palo Verde High Magnet School
30497,Mountain View High School
30500,Pueblo Magnet High School
30504,Sahuaro High School
30506,The Gregory School
30513,Santa Rita High School
30541,Cienega High School
30563,Sonoran Science Academy
30581,Boulder Creek High School
30601,Empire High School
30619,Williams Field High School
30660,BASIS Scottsdale
30668,Perry High School
30669,Arizona Connections Academy
30682,Accelerate Online Academy
30696,Campo Verde High School
30711,Arizona College Prep-Erie Campus
30728,BASIS Flagstaff
30731,Walden Grove High School
30742,BASIS Phoenix
30743,BASIS Tucson North
30746,University High School
30796,Gilbert Global Academy
30797,BASIS Goodyear
30820,Casteel High School
40003,Springdale School of Innovation
40004,Bentonville West High School
40006,Arkansas Connections Academy
40007,North Little Rock Center Of Excellence
40011,Haas Hall Academy - Rogers
40014,Haas Hall Academy - Springdale
40026,Hot Springs World Class High School
40035,Arkadelphia High School
40145,Beebe High School
40170,Benton High School
40175,Bentonville High School
40277,Haas Hall Academy - Bentonville
40310,Bryant High School
40320,Cabot High School
40410,Cedarville High School
40460,Clarksville High School
40490,Conway High School
40660,Dumas High School
40770,Fayetteville High School
40835,Northside High School
40837,Southside High School
40935,Greenbrier High School
40945,Greenland High School
41148,"Arkansas School for Mathematics, Science and the Arts"
41155,Lake Hamilton High School
41160,Lakeside High School
41270,The Academies at Jonesboro High School
41272,Valley View High School
41412,eStem High PCS
41420,Catholic High School for Boys
41422,Central High School
41443,Parkview Arts and Science Magnet High School
41486,Lisa Academy West High School
41620,McGehee High School
41695,Monticello High School
41815,Nettleton High School
41960,Paragould High School
42045,White Hall High School
42105,Prairie Grove High School
42147,Har-Ber High School
42165,Rogers High School
42168,Rogers Heritage High School
42169,Arkansas Arts Academy High School
42171,Rogers New Technology High School
42195,Russellville High School
42265,Sheridan High School
42315,Springdale Senior High School
42337,Star City High School
42500,Van Buren High School
42615,Academies of West Memphis High School
42762,Haas Hall Academy - Fayetteville
50003,Agoura High School
50005,Alameda High School
50006,Oak Park High School
50015,Encinal High School
50020,Saint Joseph-Notre Dame High School
50035,Albany High School
50038,Orange Vista High School
50055,Mark Keppel High School
50077,Alta Loma High School
50081,Katella High School
50088,Servite High School
50093,Esperanza High School
50103,Fairmont Pvt-Preparatory Academy
50109,Deer Valley High School
50118,Apple Valley High School
50130,Arcadia High School
50135,Arcata High School
50144,Arroyo Pacific Academy
50150,Arroyo Grande High School
50155,Artesia High School
50170,Menlo Atherton High School
50172,Atwater High School
50188,Azusa High School
50196,Liberty High School
50217,Stockdale High School
50260,Saint John Bosco High School
50265,Bell Gardens Senior High School
50270,Carlmont High School
50290,Berkeley High School
50304,Elite Open School - Rowland Heights
50309,Girls Academic Leadership Academy
50320,Beverly Hills High School
50348,Bloomington High School
50370,Brea Olinda High School
50375,Liberty High School
50378,Buena Park High School
50379,John F Kennedy High School
50385,Burbank Senior High School
50386,Heritage High School
50392,Khan Lab School
50410,Burlingame High School
50415,Mercy High School
50421,Calabasas High School
50423,Viewpoint School
50425,Calexico High School
50438,Adolfo Camarillo High School
50466,Torrey Pines High School
50471,Carlsbad Seaside Academy
50472,Carlsbad High School
50475,Carmel High School
50490,Carpinteria High School
50500,Castro Valley High School
50517,Aquinas International Academy
50525,Ceres High School
50527,Cerritos High School
50528,Chatsworth High School
50551,Maywood Center for Enriched Studies
50555,Chino High School
50563,Ruben S Ayala High School
50564,Chino Hills High School
50566,Don Antonio Lugo High School
50572,Bonita Vista High School
50573,Castle Park High School
50579,Eastlake High School
50580,Chula Vista Senior High School
50602,Otay High School
50628,Clovis North High School
50640,Colton High School
50652,Dominguez Senior High School
50656,Carondelet High School
50658,Clayton Valley Charter High School
50659,College Park High School
50660,Mount Diablo High School
50662,De La Salle High School
50666,Northgate High School
50676,Centennial High School
50680,Coronado High School
50692,Santiago High School
50693,Charter Oak High School
50700,Covina High School
50704,South Hills High School
50714,Cypress High School
50715,Culver City High School
50718,Cupertino High School
50722,Richard Gahr High School
50724,Athenian School
50725,San Ramon Valley High School
50727,Monte Vista High School
50729,Dana Hills High School
50748,Diamond Bar High School
50755,Dixon High School
50771,Warren High School
50776,Oxford Academy
50784,Dublin High School
50791,Eastside College Preparatory School
50810,Central Union High School
50815,El Cerrito High School
50818,Oak Ridge High School
50824,Franklin High School
50837,Mountain View High School
50845,El Segundo High School
50855,Elsinore High School
50858,La Costa Canyon High School
50865,San Dieguito Academy
50867,Crespi Carmelite High School
50873,Orange Glen High School
50884,San Pasqual High School
50888,Etiwanda High School
50893,Canyon Crest Academy
50897,Summit High School
50903,Quarry Lane School
50912,Bella Vista High School
50919,Angelo Rodriguez High School
50940,Folsom High School
50944,A B Miller High School
50963,Los Amigos High School
50964,Fountain Valley High School
50968,Irvington High School
50969,James Logan High School
50970,Mission San Jose High School
50972,Washington High School
50973,Bullard High School
50974,American High School
50978,Fremont Christian High School
50980,Edison High School
50990,San Joaquin Memorial High School
51008,Sunny Hills High School
51009,Troy High School
51010,Fullerton Union High School
51030,Garden Grove High School
51034,Pacifica High School
51045,Sunnyside High School
51055,Glendale Adventist Academy
51070,Glendora High School
51085,Gonzales High School
51088,Granada Hills Charter High School
51092,Bear River High School
51106,Granite Bay High School
51110,Grossmont High School
51140,Narbonne High School
51156,Moreau Catholic High School
51160,Healdsburg High School
51168,Hesperia High School
51187,Sultana High School
51206,Hercules High School
51218,Edison High School
51220,Huntington Beach High School
51221,Marina High School
51230,Huntington Park High School
51239,Montgomery High School
51240,Imperial High School
51267,Arnold O Beckman High School
51271,Irvine High School
51273,San Joaquin High School
51274,Woodbridge High School
51283,Northwood High School
51300,Bentley School
51301,Clark Magnet High School
51311,Saint Francis High School
51312,La Canada High School
51313,Crescenta Valley High School
51315,Acalanes High School
51320,Laguna Beach High School
51324,Aliso Niguel High School
51325,La Habra High School
51335,La Jolla High School
51338,iLead Online Charter School
51347,Lakewood High School
51348,Mayfair Middle-High School
51350,Helix Charter High School
51352,La Mirada High School
51354,Champion School
51360,Los Altos High School
51361,Redwood High School
51402,Temescal Canyon High School
51412,Lancaster High School
51423,Granada High School
51425,Livermore High School
51431,Lawndale High School
51440,Tokay High School
51476,Robert Millikan High School
51480,Long Beach Polytechnic High School
51505,Woodrow Wilson High School
51508,Los Alamitos High School
51510,Los Altos High School
51520,Abraham Lincoln High School
51525,Alexander Hamilton High School
51533,Bais Yaakov School For Girls
51550,Benjamin Franklin High School
51555,Brentwood School
51560,Cathedral High School
51561,Los Angeles Center For Enriched Studies
51565,Chaminade College Preparatory
51576,Downtown Magnets High School
51590,Fairfax High School
51615,Hollywood High School
51628,The Buckley School
