School Code,School Name,City,State,
0,Edhesive,,NY,
0,Iowa Online Advanced Placement Academy,,IA,
0,International Academy of Science: Acellus Learning System,,MO,
0,CodeHS Inc,,CA,
0,North Carolina School of Science and Mathematics: Distance Learning,,NC,
0,Zulama,,PA,
10175,Athens High School,Athens,AL,
10220,Auburn High School,Auburn,AL,
10320,Oak Grove High School,Bessemer,AL,
10326,Alabama School of Fine Arts,Birmingham,AL,
10328,Hoover High School,Hoover,AL,
10335,Altamont School,Birmingham,AL,
10375,Minor High School,Adamsville,AL,
10380,Mountain Brook High School,Mountain Brook,AL,
10381,Spain Park High School,Birmingham,AL,
10408,Oak Mountain High School,Birmingham,AL,
10425,Wenonah High School,Birmingham,AL,
10445,Beulah High School,Valley,AL,
10465,Boaz High School,Boaz,AL,
10660,Childersburg High School,CHILDERSBURG,AL,
10670,Citronelle High School,Citronelle,AL,
10750,Shelby County High School,Columbiana,AL,
10795,Cullman High School,Cullman,AL,
10820,Dadeville High School,Dadeville,AL,
10844,Daphne High School,Daphne,AL,
10860,Decatur High School,Decatur,AL,
10980,Enterprise High School,Enterprise,AL,
10995,Eufaula High School,Eufaula,AL,
11045,Valley High School,Valley,AL,
11060,Fairhope High School,Fairhope,AL,
11126,Florence High School,Florence,AL,
11140,Foley High School,Foley,AL,
11150,Fort Payne High School,Fort Payne,AL,
11334,Gulf Shores High School,Gulf Shores,AL,
11340,Guntersville High School,GUNTERSVILLE,AL,
11390,Hartselle High School,Hartselle,AL,
11459,Jefferson County International Baccalaureate School,Birmingham,AL,
11485,Huntsville High School,Huntsville,AL,
11494,New Century Technology High School,Huntsville,AL,
11501,Columbia High School,HUNTSVILLE,AL,
11512,Zion Chapel High School,Jack,AL,
11520,Jackson High School,Jackson,AL,
11568,Brooks High School,Killen,AL,
11635,Lincoln High School,Lincoln,AL,
11697,Bob Jones High School,Madison,AL,
11701,James Clemens High School,Madison,AL,
11725,Francis Marion School,Marion,AL,
11758,Stanhope Elmore High School,Millbrook,AL,
11793,Alabama School of Mathematics and Science,Mobile,AL,
11820,McGill-Toolen Catholic High School,Mobile,AL,
11839,WP Davidson High School,Mobile,AL,
11877,Brewbaker Technology Magnet High School,Montgomery,AL,
11880,Montgomery Catholic Preparatory School,Montgomery,AL,
11885,Carver Senior High School,Montgomery,AL,
11892,Jefferson Davis High School,Montgomery,AL,
11896,Loveless Academic Magnet Program High School,Montgomery,AL,
11900,Lee High School,Montgomery,AL,
11907,Park Crossing High School,Montgomery,AL,
11910,Lanier Senior High School,Montgomery,AL,
11927,Muscle Shoals High School,Muscle Shoals,AL,
11930,Lawrence County High School,Moulton,AL,
11960,Munford High School,Munford,AL,
12005,Tuscaloosa County High School,Northport,AL,
12055,Opelika High School,Opelika,AL,
12085,Oxford High School,Oxford,AL,
12090,White Plains High School,Anniston,AL,
12093,Carroll High School,Ozark,AL,
12220,Prattville High School,Prattville,AL,
12352,Russellville High School,Russellville,AL,
12365,Northside High School,Northport,AL,
12383,Satsuma High School,Satsuma,AL,
12450,Mary G Montgomery High School,Semmes,AL,
12455,Sheffield High School,Sheffield,AL,
12485,Thompson High School,Alabaster,AL,
12510,Albert P Brewer High School,Somerville,AL,
12530,Springville High School,Springville,AL,
12570,Sylacauga High School,Sylacauga,AL,
12615,Theodore High School,Theodore,AL,
12648,Sparkman High School,Harvest,AL,
12675,Hewitt-Trussville High School,Trussville,AL,
12685,Hillcrest High School,Tuscaloosa,AL,
12688,Tuscaloosa Academy,Tuscaloosa,AL,
12768,Vestavia Hills High School,Vestavia Hills,AL,
12835,Wetumpka High School,Wetumpka,AL,
12855,Sumter Central High School,LIVINGSTON,AL,
20136,Susitna Valley High School,Talkeetna,AK,
20155,Wasilla High School,Wasilla,AK,
20286,Colony High School,Palmer,AK,
30037,Basha High School,Chandler,AZ,
30040,Casa Grande Union High School,Casa Grande,AZ,
30062,Hamilton High School,Chandler,AZ,
30070,Paragon Science Academy,Chandler,AZ,
30072,BASIS Chandler,Chandler,AZ,
30216,Dobson High School,Mesa,AZ,
30220,Mesa High School,Mesa,AZ,
30256,Centennial High School,Peoria,AZ,
30259,Ironwood High School,Glendale,AZ,
30277,Carl Hayden High School,Phoenix,AZ,
30287,Paradise Valley High School,Phoenix,AZ,
30295,Xavier College Preparatory School,Phoenix,AZ,
30316,North Canyon High School,Phoenix,AZ,
30368,Skyline High School,Mesa,AZ,
30392,Notre Dame Preparatory High School,Scottsdale,AZ,
30417,Buena High School,Sierra Vista,AZ,
30455,Amphitheater High School,Tucson,AZ,
30473,Canyon del Oro High School,Oro Valley,AZ,
30492,Pusch Ridge Christian Academy,Tucson,AZ,
30497,Mountain View High School,Tucson,AZ,
30544,Willow Canyon High School,Surprise,AZ,
30654,PVOnline High School,Phoenix,AZ,
30660,BASIS Scottsdale,Scottsdale,AZ,
30668,Perry High School,Gilbert,AZ,
30690,Poston Butte High School,Queen Creek,AZ,
30800,BASIS Ahwatukee,Phoenix,AZ,
40003,Springdale School of Innovation,,AR,
40004,Bentonville West High School,,AR,
40145,Beebe High School,Beebe,AR,
40175,Bentonville High School,Bentonville,AR,
40310,Bryant High School,Bryant,AR,
40320,Cabot High School,Cabot,AR,
40455,Clarendon High School,Clarendon,AR,
40490,Conway High School,Conway,AR,
40705,Elkins High School,Elkins,AR,
40760,Farmington High School,Farmington,AR,
40770,Fayetteville High School,Fayetteville,AR,
40835,Northside High School,Ft Smith,AR,
40837,Southside High School,Ft Smith,AR,
41045,Wonderview High School,Hattieville,AR,
41065,West Side High School,Greers Ferry,AR,
41130,Spring Hill High School,Hope,AR,
41148,"Arkansas School for Mathematics, Science and the Arts",Hot Springs,AR,
41160,Lakeside High School,Hot Springs National Park,AR,
41422,Central High School,Little Rock,AR,
41423,Hall High School,Little Rock,AR,
41443,Parkview Arts and Science Magnet High School,Little Rock,AR,
41485,McClellan Magnet High School,Little Rock,AR,
41486,Lisa Academy,Little Rock,AR,
41528,Maumelle Charter High School,Maumelle,AR,
41560,Marion Senior High School,Marion,AR,
41950,Greene County Technical High School,PARAGOULD,AR,
42120,Prescott High School,Prescott,AR,
42147,Har-Ber High School,Springdale,AR,
42195,Russellville High School,Russellville,AR,
