School Code,School Name,School Address,City,Zip,State
10110,Anniston High School,1301 Woodstock Ave,Anniston,36207,AL
10130,Arab High School,511 Arabian Dr NE,Arab,35016,AL
10175,Athens High School,100 Highway 31 N,Athens,35611,AL
10220,Auburn High School,405 S Dean Rd,Auburn,36830,AL
10251,Alma Bryant High School,14001 Hurricane Blvd,Irvington,36544,AL
10320,Oak Grove High School,9494 Oak Grove Pkwy,Bessemer,35023,AL
10326,Alabama School of Fine Arts,,,,AL
10328,Hoover High School,1000 Buccaneer Drive,Hoover,35244,AL
10335,Altamont School,,,,AL
10375,Minor High School,2285 Minor Pkwy,Adamsville,35005,AL
10380,Mountain Brook High School,3650 Bethune Dr,Mountain Brook,35223,AL
10381,Spain Park High School,4700 Jaguar Drive,Hoover,35242,AL
10408,Oak Mountain High School,5476 Caldwell Mill Rd,Birmingham,35242,AL
10415,Shades Valley High School,,,,AL
10425,Wenonah High School,2800 Wilson Rd SW,Birmingham,35221,AL
10445,Beulah High School,4848 Lee Road 270,Valley,36854,AL
10555,Calera High School,100 Calera Eagle Drive,Calera,35040,AL
10648,Chelsea High School,10510 Highway 11,Chelsea,35043,AL
10660,Childersburg High School,122 Fay S Perry Dr,Childersburg,35044,AL
10670,Citronelle High School,19325 Rowe St,Citronelle,36522,AL
10675,Chilton County High School,1214 7th St S,Clanton,35045,AL
10689,Clay-Chalkville High School,6623 Roe Chandler Rd,Pinson,35126,AL
10750,Shelby County High School,101 Washington St,Columbiana,35051,AL
10795,Cullman High School,510 13th St NE,Cullman,35055,AL
10810,West Point High School,4314 County Road 1141,Cullman,35057,AL
10820,Dadeville High School,227 Weldon St,Dadeville,36853,AL
10844,Daphne High School,9300 Champions Way,Daphne,36526,AL
10850,Holtville High School,10425 Holtville Rd,Deatsville,36022,AL
10856,Austin High School,1625 Danville Rd SW,Decatur,35601,AL
10860,Decatur High School,1011 Prospect Dr SE,Decatur,35601,AL
10960,West Limestone High School,10945 School House Rd,Lester,35647,AL
10980,Enterprise High School,1801 Boll Weevil Circle,Enterprise,36330,AL
10995,Eufaula High School,530 Lake Dr,Eufaula,36027,AL
11060,Fairhope High School,18800 Greeno Rd,Fairhope,36532,AL
11075,Fayette County High School,202 Tiger Drive,Fayette,35555,AL
11120,Central High School,3000 County Road 200,Florence,35633,AL
11126,Florence High School,1201 Bradshaw Dr,Florence,35630,AL
11135,Rogers High School,300 Rogers Ln,Florence,35634,AL
11140,Foley High School,1 Pride Pl,Foley,36535,AL
11150,Fort Payne High School,201 45th St NE,Fort Payne,35967,AL
11208,Gardendale High School,800 Main St,Gardendale,35071,AL
11334,Gulf Shores High School,600 E 15th Ave,Gulf Shores,36542,AL
11340,Guntersville High School,14227 Highway 431 South,Guntersville,35976,AL
11345,Madison County High School,174 Brock Rd,Gurley,35748,AL
11390,Hartselle High School,1000 Bethel Road NE,Hartselle,35640,AL
11415,Hazel Green High School,14380 Highway 231-431 N,Hazel Green,35750,AL
11438,Helena High School,1310 Hillsboro Parkway,Helena,35080,AL
11459,Jefferson County International Baccalaureate School,6100 Old Leeds Rd,Irondale,35210,AL
11466,Virgil I Grissom High School,7901 Bailey Cove Rd,Huntsville,35802,AL
11485,Huntsville High School,2304 Billie Watkins SW,Huntsville,35801,AL
11494,New Century Technology High School,2500 Meridian Street NW,Huntsville,35811,AL
11501,Columbia High School,300 Explorer Boulevard,Huntsville,35806,AL
11520,Jackson High School,321 Stanley Dr.,Jackson,36545,AL
11568,Brooks High School,4300 Highway 72,Killen,35645,AL
11600,Leeds High School,1500 Greenwave Drive,Leeds,35094,AL
11630,Lexington High School,101 School St,Lexington,35648,AL
11697,Bob Jones High School,650 Hughes Rd,Madison,35758,AL
11758,Stanhope Elmore High School,4300 Main St,Millbrook,36054,AL
11793,Alabama School of Mathematics and Science,,,,AL
11820,McGill-Toolen Catholic High School,,,,AL
11839,W P Davidson High School,3900 Pleasant Valley Rd,Mobile,36609,AL
