School Name,School Code
Grace Christian School,20182
Craig High School,20020
Ketchikan High School,20065
Dimond High School,20003
West Anchorage High School,20000
Service High School,20004
Thunder Mountain High School,20379
Homer High School,20045
Kodiak High School,20075
Susitna Valley High School,20136
Wasilla High School,20155
Colony High School,20286
Burchell High School,20283
Mat-Su Career and Technical High School,21080
Mat-Su Middle College School,20840
Petersburg High School,20110
Tuscaloosa Academy,12688
Montgomery Academy,11897
Alabama Christian Academy,11869
McGill-Toolen Catholic High School,11820
American Christian Academy,12679
Asbury High School,10027
Douglas High School,10925
Dar High School,11285
Brindlee Mountain High School,11336
Hoover High School,10328
Spain Park High School,10381
Bob Jones High School,11697
James Clemens High School,11701
Leeds High School,11600
Hewitt-Trussville High School,12675
Alabama School of Fine Arts,10326
Anniston High School,10110
Arab High School,10130
Athens High School,10175
Etowah High School,10210
Chickasaw High School,10657
Satsuma High School,12383
Thompson High School,12485
Pelham High School,12111
Pike Road High School,12858
Auburn High School,10220
Prattville High School,12220
Fairhope High School,11060
Gulf Shores High School,11334
Daphne High School,10844
Jackson-Olin High School,10435
Wenonah High School,10425
George Washington Carver High School,10405
T R Miller High School,10505
White Plains High School,12090
Wellborn High School,10125
Jackson High School,11520
Cullman High School,10795
Fairview High School,10800
Vinemont High School,12782
West Point High School,10810
Fyffe High School,11180
Crossville High School,10785
Austin High School,10856
Decatur High School,10860
Holtville High School,10850
Stanhope Elmore High School,11758
Wetumpka High School,12835
Enterprise High School,10980
Eufaula High School,10995
Florence High School,11126
Guntersville High School,11340
Hale County High School,11940
Greensboro High School,11295
Haleyville High School,11355
Hartselle High School,11390
Virgil Grissom High School,11466
Huntsville High School,11485
New Century Technology High School,11494
North Jackson High School,12535
Clay-Chalkville High School,10689
Corner High School,12795
Gardendale High School,11208
Shades Valley High School,10415
Minor High School,10375
Jefferson County International Baccalaureate School,11459
Sulligent School,12540
Lamar County High School,12760
South Lamar School,11770
Brooks High School,11568
Central High School,11120
Lauderdale County High School,12340
Lexington School,11630
Rogers High School,11135
Wilson High School,11138
Lawrence County High School,11930
East Lawrence High School,12659
Beulah High School,10445
Ardmore High School,10132
East Limestone High School,10185
Tanner High School,12605
West Limestone High School,10960
Elkmont High School,10955
Madison County High School,11345
Hazel Green High School,11415
Sparkman High School,12648
Buckhorn High School,11980
Sweet Water High School,12550
Baker High School,12525
W P Davidson High School,11839
Mary G Montgomery High School,12450
Murphy High School,11830
Alma Bryant High School,10251
Theodore High School,12615
Carver Senior High School,11885
Lanier Senior High School,11910
LAMP High School,11896
Park Crossing High School,11907
Danville High School,10830
Falkville High School,11070
Priceville High School,10862
Albert P Brewer High School,12510
Mountain Brook High School,10380
Muscle Shoals High School,11927
Oneonta High School,12040
Opelika High School,12055
Oxford High School,12085
Carroll High School,12093
Francis Marion School,11725
Central High School,12135
Russell County High School,12400
Russellville High School,12352
Scottsboro High School,12395
Selma High School,12430
Sheffield High School,12455
Calera High School,10555
Chelsea High School,10648
Shelby County High School,10750
Montevallo High School,11858
Oak Mountain High School,10408
Helena High School,11438
Springville High School,12530
Sumter Central High School,12855
Sylacauga High School,12570
Bb Comer Memorial High School,12560
Childersburg High School,10660
Munford High School,11960
Dadeville High School,10820
Charles Henderson High School,12670
Paul W Bryant High School,10767
Hillcrest High School,12685
Northside High School,12365
Tuscaloosa County High School,12005
Deshler High School,12695
Vestavia Hills High School,12768
Holy Spirit Catholic High School,12691
Mcps High School,11880
Donoho School,10109
Saint James School,11904
UMS Wright Preparatory School,11835
Little Rock Christian Academy,41453
Sheridan High School,42265
Paragould High School,41960
Star City High School,42337
Hamburg High School,40995
Lisa Academy,41486
Arkadelphia High School,40035
Beebe High School,40145
Benton High School,40170
Bentonville High School,40175
Bentonville West High School,40004
Bergman High School,40180
Berryville High School,40185
Bryant High School,40310
Cabot High School,40320
Carlisle High School,40380
Cedarville High School,40410
Charleston High School,40420
Conway High School,40490
Dumas High School,40660
Earle High School,40675
Fayetteville High School,40770
Northside High School,40835
Southside High School,40837
Greenland High School,40945
The Academies at Jonesboro High School,41270
Kirby High School,41315
Lakeside High School,41160
Lincoln High School,41405
Central High School,41422
J A Fair High School,41429
Lonoke High School,41470
Marion Senior High School,41560
Marvell High School,41585
McGehee High School,41620
Nettleton High School,41815
Mills University Studies High School,42390
Maumelle High School,41861
Rogers New Technology High School,42171
Russellville High School,42195
Smackover High School,42285
Springdale Senior High School,42315
Har-Ber High School,42147
Stuttgart High School,42365
Greene County Technical High School,41950
Van Buren High School,42500
Waldron High School,42565
West Side High School,41065
White Hall High School,42045
Bourgade Catholic High School,30264
Cactus Shadows High School,30043
Mohave High School,30032
Northland Preparatory Academy,30111
American Leadership Academy Queen Creek 7-12,30721
American Leadership Academy Ironwood 7-12,30771
Sonoran Science Academy,30563
Horizon Honors High School,30054
Pan American Elementary Charter School,30776
Skyview High School,30507
Agua Fria High School,30007
Millennium High School,30159
Verrado High School,30029
Canyon View High School,30683
Amphitheater High School,30455
Canyon del Oro High School,30473
Ironwood Ridge High School,30517
Sonoran Science Academy - Phoenix,30642
Paragon Science Academy,30070
Sonoran Science Academy - Davis Monthan,34570
BASIS Chandler,30072
BASIS Flagstaff,30728
BASIS Mesa,30750
Madison Highland Prep,30770
Heritage Academy Laveen,30768
Buckeye Union High School,30030
Estrella Foothills High School,30172
Youngker High School,30026
Chandler High School,30045
Hamilton High School,30062
Basha High School,30037
Perry High School,30668
Arizona College Prep-Erie Campus,30711
Valley Vista High School,33769
Shadow Ridge High School,30662
Poston Butte High School,30690
Flowing Wells High School,30485
Fountain Hills High School,30124
Highland High School,30141
Mesquite High School,30157
Campo Verde High School,30696
Glendale High School,30145
Greenway High School,30266
Moon Valley High School,30283
Washington High School,30320
Independence High School,30146
Higley High School,30163
Williams Field High School,30619
Combs High School,30630
Marana High School,30200
Mountain View High School,30497
Mountain View High School,30224
Red Mountain High School,30221
Skyline High School,30368
Paradise Valley High School,30287
Pvonline,30654
Centennial High School,30256
Liberty High School,30208
Maryvale High School,30282
Cesar Chavez High School,30192
Walden Grove High School,30731
Chaparral High School,30397
Mountain Ridge High School,30153
Deer Valley High School,30144
Sandra Day Oconnor High School,30173
Tanque Verde High School,30600
La Joya Community High School,30008
University High School,30746
Sabino High School,30503
Palo Verde High Magnet School,30493
University High School,30488
Sahuaro High School,30504
Santa Rita High School,30513
Cienega High School,30541
Casteel High School,30820
Desert Christian High School,30483
Paraclete High School,51356
Bishop Mora Salesian High School,51554
Don Bosco Technical Institute,53053
Mayfield Senior School,52395
Notre Dame High School,53095
Notre Dame High School,53095
Notre Dame High School,53095
La Salle High School,52392
Providence High School,50402
Damien High School,52502
Loyola High School,51685
San Gabriel Mission High School,53061
Flintridge Sacred Heart Academy,52380
Sacred Heart Cathedral Preparatory,53005
Mission College Preparatory Catholic High School,53140
Moreau Catholic High School,51156
De La Salle High School,50662
Carondelet High School,50656
Rosary Academy,51007
Mater Dei High School,53240
Jesuit High School,52714
Christian Brothers High School,52697
Aquinas High School,52772
Academy of Our Lady of Peace,52820
AGBU Manoogian-Demirdjian School,50462
The Buckley School,51628
Sacramento Country Day School,52733
Bais Yaakov School For Girls,51533
Berean Christian High School,53683
Brentwood School,51555
Viewpoint School,50423
Ojai Valley School,52262
Palm Valley School,52321
Chadwick School,52680
Westridge School,52420
Bentley School,51300
Windward School,53323
Mountain View Academy,52065
Servite High School,50088
Sierra Canyon School,54038
San Diego Jewish Academy,52946
iLead Online Charter School,51338
Rocklin High School,52609
Whitney High School,53937
Hesperia High School,51168
Granite Hills High School,50134
Apple Valley High School,50118
Dublin High School,50784
Foothill High School,52497
Amador Valley High School,52495
Mendota High School,51952
Mira Costa High School,51895
Elsinore High School,50855
Temescal Canyon High School,51402
Lakeside High School,53995
Keith McCarthy Academy,54401
Chaparral High School,53539
Great Oak High School,53880
Murrieta Valley High School,52073
Vista Murrieta High School,53004
Murrieta Mesa High School,54357
Redondo Union High School,52600
Riverdale High School,52660
Healdsburg High School,51160
