school_name,school_code
Lindsay Lane Christian Academy,10014
Albertville High School,10025
Asbury High School,10027
Benjamin Russell High School,10035
Orange Beach High School,10042
Acceleration Day and Evening Academy,10053
Alexandria High School,10055
Alabama School Of Cyber Technology And Engineering,10061
Elberta High School,10066
Madison County Career Technical Center,10067
Anniston High School,10110
Saks High School,10123
Arab High School,10130
Ardmore High School,10132
Meek High School,10140
Athens High School,10175
Clements High School,10180
East Limestone High School,10185
Etowah High School,10210
Auburn High School,10220
Alma Bryant High School,10251
Berry High School,10300
Alabama School of Fine Arts,10326
Hoover High School,10328
Altamont School,10335
Center Point High School,10348
Mountain Brook High School,10380
Spain Park High School,10381
Oak Mountain High School,10408
Shades Valley High School,10415
Wenonah High School,10425
Jackson-Olin High School,10435
Cold Springs High School,10490
T R Miller High School,10505
Brookwood High School,10530
Choctaw County High School,10550
Calera High School,10555
Wilcox Central High School,10570
Bibb County High School,10630
Chelsea High School,10648
Chickasaw Middle/High School,10657
Citronelle High School,10670
Chilton County High School,10675
Clay-Chalkville High School,10689
Shelby County High School,10750
Cordova High School,10760
Paul W Bryant High School,10767
Crossville High School,10785
Fairview High School,10800
West Point High School,10810
Dadeville High School,10820
Danville High School,10830
Daphne High School,10844
Holtville High School,10850
Austin High School,10856
Decatur High School,10860
Priceville High School,10862
Demopolis High School,10875
Dothan High School,10914
Douglas High School,10925
Elmore County High School,10940
Elkmont High School,10955
West Limestone High School,10960
Enterprise High School,10980
Eufaula High School,10995
Fairhope High School,11060
Falkville High School,11070
Fayette County High School,11075
Hubbertville School,11085
Florence High School,11126
Wilson High School,11138
Fyffe High School,11180
Geneva High School,11220
Geraldine High School,11235
Dar High School,11285
Marion County High School,11330
Gulf Shores High School,11334
Brindlee Mountain High School,11336
Guntersville High School,11340
Madison County High School,11345
Haleyville High School,11355
Hartselle High School,11390
Hazel Green High School,11415
Helena High School,11438
North Sand Mountain High School,11443
Holly Pond High School,11455
Jefferson County International Baccalaureate School,11459
Holt High School,11460
Virgil Grissom High School,11466
Huntsville High School,11485
New Century Technology High School,11494
Columbia High School,11501
Jacksonville High School,11530
Jasper High School,11540
Leeds High School,11600
Colbert County High School,11615
Lexington School,11630
Central High School of Clay County,11655
James Clemens High School,11701
Marbury High School,11710
