id,Name,Scientific Name,Conservation Status,Primary Color,Diet,Image of Range,Image of Bird
1,American Goldfinch,Spinus tristis,Least Concern,Yellow,"seeds, insects",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/American_Goldfinch-rangemap.png/330px-American_Goldfinch-rangemap.png,https://www.allaboutbirds.org/guide/assets/photo/63737371-480px.jpg
2,American Purple Gallinule,Porphyrio martinicus,Least Concern,Blue,"frogs, seeds, leaves, fish",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Porphyrio_martinica_map.svg/330px-Porphyrio_martinica_map.svg.png,https://www.allaboutbirds.org/guide/assets/og/75229331-1200px.jpg
3,American Redstart,Setophaga ruticilla,Least Concern,Black,flying insects,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Setophaga_ruticilla_map.svg/330px-Setophaga_ruticilla_map.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/cd/Setophaga_ruticilla_-Chiquimula%2C_Guatemala_-male-8-4c.jpg
4,Amsterdam Albatross,Diomedea amsterdamensis,Endangered,Black,"squid, fish, crustaceans",https://www.oiseaux.net/maps/svg/albatros.d.amsterdam.svg,https://static.wikia.nocookie.net/animals/images/2/2c/IMG_6372.jpg/revision/latest/scale-to-width-down/340?cb=20140808205058
5,Arctic Tern,Sterna paradisaea,Least Concern,White,"fish, crustaceans",https://i.pinimg.com/originals/be/f7/3f/bef73fd954d01c171f3250fe26565767.jpg,https://media.nationalgeographic.org/assets/photos/000/277/27700.jpg
6,Bald Eagle,Haliaeetus leucocephalus,Least Concern,Brown,"fish, small mammals, birds",https://www.oiseaux.net/maps/svg/pygargue.a.tete.blanche.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/About_to_Launch_%2826075320352%29.jpg
7,Belted Kingfisher,Megaceryle alcyon,Least Concern,Grey,"fish, insects, crustaceans, amphibians",https://www.allaboutbirds.org/guide/assets/photo/31955671-720px.jpg,https://tilandtrust.org/sites/default/files/images/news/belted_kingfisher_s52-13-028_l.jpg
8,Black-Crowned Night Heron,Nycticorax nycticorax,Least Concern,Grey,"fish, crustaceans, frogs, insects",https://www.aladdin.st/bird-watching/maps/black-crowned_night_heron2.jpg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/191086401/320
9,Blue Footed Booby,Sula nebouxii,Least Concern,White,"fish, squid",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Blaufu%C3%9Ftoelpel_%28Sula_nebouxii%29_world2.png/330px-Blaufu%C3%9Ftoelpel_%28Sula_nebouxii%29_world2.png,https://i.pinimg.com/736x/b3/71/e7/b371e7cec9f6762ae1d81a3e43cc3daf.jpg
10,Blue Jay,Cyanocitta cristata,Least Concern,Blue,"nuts, grain, corn, berries, insects",https://nas-national-prod.s3.amazonaws.com/sites/default/files/Blue-Jay_map.jpg,https://www.allaboutbirds.org/guide/assets/photo/59859171-480px.jpg
11,Blue Manakin,Chiroxiphia caudata,Least Concern,Blue,"fruit, berries, insects",https://www.oiseaux.net/maps/svg/manakin.a.longue.queue.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Chiroxiphia_caudata-2.jpg
12,Bokikokiko,Acrocephalus aequinoctialis,Endangered,Grey,"flies, dragonflies, small lizards",https://images.theconversation.com/files/279993/original/file-20190618-118505-iddo8l.PNG?ixlib=rb-1.1.0&q=45&auto=format&w=754&fit=clip,https://farm9.staticflickr.com/8806/17074254082_97daffe794_z.jpg
13,Brown Creeper,Certhia americana,Least Concern,Brown,"insects, suet, seeds",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Certhia_americana_map.svg/330px-Certhia_americana_map.svg.png,https://i.pinimg.com/originals/bf/06/c9/bf06c92782159121e579866191c6c08e.jpg
14,Buff-Spotted Flufftail,Sarothrura elegans,Least Concern,Black,"ants, small insects",https://www.oiseaux.net/maps/svg/rale.ponctue.svg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203317581/1800
15,Bumblebee Hummingbird,Atthis heloisa,Least Concern,Green,"nectar, spiders",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Atthis_heloisa_map.svg/330px-Atthis_heloisa_map.svg.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/219318871/1800
16,Carolina Wren,Thryothorus ludovicianus,Least Concern,Brown,"insects, fruits, seeds",https://www.oiseaux.net/maps/svg/troglodyte.de.caroline.svg,https://www.allaboutbirds.org/guide/assets/og/75302131-1200px.jpg
17,Cave Swallow,Petrochelidon fulva,Least Concern,Brown,flying insects,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/189271971/2400,https://www.allaboutbirds.org/guide/assets/photo/68122191-480px.jpg
18,Common Buttonquail,Turnix sylvaticus,Least Concern,Brown,"seeds, insects, larvae",https://www.oiseaux.net/maps/svg/turnix.mugissant.svg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/143000061/900
19,Common Ostrich,Struthio camelus,Least Concern,Black,"seeds, shrubs, grass, fruit, flowers, insects",https://jacksonzoo.org/wp-content/uploads/2014/05/Animal-Ranges-Maps-Ostrich.jpg,https://cdn.mos.cms.futurecdn.net/z3iEY8ryHdNzeyvLxyMppT.jpg
20,Common Pheasant,Phasianus colchicus,Least Concern,Brown,"fruit, seeds, grain, leaves",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Phasianus_colchicus_map.svg/330px-Phasianus_colchicus_map.svg.png,https://www.allaboutbirds.org/guide/assets/og/75368221-1200px.jpg
21,Common Raven,Corvus corax,Least Concern,Black,"carrion, grain, berries, insects, small animals, garbage",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Corvus_corax_map.jpg/330px-Corvus_corax_map.jpg,https://www.allaboutbirds.org/guide/assets/photo/300152741-480px.jpg
22,Common Sandpiper,Actitis hypoleucos,Least Concern,White,"larvae, snails, crustaceans, crabs, clams",https://www.aladdin.st/bird-watching/maps/common_sandpiper.jpg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45128851/1800
