School ID,Course,Year,School Name,City,Zip/Postal Code,School District,State/Province
753724,AP Computer Science A,2020,St. Michael the Archangel Catholic High School,Lee's Summit,64064,,MO
1326804,AP Computer Science A,2020,Radford School,El Paso,79903,,TX
4141001,AP Computer Science A,2020,Burnaby Central Secondary,Burnaby,V5G 0A9,,BC
4545010,AP Computer Science A,2020,Sentinel Secondary School,West Vancouver,V7S 2R2,,BC
00637399,AP Computer Science A,2020,Notre Dame Preparatory School,Pontiac,48340,,MI
00637945,AP Computer Science A,2020,Divine Child High School,Dearborn,48128,,MI
01325323,AP Computer Science A,2020,Incarnate Word Academy,Houston,77002,,TX
A0109322,AP Computer Science A,2020,Al-Hadi School of Accelerative Learning,Houston,77082,,TX
A0740116,AP Computer Science A,2020,Saint Martin de Porres High School,Cleveland,44103,,OH
A9902672,AP Computer Science A,2020,Center Place Restoration School,Independence,64050,,MO
A0509113 ,AP Computer Science A,2020,Whitfield School,St. Louis,63141,,MO
10000702487,AP Computer Science A,2020,Riverchase Career Connection Center,Birmingham,35244,,AL
60218414282,AP Computer Science A,2020,KIPP Navigate College Prep,San Jose,95123,,CA
60723000673,AP Computer Science A,2020,Prospect High,San Jose,95124,,CA
60756000727,AP Computer Science A,2020,Carpinteria High School,Carpinteria,93013,,CA
61182001304,AP Computer Science A,2020,Mt. Pleasant High School,San Jose,95127,,CA
61182001310,AP Computer Science A,2020,Yerba Buena High School,San Jose,95122-3730,,CA
62271003413,AP Computer Science A,2020,University High School Charter,Los Angeles,90025,,CA
62271010889,AP Computer Science A,2020,Maywood Academy High School,Maywood,90270,,CA
62280003487,AP Computer Science A,2020,Saratoga High School,Saratoga,95070,,CA
62316003536,AP Computer Science A,2020,Lynwood High School,Lynwood,90262,,CA
62316010903,AP Computer Science A,2020,Marco Antonio Firebaugh High School,Lynwood,90262,,CA
40012901790,AP Computer Science A,2020,Accelerated Learning Laboratory,TUCSON,85745,,AZ
40880001447,AP Computer Science A,2020,Sahuaro High School,Tucson,85710,,AZ
40880001448,AP Computer Science A,2020,Santa Rita High School,Tucson,85730,,AZ
40885003272,AP Computer Science A,2020,Andrada Polytechnic High School,Tucson,85747,,AZ
62271008887,AP Computer Science A,2020,Los Angeles Center for Enriched Studies,Los Angeles,90035,,CA
62805004305,AP Computer Science A,2020,Oakland Technical High,OAKLAND,94611,,CA
63543007868,AP Computer Science A,2020,Santa Clara High School,SANTA CLARA,95051,,CA
