id	name	city	state	zip
100002	ALABAMA YOUTH SERVICES	MT. MEIGS	AL	36057
100005	ALBERTVILLE CITY	ALBERTVILLE	AL	35950
100006	MARSHALL COUNTY	GUNTERSVILLE	AL	35976
100007	HOOVER CITY	HOOVER	AL	35243
100008	MADISON CITY	MADISON	AL	35758
100009	AL INST DEAF AND BLIND	TALLADEGA	AL	35161
100011	LEEDS CITY	LEEDS	AL	35094
100012	BOAZ CITY	BOAZ	AL	35957
100013	TRUSSVILLE CITY	TRUSSVILLE	AL	35173
100015	SAFETYNET ACADEMY	BIRMINGHAM	AL	35210
100016	BRYCE ADOLESCENT SCHOOL	TUSCALOOSA	AL	35401
100018	ALABAMA SCHOOL OF FINE ARTS	BIRMINGHAM	AL	35203
100019	UCP OF GREATER BIRMINGHAM	BIRMINGHAM	AL	35234
100020	BOYD SCHOOL	GREEN POND	AL	35074
100021	BREWERS PORCH CHILDRENS CENTER	TUSCALOOSA	AL	35487
100022	THREE SPRINGS COURTLAND SCH	COURTLAND	AL	35618
100023	THREE SPRINGS MADISON SCH	MADISON	AL	35758
100024	THREE SPRINGS NEW BEGINNINGS	MADISON	AL	35763
100026	THREE SPRINGS NEW TUSKEGEE	TUSKEGEE	AL	36083
100028	THREE SPRINGS NEW TUSKEGEE	GREEN POND	AL	35074
100029	THREE SPRINGS NEW DIRECTION	OWENS CROSS ROADS	AL	35806
100030	ALEXANDER CITY	ALEXANDER CITY	AL	35010
100032	THE BRIDGE	PELHAM	AL	35214
100033	GLENWOOD MENTAL HEALTH SERVICE	BIRMINGHAM	AL	35242
100035	LEARNING TREE INC	SEMMES	AL	36575
100036	LEE CO YOUTH DEVELOPMENT CTR	OPELIKA	AL	36801
100037	BAY POINT CENTER	MOBILE	AL	36693
100038	PATHWAY INC	ENTERPRISE	AL	36331
100039	PRESBYTERIAN HOME FOR CHILDREN	BIRMINGHAM	AL	35210
100040	BRANTWOOD CHILDREN'S HOME	MONTGOMERY	AL	36107
100041	DEVELOPING ALABAMA YOUTH PROG	ALABASTER	AL	35007
100042	LAUREL OAKS BEHAVIORAL HEALTH	DOTHAN	AL	36301
100043	MOUNTAINVIEW HOSPITAL	GADSDEN	AL	35902
100044	THE RUSHTON SCHOOL	BIRMINGHAM	AL	35212
100045	WILMER HALL	MOBILE	AL	36608
100046	THREE SPRINGS PAINT ROCK VALLEY	TRENTON	AL	35774
100060	ANDALUSIA CITY	ANDALUSIA	AL	36420
100090	ANNISTON CITY	ANNISTON	AL	36206
100100	ARAB CITY	ARAB	AL	35016
100120	ATHENS CITY	ATHENS	AL	35611
100173	COMPASS ACADEMY	EVERGREEN	AL	36401
100174	ETOWAH ACADEMY	EAST GADSDEN	AL	35903
100175	POINTE ACADEMY	MOBILE	AL	36617
100176	ALABAMA CORRECTIONAL FACILITIES	WETUMPKA	AL	36092
100178	HIGDON HILL SCHOOL	BIRMINGHAM	AL	35212
100179	THE BRIDGE II	GADSDEN	AL	35901
100180	ATTALLA CITY	ATTALLA	AL	35954
100181	COMPASS SCHOOL	ATMORE	AL	36502
100183	ALABAMA CLINICAL SCHOOL	BIRMINGHAM	AL	35210
100184	EXCEL INSTITUTE	GADSDEN	AL	35901
100185	SARALAND CITY	SARALAND	AL	36571
100186	FATHER PURCELL CENTER	MONTGOMERY	AL	36108
100187	FATHER WALTERS CTR	MONTGOMERY	AL	36110
100188	CHICKASAW CITY	CHICKASAW	AL	36611
100189	SATSUMA CITY	SATSUMA	AL	36572
100190	ALABASTER CITY	ALABASTER	AL	35007
100191	EVERGREEN SCHOOL	TUSCALOOSA	AL	35487
100192	MCINNIS SCHOOL	MONTGOMERY	AL	36116
100193	ST. MARYS HOME	MOBILE	AL	36618
100194	PELHAM CITY	PELHAM	AL	35124
100195	PIKE ROAD	PIKE ROAD	AL	36064
100210	AUBURN CITY	AUBURN	AL	36830
100240	AUTAUGA COUNTY	PRATTVILLE	AL	36067
100270	BALDWIN COUNTY	BAY MINETTE	AL	36507
100300	BARBOUR COUNTY	CLAYTON	AL	36016
100330	BESSEMER CITY	BESSEMER	AL	35020
100360	BIBB COUNTY	CENTREVILLE	AL	35042
100390	BIRMINGHAM CITY	BIRMINGHAM	AL	35203
100420	BLOUNT COUNTY	ONEONTA	AL	35121
100450	BREWTON CITY	BREWTON	AL	36426
100480	BULLOCK COUNTY	UNION SPRINGS	AL	36089
100510	BUTLER COUNTY	GREENVILLE	AL	36037
100540	CALHOUN COUNTY	ANNISTON	AL	36206
100600	CHAMBERS COUNTY	LAFAYETTE	AL	36862
100630	CHEROKEE COUNTY	CENTRE	AL	35960
100660	CHILTON COUNTY	CLANTON	AL	35045
100690	CHOCTAW COUNTY	BUTLER	AL	36904
100720	CLARKE COUNTY	GROVE HILL	AL	36451
100750	CLAY COUNTY	ASHLAND	AL	36251
100780	CLEBURNE COUNTY	HEFLIN	AL	36264
100810	COFFEE COUNTY	ELBA	AL	36323
100840	COLBERT COUNTY	TUSCUMBIA	AL	35674
100870	CONECUH COUNTY	EVERGREEN	AL	36401
100900	COOSA COUNTY	ROCKFORD	AL	35136
100930	COVINGTON COUNTY	ANDALUSIA	AL	36420
100960	CRENSHAW COUNTY	LUVERNE	AL	36049
100990	CULLMAN CITY	CULLMAN	AL	35055
101020	CULLMAN COUNTY	CULLMAN	AL	35055
101050	DALE COUNTY	OZARK	AL	36360
101080	DALEVILLE CITY	DALEVILLE	AL	36322
101110	DALLAS COUNTY	SELMA	AL	36701
101140	DEKALB COUNTY	RAINSVILLE	AL	35986
101170	DECATUR CITY	DECATUR	AL	35601
101200	DEMOPOLIS CITY	DEMOPOLIS	AL	36732
101230	DOTHAN CITY	DOTHAN	AL	36301
101260	ELBA CITY	ELBA	AL	36323
101290	ELMORE COUNTY	WETUMPKA	AL	36092
101320	ENTERPRISE CITY	ENTERPRISE	AL	36330
101350	ESCAMBIA COUNTY	BREWTON	AL	36426
101380	ETOWAH COUNTY	GADSDEN	AL	35904
101410	EUFAULA CITY	EUFAULA	AL	36027
101440	FAIRFIELD CITY	FAIRFIELD	AL	35064
101470	FAYETTE COUNTY	FAYETTE	AL	35555
101530	FLORENCE CITY	FLORENCE	AL	35630
101560	FORT PAYNE CITY	FORT PAYNE	AL	35967
101590	FRANKLIN COUNTY	RUSSELLVILLE	AL	35653
101620	GADSDEN CITY	GADSDEN	AL	35901
101640	GENEVA CITY	GENEVA	AL	36340
101660	GENEVA COUNTY	GENEVA	AL	36340
101680	GREENE COUNTY	EUTAW	AL	35462
101690	GUNTERSVILLE CITY	GUNTERSVILLE	AL	35976
101710	HALE COUNTY	GREENSBORO	AL	36744
101720	HALEYVILLE CITY	HALEYVILLE	AL	35565
101730	HARTSELLE CITY	HARTSELLE	AL	35640
101740	HENRY COUNTY	ABBEVILLE	AL	36310
101760	HOMEWOOD CITY	HOMEWOOD	AL	35209
101770	HOUSTON COUNTY	DOTHAN	AL	36302
101800	HUNTSVILLE CITY	HUNTSVILLE	AL	35801
101830	JACKSON COUNTY	SCOTTSBORO	AL	35768
101860	JACKSONVILLE CITY	JACKSONVILLE	AL	36265
