id,name,path
1,alien,password_images/alien_thumb@2x.png
2,bat,password_images/bat_thumb@2x.png
3,bird,password_images/bird_thumb@2x.png
4,cat,password_images/cat_thumb@2x.png
5,dinosaur,password_images/dinosaur_thumb@2x.png
6,dog,password_images/dog_thumb@2x.png
7,dragon,password_images/dragon_thumb@2x.png
8,ghost,password_images/ghost_thumb@2x.png
9,knight,password_images/knight_thumb@2x.png
10,monster,password_images/monster_thumb@2x.png
11,ninja,password_images/ninja_thumb@2x.png
12,octopus,password_images/octopus_thumb@2x.png
13,penguin,password_images/penguin_thumb@2x.png
14,pirate,password_images/pirate_thumb@2x.png
15,princess,password_images/princess_thumb@2x.png
16,robot,password_images/robot_thumb@2x.png
17,spacebot,password_images/spacebot_thumb@2x.png
18,squirrel,password_images/squirrel_thumb@2x.png
19,unicorn,password_images/unicorn_thumb@2x.png
20,witch,password_images/witch_thumb@2x.png
21,wizard,password_images/wizard_thumb@2x.png
22,zombie,password_images/zombie_thumb@2x.png
