category,gradeband,name,standard,description,framework
1-A-i,3-5,Compare human and animal perception,1-A-i.3-5,Compare human and animal perception,AI4K12
1-A-ii,3-5,Illustrate how computer sensing differs from human sensing.,1-A-ii.3-5,Illustrate how computer sensing differs from human sensing.,AI4K12
1-A-iii,3-5,Explain how images are represented digitally in a computer.,1-A-iii.3-5,Explain how images are represented digitally in a computer.,AI4K12
1-B-i,3-5,"Use a software tool such as a speech transcription or visual object recognition demo to demonstrate machine perception, and explain why this is perception rather than mere sensing.",1-B-i.3-5,"Use a software tool such as a speech transcription or visual object recognition demo to demonstrate machine perception, and explain why this is perception rather than mere sensing.",AI4K12
1-B-ii,3-5,Illustrate how face detection works by extracting facial features.,1-B-ii.3-5,Illustrate how face detection works by extracting facial features.,AI4K12
1-B-iii,3-5,"Illustrate how sequences of sounds can be recognized as candidate words, even if some sounds are unclear.",1-B-iii.3-5,"Illustrate how sequences of sounds can be recognized as candidate words, even if some sounds are unclear.",AI4K12
1-B-iv,3-5,Illustrate how the outlines of partially occluded (blocked) objects in an image differ from the real shapes of the objects.,1-B-iv.3-5,Illustrate how the outlines of partially occluded (blocked) objects in an image differ from the real shapes of the objects.,AI4K12
1-C-i,3-5,"Demonstrate how a text to speech system can resolve ambiguity based on context, and how its error rate goes up when given ungrammatical or meaningless inputs.",1-C-i.3-5,"Demonstrate how a text to speech system can resolve ambiguity based on context, and how its error rate goes up when given ungrammatical or meaningless inputs.",AI4K12
1-A-i,6-8,Give examples of how humans combine information from multiple modalities,1-A-i.6-8,Give examples of how humans combine information from multiple modalities,AI4K12
1-A-ii,6-8,Give examples of how intelligent agents combine information from multiple sensors.,1-A-ii.6-8,Give examples of how intelligent agents combine information from multiple sensors.,AI4K12
1-A-iii,6-8,Explain how sounds are represented digitally in a computer.,1-A-iii.6-8,Explain how sounds are represented digitally in a computer.,AI4K12
1-B-i,6-8,Give examples of diferent types of computer perception that can extract meaning from sensory signals.,1-B-i.6-8,Give examples of diferent types of computer perception that can extract meaning from sensory signals.,AI4K12
1-B-ii,6-8,Illustrate the concept of feature extraction from images by simulating an edge detector.,1-B-ii.6-8,Illustrate the concept of feature extraction from images by simulating an edge detector.,AI4K12
1-B-iii,6-8,"Illustrate how sequences of words can be recognized as phrases, even if some of the words are unclear, by looking at how the words fit together.",1-B-iii.6-8,"Illustrate how sequences of words can be recognized as phrases, even if some of the words are unclear, by looking at how the words fit together.",AI4K12
1-B-iv,6-8,"Describe how edge detectors can be composed to form more complex feature detectors, e.g., for letters or shapes.",1-B-iv.6-8,"Describe how edge detectors can be composed to form more complex feature detectors, e.g., for letters or shapes.",AI4K12
