category,gradeband,name,standard,description,framework
D1,K-2,Explain why the compelling question is important to the student.,D1.1.K-2,Explain why the compelling question is important to the student.,c3ss
D1,K-2,Identify disciplinary ideas associated with a compelling question.,D1.2.K-2,Identify disciplinary ideas associated with a compelling question.,c3ss
D1,K-2,Identify facts and concepts associated with a supporting question.,D1.3.K-2,Identify facts and concepts associated with a supporting question.,c3ss
D1,K-2,Make connections between supporting questions and compelling questions.,D1.4.K-2,Make connections between supporting questions and compelling questions.,c3ss
D1,K-2,Determine the kinds of sources that will be helpful in answering compelling and supporting questions.,D1.5.K-2,Determine the kinds of sources that will be helpful in answering compelling and supporting questions.,c3ss
D2.Civ,K-2,Describe roles and responsibilities of people in authority.,D2.Civ.1.K-2,Describe roles and responsibilities of people in authority.,c3ss
D2.Civ,K-2,Apply civic virtues when participating in school settings.,D2.Civ.7.K-2,Apply civic virtues when participating in school settings.,c3ss
D2.Civ,K-2,Explain how people can work together to make decisions in the classroom.,D2.Civ.11.K-2,Explain how people can work together to make decisions in the classroom.,c3ss
D2.Civ,K-2,"Explain how all people, not just official leaders, play important roles in a community.",D2.Civ.2.K-2,"Explain how all people, not just official leaders, play important roles in a community.",c3ss
D2.Civ,K-2,"Describe democratic principles such as equality, fairness, and respect for legitimate authority and rules.",D2.Civ.8.K-2,"Describe democratic principles such as equality, fairness, and respect for legitimate authority and rules.",c3ss
D2.Civ,K-2,Identify and explain how rules function in public (classroom and school) settings.,D2.Civ.12.K-2,Identify and explain how rules function in public (classroom and school) settings.,c3ss
D2.Civ,K-2,Explain the need for and purposes of rules in various settings inside and outside of school.,D2.Civ.3.K-2,Explain the need for and purposes of rules in various settings inside and outside of school.,c3ss
D2.Civ,K-2,Follow agreed-upon rules for discussions while responding attentively to others when addressing ideas and making decisions as a group.,D2.Civ.9.K-2,Follow agreed-upon rules for discussions while responding attentively to others when addressing ideas and making decisions as a group.,c3ss
D2.Civ,K-2,Compare their own point of view with others’ perspectives.,D2.Civ.10.K-2,Compare their own point of view with others’ perspectives.,c3ss
D2.Civ,K-2,Describe how people have tried to improve their communities over time.,D2.Civ.14.K-2,Describe how people have tried to improve their communities over time.,c3ss
D2.Civ,K-2,Explain what governments are and some of their functions.,D2.Civ.5.K-2,Explain what governments are and some of their functions.,c3ss
D2.Civ,K-2,"Describe how communities work to accomplish common tasks, establish responsibilities, and fulfill roles of authority.",D2.Civ.6.K-2,"Describe how communities work to accomplish common tasks, establish responsibilities, and fulfill roles of authority.",c3ss
D2.Eco,K-2,Explain how scarcity necessitates decision making. ,D2.Eco.1.K-2,Explain how scarcity necessitates decision making. ,c3ss
D2.Eco,K-2,Describe the skills and knowledge required to produce certain goods and services.,D2.Eco.3.K-2,Describe the skills and knowledge required to produce certain goods and services.,c3ss
D2.Eco,K-2,Explain why people save.,D2.Eco.10.K-2,Explain why people save.,c3ss
D2.Eco,K-2,Describe why people in one country trade goods and services with people in other countries.,D2.Eco.14.K-2,Describe why people in one country trade goods and services with people in other countries.,c3ss
D2.Eco,K-2,Identify the benefits and costs of making various personal decisions.,D2.Eco.2.K-2,Identify the benefits and costs of making various personal decisions.,c3ss
D2.Eco,K-2,Describe the goods and services that people in the local community produce and those that are produced in other communities. ,D2.Eco.4.K-2,Describe the goods and services that people in the local community produce and those that are produced in other communities. ,c3ss
D2.Eco,K-2,Describe products that are produced abroad and sold domestically and products that are produced domestically and sold abroad.,D2.Eco.15.K-2,Describe products that are produced abroad and sold domestically and products that are produced domestically and sold abroad.,c3ss
