framework,category,standard,description
ccela,L,1.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
ccela,L,1.L.1.a,Print all upper- and lowercase letters.
ccela,L,1.L.1.b,"Use common, proper, and possessive nouns."
ccela,L,1.L.1.c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
ccela,L,1.L.1.d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
ccela,L,1.L.1.e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
ccela,L,1.L.1.f,Use frequently occurring adjectives.
ccela,L,1.L.1.g,"Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
ccela,L,1.L.1.h,"Use determiners (e.g., articles, demonstratives)."
ccela,L,1.L.1.i,"Use frequently occurring prepositions (e.g., during, beyond, toward)."
ccela,L,1.L.1.j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
ccela,L,1.L.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
ccela,L,1.L.2.a,Capitalize dates and names of people.
ccela,L,1.L.2.b,Use end punctuation for sentences.
ccela,L,1.L.2.c,Use commas in dates and to separate single words in a series.
ccela,L,1.L.2.d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
ccela,L,1.L.2.e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
ccela,L,1.L.3,(Begins in grade 2)
ccela,L,1.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
ccela,L,1.L.4.a,Use sentence-level context as a clue to the meaning of a word or phrase.
ccela,L,1.L.4.b,Use frequently occurring affixes as a clue to the meaning of a word.
ccela,L,1.L.4.c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
ccela,L,1.L.5,"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings."
ccela,L,1.L.5.a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
ccela,L,1.L.5.b,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
ccela,L,1.L.5.c,"Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
ccela,L,1.L.5.d,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
ccela,L,1.L.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
ccela,L,11-12.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
ccela,L,11-12.L.1.a,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested."
ccela,L,11-12.L.1.b,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster’s Dictionary of English Usage, Garner’s Modern American Usage) as needed."
ccela,L,11-12.L.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
ccela,L,11-12.L.2.a,Observe hyphenation conventions.
ccela,L,11-12.L.2.b,Spell correctly.
ccela,L,11-12.L.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening."
ccela,L,11-12.L.3.a,"Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading."
ccela,L,11-12.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies."
ccela,L,11-12.L.4.a,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
ccela,L,11-12.L.4.b,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable)."
ccela,L,11-12.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard "
ccela,L,11-12.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
ccela,L,11-12.L.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
ccela,L,11-12.L.5.a,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text."
ccela,L,11-12.L.5.b,Analyze nuances in the meaning of words with similar denotations.
ccela,L,11-12.L.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when consider"
ccela,L,2.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
ccela,L,2.L.1.a,"Use collective nouns (e.g., group)."
ccela,L,2.L.1.b,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish)."
ccela,L,2.L.1.c,"Use reflexive pronouns (e.g., myself, ourselves)."
ccela,L,2.L.1.d,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told)."
ccela,L,2.L.1.e,"Use adjectives and adverbs, and choose between them depending on what is to be modified."
ccela,L,2.L.1.f,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
ccela,L,2.L.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
ccela,L,2.L.2.a,"Capitalize holidays, product names, and geographic names."
ccela,L,2.L.2.b,Use commas in greetings and closings of letters.
ccela,L,2.L.2.c,Use an apostrophe to form contractions and frequently occurring possessives.
ccela,L,2.L.2.d,"Generalize learned spelling patterns when writing words (e.g., cage _ badge; boy _ boil)."
ccela,L,2.L.2.e,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
ccela,L,2.L.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
ccela,L,2.L.3.a,Compare formal and informal uses of English.
ccela,L,2.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
ccela,L,2.L.4.a,Use sentence-level context as a clue to the meaning of a word or phrase.
ccela,L,2.L.4.b,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell)."
ccela,L,2.L.4.c,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional)."
ccela,L,2.L.4.d,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
ccela,L,2.L.4.e,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
ccela,L,2.L.5,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
ccela,L,2.L.5.a,"Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy)."
ccela,L,2.L.5.b,"Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny)."
