framework,parent,category,type,description
csa2025,,1.1,Topic,"Introduction to Algorithms, Programming, and Compilers"
csa2025,,1.2,Topic,Variables and Data Types
csa2025,,1.3,Topic,Expressions and Output
csa2025,,1.4,Topic,Assignment Statements and Input
csa2025,,1.5,Topic,Casting and Range of Variables
csa2025,,1.6,Topic,Compound Assignment Operators
csa2025,,1.7,Topic,Application Program Interface (API) and Libraries
csa2025,,1.8,Topic,Documentation with Comments
csa2025,,1.9,Topic,Method Signatures
csa2025,,1.10,Topic,Calling Class Methods
csa2025,,1.11,Topic,Math Class
csa2025,,1.12,Topic,Objects: Instances of Classes
csa2025,,1.13,Topic,Object Creation and Storage (Instantiation)
csa2025,,1.14,Topic,Calling Instance Methods
csa2025,,1.15,Topic,String Manipulation
csa2025,,2.1,Topic,Algorithms with Selection and Repetition
csa2025,,2.2,Topic,Boolean Expressions
csa2025,,2.3,Topic,if Statements
csa2025,,2.4,Topic,Nested if Statements
csa2025,,2.5,Topic,Compound Boolean Expressions
csa2025,,2.6,Topic,Comparing Boolean Expressions
csa2025,,2.7,Topic,while Loops
csa2025,,2.8,Topic,for Loops
csa2025,,2.9,Topic,Implementing Selction and Iteration Algorithms
csa2025,,2.10,Topic,Implementing String Algorithms
csa2025,,2.11,Topic,Nested Iteration
csa2025,,2.12,Topic,Informal Run-Time Analysis
csa2025,,3.1,Topic,Abstraction and Program Design
csa2025,,3.2,Topic,Impact of Program Design
csa2025,,3.3,Topic,Anatomy of a Class
csa2025,,3.4,Topic,Constructors
csa2025,,3.5,Topic,Methods: How to Write Them
csa2025,,3.6,Topic,Methods: Passing and Returning References of an Object
csa2025,,3.7,Topic,Class Variables and Methods
csa2025,,3.8,Topic,Scope and Access
csa2025,,3.9,Topic,this Keyword
csa2025,,4.1,Topic,Ethical and Societal Issues Around Data Collection
csa2025,,4.2,Topic,Introduction to Using Data Sets
csa2025,,4.3,Topic,Array Creation and Access
csa2025,,4.4,Topic,Array Traversals
csa2025,,4.5,Topic,Implementing Array Algorithms
csa2025,,4.6,Topic,Using Text Files
csa2025,,4.7,Topic,Wrapper Classes
csa2025,,4.8,Topic,ArrayList Methods
csa2025,,4.9,Topic,ArrayList Traversals
csa2025,,4.10,Topic,Implementing ArrayList Algorithms
csa2025,,4.11,Topic,2D Array Creation and Access
csa2025,,4.12,Topic,2D Array Traversals
csa2025,,4.13,Topic,Implementing 2D Array Algorithms
csa2025,,4.14,Topic,Searching Algorithms
csa2025,,4.15,Topic,Sorting Algorithms
csa2025,,4.16,Topic,Recursion
csa2025,,4.17,Topic,Recursive Searching and Sorting
csa2025,1.1,1.1.A,Learning Objective,Represent patterns and algorithms found in everyday life using written language or diagrams.
csa2025,1.1,1.1.B,Learning Objective,Explain the code compilation and execution process.
csa2025,1.1,1.1.C,Learning Objective,Identify types of programming errors.
csa2025,1.2,1.2.A,Learning Objective,Identify the most appropriate data type category for a particular specification.
csa2025,1.2,1.2.B,Learning Objective,Develop code to declare variables to store numbers and Boolean values.
csa2025,1.3,1.3.A,Learning Objective,Develop code to generate output and determine the result that would be displayed.
csa2025,1.3,1.3.B,Learning Objective,Develop code to utilize string literals and determine the result of using string literals.
csa2025,1.3,1.3.C,Learning Objective,Develop code for arithmetic expressions and determine the result of these expressions.
csa2025,1.4,1.4.A,Learning Objective,Develop code for assignment statements with expressions and determine the value that is stored in the variable as a result of these statements.
csa2025,1.4,1.4.B,Learning Objective,Develop code to read input.
csa2025,1.5,1.5.A,Learning Objective,Develop code to cast primitive values to different primitive types in arithmetic expressions and determine the value that is produced as a result.
