framework,category,standard,description
csa2025,1.1.A,1.1.A.1,Algorithms define step-by-step processes to follow when completing a task or solving a problem. These algorithms can be represented using written language or diagrams.
csa2025,1.1.A,1.1.A.2,Sequencing defines an order for when steps in a process are completed. Steps in a process are completed one at a time.
csa2025,1.1.B,1.1.B.1,"Code can be written in any text editor; however, an Integrated Development Environment (IDE) is often used to write programs because it provides tools for a programmer to write, compile, and run code."
csa2025,1.1.B,1.1.B.2,A compiler checks code for some errors. Errors detectable by the compiler need to be fixed before the program can be run.
csa2025,1.1.C,1.1.C.1,A syntax error is a mistake in the program where the rules of the programming language are not followed. These errors are detected by the compiler.
csa2025,1.1.C,1.1.C.2,A logic error is a mistake in the algorithm or program that causes it to behave incorrectly or unexpectedly. These errors are detected by testing the program with specific data to see if it produces the expected outcome.
csa2025,1.1.C,1.1.C.3,A run-time error is a mistake in the program that occurs during the execution of a program. Run-time errors typically cause the program to terminate abnormally.
csa2025,1.1.C,1.1.C.4,An exception is a type of run-time error that occurs as a result of an unexpected error that was not detected by the compiler. It interrupts the normal flow of the program’s execution.
csa2025,1.2.A,1.2.A.1,A data type is a set of values and a corresponding set of operations on those values. Data types can be categorized as either primitive or reference.
csa2025,1.2.A,1.2.A.2,The primitive data types used in this course define the set of values and corresponding operations on those values for numbers and Boolean values.
csa2025,1.2.A,1.2.A.3,A reference type is used to define objects that are not primitive types.
csa2025,1.2.B,1.2.B.1,"The three primitive data types used in this course are int, double, and boolean. An int value is an integer. A double value is a real number. A boolean value is either true or false.
EXCLUSION STATEMENT
The other five primitive data types (long, short, byte, float, and char) are outside the scope of the AP Computer Science A course and exam."
csa2025,1.2.B,1.2.B.2,"A variable is a storage location that holds a value, which can change while the program is running. Every variable has a name and an associated data type. A variable of a primitive type holds a primitive value from that type."
csa2025,1.3.A,1.3.A.1,"System.out.print and System.out.println display information on the computer display. System.out.println moves the cursor to a new line after the information has been displayed, while System.out.print does not."
csa2025,1.3.B,1.3.B.1,A literal is the code representation of a fixed value.
csa2025,1.3.B,1.3.B.2,A string literal is a sequence of characters enclosed in double quotes.
csa2025,1.3.B,1.3.B.3,"Escape sequences are special sequences of characters that can be included in a string. They start with a \ and have a special meaning in Java. Escape sequences used in this course include double quote \"", backslash \\, and newline \n."
csa2025,1.3.C,1.3.C.1,"Arithmetic expressions, which consist of numeric values, variables, and operators, include expressions of type int and double."
