framework,category,standard,description
csp2021,AAP-1.A,AAP-1.A.1,"A variable is an abstraction inside a program that can hold a value. Each variable has associated data storage that represents one value at a time, but that value can be a list or other collection that in turn contains multiple values. "
csp2021,AAP-1.A,AAP-1.A.2,Using meaningful variable names helps with the readability of program code and understanding of what values are represented by the variables.
csp2021,AAP-1.A,AAP-1.A.3,"Some programming languages provide types to represent data, which are referenced using variables. These types include numbers, Booleans, lists, and strings. "
csp2021,AAP-1.A,AAP-1.A.4,Some values are better suited to representation using one type of data rather than another. 
csp2021,AAP-1.B,AAP-1.B.1,The assignment operator allows a program to change the value represented by a variable. 
csp2021,AAP-1.B,AAP-1.B.2,"The exam reference sheet provides the “←” operator to use for assignment. For example,a ← expression evaluates expression and then assigns the result to the variable a."
csp2021,AAP-1.B,AAP-1.B.3,The value stored in a variable will be the most recent value assigned. For example: a ← 1b ← a a ← 2 display(b) still displays 1.
csp2021,AAP-1.C,AAP-1.C.1,"A list is an ordered sequence of elements. For example, [value1, value2, value3, …] describes a list where value1 is the first element, value 2 is the second element, value 3 is the third element, and so on."
csp2021,AAP-1.C,AAP-1.C.2,An element is an individual value in a list that is assigned a unique index.
csp2021,AAP-1.C,AAP-1.C.3,An index is a common method for referencing the elements in a list or string using natural numbers.
csp2021,AAP-1.C,AAP-1.C.4,A string is an ordered sequence of characters.
csp2021,AAP-1.D,AAP-1.D.1,Data abstraction provides a separation between the abstract properties of a data type and the concrete details of its representation.
csp2021,AAP-1.D,AAP-1.D.2,Data abstractions manage complexity in programs by giving a collection of data a name without referencing the specific details of the representation.
csp2021,AAP-1.D,AAP-1.D.3,Data abstractions can be created using lists. 
csp2021,AAP-1.D,AAP-1.D.4,Developing a data abstraction to implement in a program can result in a program that is easier to develop and maintain.
csp2021,AAP-1.D,AAP-1.D.5,Data abstractions often contain different types of elements. 
csp2021,AAP-1.D,AAP-1.D.6,"The use of lists allows multiple related items to be treated as a single value. Lists are referred to by different names, such as array, depending on the programming language. EXCLUSION STATEMENT(EK APP-1.D.6): The use of linked lists is outside the scope"
csp2021,AAP-1.D,AAP-1.D.7,"The exam reference sheet provides the notation [value1, value2, value3…] to create a list with those values as the first, second, third, and so on items. For example, ●       aList ← [value1, value2, value3,...] creates a new list that contains the value"
csp2021,AAP-1.D,AAP-1.D.8,"The exam reference sheet describes a list structure whose index values are 1 through the number of elements in the list, inclusive. For all list operations, if a list index is less than 1 or greater than the length of the list, an error message is produce"
csp2021,AAP-2.A,AAP-2.A.1,An algorithm is a finite set of instructions that accomplish a specific task. 
csp2021,AAP-2.A,AAP-2.A.2,"Beyond visual and textual programming languages, algorithms can be expressed in a variety of ways, such as natural language, diagrams, and pseudocode."
csp2021,AAP-2.A,AAP-2.A.3,Algorithms executed by programs are implemented using programming languages. 
csp2021,AAP-2.A,AAP-2.A.4,"Every algorithm can be constructed using combinations of sequencing, selection, and iteration."
csp2021,AAP-2.B,AAP-2.B.1,Sequencing is the application of each step of an algorithm in the order in which the code statements are given.
