framework,category,standard,description
csp,1.1.1,1.1.1A,"A creative process in the development of a computational artifact can include, but is not limited to, employing nontraditional, nonprescribed techniques; the use of novel combinations of artifacts, tools, and techniques; and the exploration of personal cu"
csp,1.1.1,1.1.1B,Creating computational artifacts employs an iterative and often exploratory process to translate ideas into tangible form.
csp,1.2.1,1.2.1A,"A computational artifact is anything created by a human using a computer and can be, but is not limited to, a program, an image, audio, video, a presentation, or a web page file."
csp,1.2.1,1.2.1B,Creating computational artifacts requires understanding and using software tools and services.
csp,1.2.1,1.2.1C,"Computing tools and techniques are used to create computational artifacts and can include, but are not limited to, programming IDEs, spreadsheets, 3D printers, or text editors."
csp,1.2.1,1.2.1D,"A creatively developed computational artifact can be created by using nontraditional, nonprescribed computing techniques."
csp,1.2.1,1.2.1E,Creative expressions in a computational artifact can reflect personal expressions of ideas or interests.
csp,1.2.2,1.2.2A,Computing tools and techniques can enhance the process of finding a solution to a problem.
csp,1.2.2,1.2.2B,A creative development process for creating computational artifacts can be used to solve problems when traditional or prescribed computing techniques are not effective.
csp,1.2.3,1.2.3A,Creating computational artifacts can be done by combining and modifying existing artifacts or by creating new artifacts.
csp,1.2.3,1.2.3B,Computation facilitates the creation and modification of computational artifacts with enhanced detail and precision.
csp,1.2.3,1.2.3C,Combining or modifying existing artifacts can show personal expression of ideas.
csp,1.2.4,1.2.4A,A collaboratively created computational artifact reflects effort by more than one person.
csp,1.2.4,1.2.4B,Effective collaborative teams consider the use of online collaborative tools.
csp,1.2.4,1.2.4C,"Effective collaborative teams practice interpersonal communication, consensus building, conflict resolution, and negotiation."
csp,1.2.4,1.2.4D,Effective collaboration strategies enhance performance.
csp,1.2.4,1.2.4E,Collaboration facilitates the application of multiple perspectives (including sociocultural perspectives) and diverse talents and skills in developing computational artifacts.
csp,1.2.4,1.2.4F,A collaboratively created computational artifact can reflect personal expressions of ideas.
csp,1.2.5,1.2.5A,"The context in which an artifact is used determines the correctness, usability, functionality, and suitability of the artifact."
csp,1.2.5,1.2.5B,"A computational artifact may have weaknesses, mistakes, or errors depending on the type of artifact."
csp,1.2.5,1.2.5C,The functionality of a computational artifact may be related to how it is used or perceived.
csp,1.2.5,1.2.5D,The suitability (or appropriateness) of a computational artifact may be related to how it is used or perceived.
csp,1.3.1,1.3.1A,"Creating digital effects, images, audio, video, and animations has transformed industries."
csp,1.3.1,1.3.1B,"Digital audio and music can be created by synthesizing sounds, sampling existing audio and music, and recording and manipulating sounds, including layering and looping."
csp,1.3.1,1.3.1C,"Digital images can be created by generating pixel patterns, manipulating existing digital images, or combining images."
csp,1.3.1,1.3.1D,Digital effects and animations can be created by using existing software or modified software that includes functionality to implement the effects and animations.
csp,1.3.1,1.3.1E,Computing enables creative exploration of both real and virtual phenomena.
csp,2.1.1,2.1.1A,Digital data is represented by abstractions at different levels.
csp,2.1.1,2.1.1B,"At the lowest level, all digital data are represented by bits."
csp,2.1.1,2.1.1C,"At a higher level, bits are grouped to represent abstractions, including but not limited to numbers, characters, and color."
csp,2.1.1,2.1.1D,"Number bases, including binary, decimal, and hexadecimal, are used to represent and investigate digital data."
csp,2.1.1,2.1.1E,"At one of the lowest levels of abstraction, digital data is represented in binary (base 2) using only combinations of the digits zero and one."
csp,2.1.1,2.1.1F,Hexadecimal (base 16) is used to represent digital data because hexadecimal representation uses fewer digits than binary.
csp,2.1.1,2.1.1G,Numbers can be converted from any base to any other base.
csp,2.1.2,2.1.2A,A finite representation is used to model the infinite mathematical concept of a number. 
csp,2.1.2,2.1.2B,"In many programming languages, the fixed number of bits used to represent characters or integers limits the range of integer values and mathematical operations; this limitation can result in overflow or other errors."
csp,2.1.2,2.1.2C,"In many programming languages, the fixed number of bits used to represent real numbers (as floating point numbers) limits the range of floating  point values and mathematical operations; this limitation can result in round"
csp,2.1.2,2.1.2D,The interpretation of a binary sequence depends on how it is used.
csp,2.1.2,2.1.2E,A sequence of bits may represent instructions or data.
csp,2.1.2,2.1.2F,A sequence of bits may represent different types of data in different contexts.
csp,2.2.1,2.2.1A,The process of developing an abstraction involves removing detail and generalizing functionality.
csp,2.2.1,2.2.1B,An abstraction extracts common features from specific examples in order to generalize concepts.
csp,2.2.1,2.2.1C,An abstraction generalizes functionality with input parameters that allow software reuse.
csp,2.2.2,2.2.2A,"Software is developed using multiple levels of abstractions, such as constants, expressions, statements, procedures, and libraries."
csp,2.2.2,2.2.2B,Being aware of and using multiple levels of abstraction in developing programs helps to more effectively apply available resources and tools to solve problems.
csp,2.2.3,2.2.3A,Different programming languages offer different levels of abstraction.
csp,2.2.3,2.2.3B,High level programming languages provide more abstractions for the programmer and make it easier for people to read and write a program.
csp,2.2.3,2.2.3C,Code in a programming language is often translated into code in another (lowerlevel) language to be executed on a computer.
csp,2.2.3,2.2.3D,"In an abstraction hierarchy, higher levels of abstraction (the most general concepts) would be placed toward the top and lower level abstractions (the more specific concepts) toward the bottom."
csp,2.2.3,2.2.3E,"Binary data is processed by physical layers of computing hardware, including gates, chips, and components."
csp,2.2.3,2.2.3F,A logic gate is a hardware abstraction that is modeled by a Boolean function.
csp,2.2.3,2.2.3G,A chip is an abstraction composed of low level components and circuits that perform a specific function.
csp,2.2.3,2.2.3H,A hardware component can be low level like a transistor or high level like a video card.
csp,2.2.3,2.2.3I,"Hardware is built using multiple levels of abstractions, such as transistors, logic gates, chips, memory, motherboards, special purposes cards, and storage devices."
csp,2.2.3,2.2.3J,"Applications and systems are designed, developed, and analyzed using levels of hardware, software, and conceptual abstractions."
csp,2.2.3,2.2.3K,"Lowerlevel abstractions can be combined to make higher level abstractions, such as short message services (SMS) or email messages, images, audio files, and videos."
csp,2.3.1,2.3.1A,Models and simulations are simplified representations of more complex objects or phenomena.
csp,2.3.1,2.3.1B,Models may use different abstractions or levels of abstraction depending on the objects or phenomena being posed.
csp,2.3.1,2.3.1C,Models often omit unnecessary features of the objects or phenomena that are being modeled.
csp,2.3.1,2.3.1D,Simulations mimic real world events without the cost or danger of building and testing the phenomena in the real world.
csp,2.3.2,2.3.2A,Models and simulations facilitate the formulation and refinement of hypotheses related to the objects or phenomena under consideration.
csp,2.3.2,2.3.2B,Hypotheses are formulated to explain the objects or phenomena being modeled.
csp,2.3.2,2.3.2C,Hypotheses are refined by examining the insights that models and simulations provide into the objects or phenomena.
csp,2.3.2,2.3.2D,The results of simulations may generate new knowledge and new hypotheses related to the phenomena being modeled.
csp,2.3.2,2.3.2E,Simulations allow hypotheses to be tested without the constraints of the real world.
csp,2.3.2,2.3.2F,Simulations can facilitate extensive and rapid testing of models.
csp,2.3.2,2.3.2G,"The time required for simulations is impacted by the level of detail and quality of the models, and the software and hardware used for the simulation."
