framework,category,standard,description
csta2011,CD,CD.L1:3-01,Use standard input and output devices to successfully operate computers and related technologies.
csta2011,CD,CD.L1:6-01,Demonstrate an appropriate level of proficiency with keyboards and other input and output devices.
csta2011,CD,CD.L1:6-02,"Understand the pervasiveness of computers and computing in daily life (e.g., voicemail, downloading videos and audio files, microwave ovens, thermostats, wireless Internet, mobile computing devices, GPS systems)."
csta2011,CD,CD.L1:6-03,Apply strategies for identifying simple hardware and software problems that may occur during use.
csta2011,CD,CD.L1:6-04,Identify that information is coming to the computer from many sources over a network.
csta2011,CD,CD.L1:6-05,Identify factors that distinguish humans from machines.
csta2011,CD,CD.L1:6-06,"Recognize that computers model intelligent behavior (as found in robotics, speech and language recognition and computer animation)."
csta2011,CD,CD.L2:1,Recognize that computers are devices that execute programs.
csta2011,CD,CD.L2:2,Identify a variety of electronic devices that contain computational processors.
csta2011,CD,CD.L2:3,Demonstrate an understanding of the relationship between hardware and software.
csta2011,CD,CD.L2:4,"Use developmentally appropriate, accurate terminology when communicating about technology."
csta2011,CD,CD.L2:5,Apply strategies for identifying and solving routine hardware problems that occur during everyday computer use.
csta2011,CD,CD.L2:6,Describe the major components and functions of computer systems and networks.
csta2011,CD,CD.L2:7,"Describe what distinguishes humans from machines, focusing on human intelligence versus machine intelligence and ways we can communicate."
csta2011,CD,CD.L2:8,"Describe ways in which computers use models of intelligent behavior (e.g., robot motion, speech and language understanding, and computer vision)."
csta2011,CD,CD.L3A:1,"Describe the unique features of computers embedded in mobile devices and vehicles (e.g., cell phones, automobiles, airplanes)."
csta2011,CD,CD.L3A:10,Describe the major applications of artificial intelligence and robotics.
csta2011,CD,CD.L3A:2,Develop criteria for purchasing or upgrading computer system hardware.
csta2011,CD,CD.L3A:3,"Describe the principal components of computer organization (e.g., input, output, processing, and storage)."
csta2011,CD,CD.L3A:4,Compare various forms of input and output.
csta2011,CD,CD.L3A:5,"Explain the multiple levels of hardware and software that support program execution (e.g., compilers, interpreters, operating systems, networks)."
csta2011,CD,CD.L3A:6,Apply strategies for identifying and solving routine hardware and software problems that occur in everyday life.
csta2011,CD,CD.L3A:7,Compare and contrast client-server and peer-to-peer network strategies.
csta2011,CD,CD.L3A:8,"Explain the basic components of computer networks (e.g., servers, file protection, routing, spoolers and queues, shared resources, and fault-tolerance)."
csta2011,CD,CD.L3A:9,Describe how the Internet facilitates global communication.
csta2011,CD,CD.L3B:1,Discuss the impact of modifications on the functionality of application programs.
csta2011,CD,CD.L3B:2,"Identify and describe hardware (e.g., physical layers, logic gates, chips, components)."
csta2011,CD,CD.L3B:3,"Identify and select the most appropriate file format based on trade-offs (e.g., accuracy, speed, ease of manipulation)."
csta2011,CD,CD.L3B:4,"Describe the issues that impact network functionality (e.g., latency, bandwidth, firewalls, server capability)."
csta2011,CD,CD.L3B:5,Explain the notion of intelligent behavior through computer modeling and robotics.
csta2011,CI,CI.L1:3-01,Practice responsible digital citizenship (legal and ethical behaviors) in the use of technology systems and software.
csta2011,CI,CI.L1:3-02,Identify positive and negative social and ethical behaviors for using technology.
csta2011,CI,CI.L1:6-01,Discuss basic issues related to responsible use of technology and information and the consequences of inappropriate use.
csta2011,CI,CI.L1:6-02,"Identify the impact of technology (e.g., social networking, cyber bullying, mobile computing and communication, web technologies, cyber security and virtualization) on personal life and society."
csta2011,CI,CI.L1:6-03,"Evaluate the accuracy, relevance, appropriateness, comprehensiveness and biases that occur in electronic information sources."
csta2011,CI,CI.L1:6-04,"Understand ethical issues that relate to computers and networks (e.g., equity of access, security, privacy, copyright and intellectual property)."
csta2011,CI,CI.L2:1,Exhibit legal and ethical behaviors when using information and technology and discuss the consequences of misuse.
csta2011,CI,CI.L2:2,"Demonstrate knowledge of changes in information technologies over time and the effects those changes have on education, the workplace and society."
csta2011,CI,CI.L2:3,Analyze the positive and negative impacts of computing on human culture.
