framework,category,standard,description
csta,AP,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.
csta,AP,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.
csta,AP,1A-AP-10,"Develop programs with sequences and simple loops, to express ideas or address a problem."
csta,AP,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.
csta,AP,1A-AP-12,"Develop plans that describe a program's sequence of events, goals, and expected outcomes."
csta,AP,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.
csta,AP,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
csta,AP,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development."
csta,AP,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.
csta,AP,1B-AP-09,Create programs that use variables to store and modify data.
csta,AP,1B-AP-10,"Create programs that include sequences, events, loops, and conditionals."
csta,AP,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process."
csta,AP,1B-AP-12,"Modify, remix or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features."
csta,AP,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.
csta,AP,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.
csta,AP,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
csta,AP,1B-AP-16,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation and review stages of program development."
csta,AP,1B-AP-17,"Describe choices made during program development using code comments, presentations, and demonstrations."
csta,AP,2-AP-10,Use flowcharts and/or pseudocode to address complex problems as algorithms.
csta,AP,2-AP-11,Create clearly named variables that represent different data types and perform operations on their values.
csta,AP,2-AP-12,"Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals."
csta,AP,2-AP-13,"Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs."
csta,AP,2-AP-14,Create procedures with parameters to organize code and make it easier to reuse.
csta,AP,2-AP-15,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.
csta,AP,2-AP-16,"Incorporate existing code, media, and libraries into original programs, and give attribution."
csta,AP,2-AP-17,Systematically test and refine programs using a range of test cases.
csta,AP,2-AP-18,Distribute tasks and maintain a project timeline when collaboratively developing computational artifacts.
csta,AP,2-AP-19,"Document programs in order to make them easier to follow, test, and debug."
csta,AP,3A-AP-13,Create prototypes that use algorithms to solve computational problems by leveraging prior student knowledge and personal interests.
csta,AP,3A-AP-14,"Use lists to simplify solutions, generalizing computational problems instead of repeated use of simple variables."
csta,AP,3A-AP-15,"Justify the selection of specific control structures when tradeoffs involve implementation, readability, and program performance and explain the benefits and drawbacks of choices made."
csta,AP,3A-AP-16,"Design and iteratively develop computational artifacts for practical intent, personal expression, or to address a societal issue by using events to initiate instructions."
csta,AP,3A-AP-17,"Decompose problems into smaller components through systematic analysis, using constructs such as procedures, modules, and/or objects."
csta,AP,3A-AP-18,"Create artifacts by using procedures within a program, combinations of data and procedures, or independent but interrelated programs."
csta,AP,3A-AP-19,Systematically design and develop programs for broad audiences by incorporating feedback from users.
csta,AP,3A-AP-20,Evaluate licenses that limit or restrict use of computational artifacts when using resources such as libraries.
csta,AP,3A-AP-21,Evaluate and refine computational artifacts to make them more usable and accessible.
csta,AP,3A-AP-22,Design and develop computational artifacts working in team roles using collaborative tools.
csta,AP,3A-AP-23,"Document design decisions using text, graphics, presentations, and/or demonstrations in the development of complex programs."
csta,AP,3B-AP-08,Describe how artificial intelligence drives many software and physical systems.
csta,AP,3B-AP-09,Implement an artificial intelligence algorithm to play a game against a human opponent or solve a problem.
csta,AP,3B-AP-10,Use and adapt classic algorithms to solve computational problems.
csta,AP,3B-AP-11,"Evaluate algorithms in terms of their efficiency, correctness, and clarity."
csta,AP,3B-AP-12,Compare and contrast fundamental data structures and their uses.
csta,AP,3B-AP-13,Illustrate the flow of execution of a recursive algorithm.
csta,AP,3B-AP-14,"Construct solutions to problems using student-created components, such as procedures, modules and/or objects."
csta,AP,3B-AP-15,Analyze a large-scale computational problem and identify generalizable patterns that can be applied to a solution.
csta,AP,3B-AP-16,Demonstrate code reuse by creating programming solutions using libraries and APIs.
csta,AP,3B-AP-17,Plan and develop programs for broad audiences using a software life cycle process.
csta,AP,3B-AP-18,Explain security issues that might lead to compromised computer programs.
csta,AP,3B-AP-19,Develop programs for multiple computing platforms.
csta,AP,3B-AP-20,"Use version control systems, integrated development environments (IDEs), and collaborative tools and practices (code documentation) in a group software project."
csta,AP,3B-AP-21,Develop and use a series of test cases to verify that a program performs according to its design specifications.
