framework,category,standard,description
ngss,ESS1,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted."
ngss,ESS1,1-ESS1-2,Make observations at different times of year to relate the amount of daylight to the time of year.
ngss,ESS1,2-ESS1-1,"Use information from several sources to provide evidence that Earth events can occur quickly or slowly.
[Clarification Statement: Examples of events and timescales could include volcanic explosions and earthquakes, which happen quickly and erosion of rock"
ngss,ESS1,4-ESS1-1,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for  changes in a landscape over time.
ngss,ESS1,5-ESS1-1,Support an argument that differences in the apparent brightness of the sun compared to other stars is due to their relative distances from Earth.
ngss,ESS1,5-ESS1-2,"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky."
ngss,ESS1,HS-ESS1-1,Develop a model based on evidence to illustrate the life span of the sun and the role of nuclear fusion in the sun's core to release energy that eventually reaches Earth in the form of radiation.
ngss,ESS1,HS-ESS1-2,"Construct an explanation of the Big Bang theory based on astronomical evidence of light spectra, motion of distant galaxies, and composition of matter in the universe."
ngss,ESS1,HS-ESS1-3,"Communicate scientific ideas about the way stars, over their life cycle, produce elements."
ngss,ESS1,HS-ESS1-4,Use mathematical or computational representations to predict the motion of orbiting objects in the solar system.
ngss,ESS1,HS-ESS1-5,Evaluate evidence of the past and current movements of continental and oceanic crust and the theory of plate tectonics to explain the ages of crustal rocks.
ngss,ESS1,HS-ESS1-6,"Apply scientific reasoning and evidence from ancient Earth materials, meteorites, and other planetary surfaces to construct an account of Earth's formation and early history."
ngss,ESS1,MS-ESS1-1,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases, eclipses of the sun and moon, and seasons."
ngss,ESS1,MS-ESS1-2,"Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.
[Clarification Statement: Emphasis for the model is on gravity as the force that holds together the solar system and Milky Way galaxy and controls"
ngss,ESS1,MS-ESS1-3,Analyze and interpret data to determine scale properties of objects in the solar system. 
ngss,ESS1,MS-ESS1-4,Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to organize Earth's 4.6-billion-year-old history. 
ngss,ESS2,2-ESS2-1,"Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.*
[Clarification Statement: Examples of solutions could include different designs of dikes and windbreaks to hold back wind and water, and different d"
ngss,ESS2,2-ESS2-2,Develop a model to represent the shapes and kinds of land and bodies of water in an area.
ngss,ESS2,2-ESS2-3,Obtain information to identify where water is found on Earth and that it can be solid or liquid.
ngss,ESS2,3-ESS2-1,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.
ngss,ESS2,3-ESS2-2,Obtain and combine information to describe climates in different regions of the world.
ngss,ESS2,4-ESS2-1,"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation."
ngss,ESS2,4-ESS2-2,Analyze and interpret data from maps to describe patterns of Earth's features.
ngss,ESS2,5-ESS2-1,"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere interact."
ngss,ESS2,5-ESS2-2,Describe and graph the amounts and percentages of water and fresh water in various reservoirs to provide evidence about the distribution of water on Earth.
ngss,ESS2,HS-ESS2-1,Develop a model to illustrate how Earth's internal and surface processes operate at different spatial and temporal scales to form continental and ocean-floor features.
ngss,ESS2,HS-ESS2-2,Analyze geoscience data to make the claim that one change to Earth's surface can create feedbacks that cause changes to other Earth systems.
ngss,ESS2,HS-ESS2-3,"Develop a model based on evidence of Earth's interior to describe the cycling of matter by thermal convection.
[Clarification Statement:  Emphasis is on both a one-dimensional model of Earth, with radial layers determined by density, and a three-dimension"
ngss,ESS2,HS-ESS2-4,Use a model to describe how variations in the flow of energy into and out of Earth's systems result in changes in climate.
ngss,ESS2,HS-ESS2-5,Plan and conduct an investigation of the properties of water and its effects on Earth materials and surface processes.
ngss,ESS2,HS-ESS2-6,"Develop a quantitative model to describe the cycling of carbon among the hydrosphere, atmosphere, geosphere, and biosphere. "
ngss,ESS2,HS-ESS2-7,Construct an argument based on evidence about the simultaneous coevolution of Earth's systems and life on Earth.
ngss,ESS2,K-ESS2-1,Use and share observations of local weather conditions to describe patterns over time.
ngss,ESS2,K-ESS2-2,Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.
ngss,ESS2,MS-ESS2-1,"Develop a model to describe the cycling of Earth's materials and the flow of energy that drives this process.
[Clarification Statement: Emphasis is on the processes of melting, crystallization, weathering, deformation, and sedimentation, which act togethe"
ngss,ESS2,MS-ESS2-2,Construct an explanation based on evidence for how geoscience processes have changed Earth's surface at varying time and spatial scales.
ngss,ESS2,MS-ESS2-3,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence of the past plate motions."
ngss,ESS2,MS-ESS2-4,Develop a model to describe the cycling of water through Earth's systems driven by energy from the sun and the force of gravity.
ngss,ESS2,MS-ESS2-5,Collect data to provide evidence for how the motions and complex interactions of air masses results in changes in weather conditions.
ngss,ESS2,MS-ESS2-6,Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of atmospheric and oceanic circulation that determine regional climates.
ngss,ESS3,3-ESS3-1,"Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.*
[Clarification Statement:  Examples of design solutions to weather-related hazards could include barriers to prevent flooding, wind resistant roofs, a"
ngss,ESS3,4-ESS3-1,Obtain and combine information to describe that energy and fuels are derived from natural resources and their uses affect the environment.
ngss,ESS3,4-ESS3-2,Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.*
ngss,ESS3,5-ESS3-1,Obtain and combine information about ways individual communities use science ideas to protect the Earth's resources and environment.
ngss,ESS3,HS-ESS3-1,"Construct an explanation based on evidence for how the availability of natural resources, occurrence of natural hazards, and changes in climate have influenced human activity."
ngss,ESS3,HS-ESS3-2,"Evaluate competing design solutions for developing, managing, and utilizing energy and mineral resources based on cost-benefit ratios.*"
ngss,ESS3,HS-ESS3-3,"Create a computational simulation to illustrate the relationships among management of natural resources, the sustainability of human populations, and biodiversity."
ngss,ESS3,HS-ESS3-4,"Evaluate or refine a technological solution that reduces impacts of human activities on natural systems.*
[Clarification Statement: Examples of data on the impacts of human activities could include the quantities and types of pollutants released, changes "
ngss,ESS3,HS-ESS3-5,Analyze geoscience data and the results from global climate models to make an evidence-based forecast of the current rate of global or regional climate change and associated future impacts to Earth systems.
ngss,ESS3,HS-ESS3-6,Use a computational representation to illustrate the relationships among Earth systems and how those relationships are being modified due to human activity.
ngss,ESS3,K-ESS3-1,Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.
ngss,ESS3,K-ESS3-2,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.*"
ngss,ESS3,K-ESS3-3,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.* "
ngss,ESS3,MS-ESS3-1,"Construct a scientific explanation based on evidence for how the uneven distributions of Earth's mineral, energy, and groundwater resources are the result of past and current geoscience processes."
ngss,ESS3,MS-ESS3-2,Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development of technologies to mitigate their effects.
ngss,ESS3,MS-ESS3-3,"Apply scientific principles to design a method for monitoring and minimizing a human impact on the environment.*
[Clarification Statement: Examples of the design process include examining human environmental impacts, assessing the kinds of solutions that "
ngss,ESS3,MS-ESS3-4,Construct an argument supported by evidence for how increases in human population and per-capita consumption of natural resources impact Earth's systems.
ngss,ESS3,MS-ESS3-5,Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past century.
ngss,ETS1,3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost."
ngss,ETS1,3-5-ETS1-2,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.
ngss,ETS1,3-5-ETS1-3,Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.
ngss,ETS1,HS-ETS1-1,Analyze a major global challenge to specify qualitative and quantitative criteria and constraints for solutions that account for societal needs and wants.
ngss,ETS1,HS-ETS1-2,"Design a solution to a complex real-world problem by breaking it down into smaller, more manageable problems that can be solved through engineering."
ngss,ETS1,HS-ETS1-3,"Evaluate a solution to a complex real-world problem based on prioritized criteria and trade-offs that account for a range of constraints, including cost, safety, reliability, and aesthetics, as well as possible social, cultural, and environmental impacts."
ngss,ETS1,HS-ETS1-4,Use a computer simulation to model the impact of proposed solutions to a complex real-world problem with numerous criteria and constraints on interactions within and between systems relevant to the problem.
ngss,ETS1,K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool."
ngss,ETS1,K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem."
ngss,ETS1,K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.
ngss,ETS1,MS-ETS1-1,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solut"
ngss,ETS1,MS-ETS1-2,Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem.
ngss,ETS1,MS-ETS1-3,Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success.
ngss,ETS1,MS-ETS1-4,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved."
ngss,LS1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.*"
ngss,LS1,1-LS1-2,"Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.
[Clarification Statement: Examples of patterns of behaviors could include the signals that offspring make (such as crying, cheeping, and other"
ngss,LS1,3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death."
ngss,LS1,4-LS1-1,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction."
ngss,LS1,4-LS1-2,"Use a model to describe that animals receive different types of information through their senses, process the information in their brain, and respond to the information in different ways."
ngss,LS1,5-LS1-1,Support an argument that plants get the materials they need for growth chiefly from air and water.
ngss,LS1,HS-LS1-1,Construct an explanation based on evidence for how the structure of DNA determines the structure of proteins which carry out the essential functions of life through systems of specialized cells.
ngss,LS1,HS-LS1-2,Develop and use a model to illustrate the hierarchical organization of interacting systems that provide specific functions within multicellular organisms.
ngss,LS1,HS-LS1-3,"Plan and conduct an investigation to provide evidence that feedback mechanisms maintain homeostasis.
[Clarification Statement: Examples of investigations could include heart rate response to exercise, stomate response to moisture and temperature, and root"
ngss,LS1,HS-LS1-4,Use a model to illustrate the role of cellular division (mitosis) and differentiation in producing and maintaining complex organisms.
ngss,LS1,HS-LS1-5,Use a model to illustrate how photosynthesis transforms light energy into stored chemical energy.
ngss,LS1,HS-LS1-6,"Construct and revise an explanation based on evidence for how carbon, hydrogen, and oxygen from sugar molecules may combine with other elements to form amino acids and/or other large carbon-based molecules.
[Clarification Statement: Emphasis is on using e"
ngss,LS1,HS-LS1-7,Use a model to illustrate that cellular respiration is a chemical process whereby the bonds of food molecules and oxygen molecules are broken and the bonds in new compounds are formed resulting in a net transfer of energy. 
ngss,LS1,K-LS1-1,Use observations to describe patterns of what plants and animals (including humans) need to survive.
ngss,LS1,MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.
ngss,LS1,MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways parts of cells contribute to the function. 
ngss,LS1,MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.
ngss,LS1,MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.
ngss,LS1,MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.
ngss,LS1,MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.
ngss,LS1,MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.
ngss,LS1,MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.
ngss,LS2,2-LS2-1,Plan and conduct an investigation to determine if plants need sunlight and water to grow.
ngss,LS2,2-LS2-2,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.*
ngss,LS2,3-LS2-1,Construct an argument that some animals form groups that help members survive.
ngss,LS2,5-LS2-1,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment.
[Clarification Statement: Emphasis is on the idea that matter that is not food (air, water, decomposed materials in soil) is changed by plants into"
ngss,LS2,HS-LS2-1,Use mathematical and/or computational representations to support explanations of factors that affect carrying capacity of ecosystems at different scales.
ngss,LS2,HS-LS2-2,Use mathematical representations to support and revise explanations based on evidence about factors affecting biodiversity and populations in ecosystems of different scales.
ngss,LS2,HS-LS2-3,Construct and revise an explanation based on evidence for the cycling of matter and flow of energy in aerobic  and anaerobic conditions. 
ngss,LS2,HS-LS2-4,Use mathematical representations to support claims for the cycling of matter and flow of energy among organisms in an ecosystem.
ngss,LS2,HS-LS2-5,"Develop a model to illustrate the role of photosynthesis and cellular respiration in the cycling of carbon among the biosphere, atmosphere, hydrosphere, and geosphere."
ngss,LS2,HS-LS2-6,"Evaluate the claims, evidence, and reasoning that the complex interactions in ecosystems maintain relatively consistent numbers and types of organisms in stable conditions, but changing conditions may result in a new ecosystem."
ngss,LS2,HS-LS2-7,"Design, evaluate, and refine a solution for reducing the impacts of human activities on the environment and biodiversity.* "
ngss,LS2,HS-LS2-8,"Evaluate the evidence for the role of group behavior on individual and species' chances to survive and reproduce.[Clarification Statement: Emphasis is on: (1) distinguishing between group and individual behavior, (2) identifying evidence supporting the o"
ngss,LS2,MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.
ngss,LS2,MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.[Clarification Statement: Emphasis is on predicting consistent patterns of interactions in different ecosystems in terms of the relationships among
ngss,LS2,MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.
ngss,LS2,MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.
ngss,LS2,MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.*
ngss,LS3,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents."
ngss,LS3,3-LS3-1,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.
ngss,LS3,3-LS3-2,Use evidence to support the explanation that traits can be influenced by the environment.
ngss,LS3,HS-LS3-1,Ask questions to clarify relationships about the role of DNA and chromosomes in coding the instructions for characteristic traits passed from parents to offspring.
ngss,LS3,HS-LS3-2,"Make and defend a claim based on evidence that inheritable genetic variations may result from: (1) new genetic combinations through meiosis, (2) viable errors occurring during replication, and/or (3) mutations caused by environmental factors."
