school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
SERVICE HIGH SCHOOL,AK-05-050660,20018000531,unspecified,AP CSP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SERVICE HIGH SCHOOL,AK-05-050660,20018000531,unspecified,AP CSA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WASILLA HIGH SCHOOL,AK-33-330120,20051000237,unspecified,AP CSA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WASILLA HIGH SCHOOL,AK-33-330120,20051000237,unspecified,AP CSP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WASILLA HIGH SCHOOL,AK-33-330120,20051000237,unspecified,Intro to CS 1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WASILLA HIGH SCHOOL,AK-33-330120,20051000237,unspecified,Intro to CS 2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CHUGIAK HIGH SCHOOL,AK-05-050160,20018000069,unspecified,AP CSA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PALMER HIGH SCHOOL,AK-33-330050,20051000227,unspecified,AP CSP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PALMER HIGH SCHOOL,AK-33-330050,20051000227,unspecified,AP CSA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PALMER HIGH SCHOOL,AK-33-330050,20051000227,unspecified,Intro to CS 1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PALMER HIGH SCHOOL,AK-33-330050,20051000227,unspecified,Intro to CS 10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH POLE HIGH SCHOOL,AK-16-160130,20060000273,unspecified,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
JUNEAU-DOUGLAS HIGH SCHOOL,AK-22-220070,20021000133,unspecified,AP CSA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
JUNEAU-DOUGLAS HIGH SCHOOL,AK-22-220070,20021000133,unspecified,AP CSP,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
