school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Acceleration Day and Evening Academy,,10019702432,260003,"Computer Science Elective, Grades 7-12",14,3,11,0,1,0,7,0,0
Thompson High School,,10019001183,520018,"Computer Science Principles, AP",24,5,5,1,0,0,6,0,0
Albertville Middle School,,10000500870,520045,Computer Science Discoveries,23,4,2,9,0,0,9,0,0
Benjamin Russell High School,,10003000003,520018,"Computer Science Principles, AP",2,2,2,0,0,0,2,0,0
Anniston High School,,10009000011,520018,"Computer Science Principles, AP",42,16,39,1,0,0,26,0,0
Anniston High School,,10009000011,520045,Computer Science Discoveries,23,10,21,1,0,0,15,0,0
Arab High School,,10010000028,520018,"Computer Science Principles, AP",16,7,0,0,0,0,1,0,0
Athens High School,,10012001472,520015,Software Development,11,0,0,2,0,0,5,0,0
Athens High School,,10012001472,520018,"Computer Science Principles, AP",17,2,1,2,0,0,2,0,0
Athens Middle School,,10012001473,560029,App Creators - PLTW,19,9,1,3,1,0,9,0,0
Athens Middle School,,10012001473,560032,Computer Science for Innovators and Makers - PLTW,53,22,12,7,0,0,23,0,0
Athens Renaissance School,,10012002417,520014,Java Programming,1,0,0,0,0,0,0,0,0
Etowah Middle School,,10018000034,260003,"Computer Science Elective, Grades 7-12",103,61,19,7,0,0,68,0,0
Auburn High School,,10021000036,260003,"Computer Science Elective, Grades 7-12",5,0,0,0,0,0,0,0,0
Auburn High School,,10021000036,520007,"Computer Science A, AP",4,1,1,0,0,0,0,0,0
Auburn High School,,10021000036,520015,Software Development,10,0,1,1,0,0,1,0,0
Auburn High School,,10021000036,520018,"Computer Science Principles, AP",63,16,4,2,0,0,2,0,0
Auburn Junior High School,,10021000037,520043,Exploring Computer Science,14,3,0,1,0,0,1,0,0
Marbury Middle School,,10024002159,450012,Introduction to Programming,2,1,1,0,0,0,2,0,0
Marbury Middle School,,10024002159,520045,Computer Science Discoveries,12,6,1,1,0,0,7,0,0
Prattville High School,,10024000048,520007,"Computer Science A, AP",2,0,0,0,0,0,0,0,0
Prattville High School,,10024000048,520018,"Computer Science Principles, AP",73,23,6,1,1,0,7,0,0
Baldwin County Virtual School,,10027002443,260003,"Computer Science Elective, Grades 7-12",12,7,1,0,0,0,1,0,0
Baldwin County Virtual School,,10027002443,520006,Computer Programming Basic I,7,2,1,2,0,0,2,0,0
Daphne High School,,10027001759,520018,"Computer Science Principles, AP",9,4,1,0,0,0,2,0,0
Fairhope High School,,10027000100,520007,"Computer Science A, AP",13,5,0,1,0,0,2,0,0
Fairhope High School,,10027000100,520018,"Computer Science Principles, AP",39,19,3,1,0,0,9,0,0
Spanish Fort High School,,10027002073,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,0,0,0
Spanish Fort High School,,10027002073,520007,"Computer Science A, AP",4,0,0,0,0,0,0,0,0
Bessemer City High School,,10033000087,520043,Exploring Computer Science,15,9,13,1,0,0,9,0,0
George Washington Carver High School,,10039001468,520043,Exploring Computer Science,51,20,40,7,0,0,34,0,0
Huffman High School-Magnet,,10039000141,520043,Exploring Computer Science,35,15,33,2,0,0,20,0,0
Huffman High School-Magnet,,10039000141,520050,Introduction to Computer Science-TEALS,36,21,34,2,0,0,22,0,0
Jackson-Olin High School,,10039000164,260003,"Computer Science Elective, Grades 7-12",10,5,8,0,0,0,6,0,0
Jackson-Olin High School,,10039000164,520050,Introduction to Computer Science-TEALS,11,5,11,0,0,0,8,0,0
Ramsay High School,,10039000176,260003,"Computer Science Elective, Grades 7-12",8,5,6,1,0,0,1,0,0
Wenonah High School,,10039000192,260003,"Computer Science Elective, Grades 7-12",8,4,8,0,0,0,4,0,0
Wenonah High School,,10039000192,520018,"Computer Science Principles, AP",12,9,12,0,0,0,7,0,0
Woodlawn High School-Magnet,,10039000198,520043,Exploring Computer Science,27,14,25,2,0,0,21,0,0
Hayden High School,,10042000208,520007,"Computer Science A, AP",2,1,0,0,0,0,1,0,0
JB Pennington High School,,10042000209,260003,"Computer Science Elective, Grades 7-12",6,0,0,2,0,0,2,0,0
Susan Moore High School,,10042000213,520006,Computer Programming Basic I,1,0,0,0,0,0,1,0,0
Boaz High School,,10001200874,520006,Computer Programming Basic I,2,0,0,0,0,0,2,0,0
TR Miller High School,,10045000216,520018,"Computer Science Principles, AP",26,15,2,0,0,0,3,0,0
Greenville High School,,10051000226,260003,"Computer Science Elective, Grades 7-12",29,12,21,0,0,0,24,0,0
Greenville Middle School,,10051000228,260003,"Computer Science Elective, Grades 7-12",90,46,65,1,0,0,77,0,0
Wellborn High School,,10054001489,520018,"Computer Science Principles, AP",64,31,12,2,0,0,47,0,0
White Plains High School,,10054000250,520006,Computer Programming Basic I,1,1,0,0,0,0,0,0,0
White Plains High School,,10054000250,520007,"Computer Science A, AP",7,1,1,2,0,0,3,0,0
Lafayette High School,,10060000263,520043,Exploring Computer Science,15,4,12,0,0,0,9,0,0
Valley High School,,10060000271,520043,Exploring Computer Science,2,0,1,0,0,0,1,0,0
Spring Garden High School,,10063000283,520006,Computer Programming Basic I,8,0,0,0,0,0,3,0,0
Chickasaw City High School,,10018802194,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,1,0,0
Chickasaw Middle School,,10018802428,560029,App Creators - PLTW,15,8,8,1,1,0,12,0,0
Chilton County High School,,10066001491,260003,"Computer Science Elective, Grades 7-12",24,5,2,1,0,0,10,0,0
Isabella High School,,10066000261,260003,"Computer Science Elective, Grades 7-12",4,0,0,0,0,0,1,0,0
Jemison High School,,10066000262,260003,"Computer Science Elective, Grades 7-12",10,3,0,4,0,0,8,0,0
Thorsby High School,,10066000270,260003,"Computer Science Elective, Grades 7-12",6,2,1,0,0,0,5,0,0
Verbena High School,,10066000288,260003,"Computer Science Elective, Grades 7-12",37,16,6,1,0,0,28,0,0
Clarke County High School,,10072000298,520006,Computer Programming Basic I,1,0,1,0,0,0,1,0,0
Kinston School,,10081000323,520006,Computer Programming Basic I,1,0,0,0,0,0,0,0,0
Kinston School,,10081000323,925611,INTRODUCTION TO COMPUTER LOGIC AND PROGRAMMING,1,0,0,0,0,0,0,0,0
Conecuh County Junior High School,,10087000344,260003,"Computer Science Elective, Grades 7-12",18,6,13,0,0,0,12,0,0
Genesis Innovative School,,10087002442,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,0,0,0
Hillcrest High School,,10339000052,260003,"Computer Science Elective, Grades 7-12",27,15,26,0,0,0,16,0,0
Florala High School,,10093000360,260003,"Computer Science Elective, Grades 7-12",17,7,4,0,0,0,11,0,0
Florala High School,,10093000360,943150,App Development with SWIFT I,2,2,0,0,0,0,1,0,0
Cullman High School,,10099000370,520006,Computer Programming Basic I,6,1,0,0,0,0,2,0,0
Cullman High School,,10099000370,520007,"Computer Science A, AP",1,0,0,0,0,0,0,0,0
Cullman High School,,10099000370,520018,"Computer Science Principles, AP",10,4,0,0,0,0,1,0,0
Cold Springs High School,,10102000374,520043,Exploring Computer Science,12,6,0,0,0,0,3,0,0
Fairview High School,,10102000377,260003,"Computer Science Elective, Grades 7-12",1,1,0,0,0,0,1,0,0
Fairview High School,,10102000377,520006,Computer Programming Basic I,7,1,0,0,0,0,3,0,0
Fairview High School,,10102000377,520018,"Computer Science Principles, AP",16,7,0,0,0,0,5,0,0
Fairview Middle School,,10102000400,260003,"Computer Science Elective, Grades 7-12",113,47,0,13,0,0,68,0,0
Good Hope High School,,10102000379,520006,Computer Programming Basic I,1,0,0,0,0,0,1,0,0
Hanceville Middle School,,10102000420,260003,"Computer Science Elective, Grades 7-12",98,37,6,14,1,0,67,0,0
Harmony School,,10102001676,260003,"Computer Science Elective, Grades 7-12",25,11,0,0,0,0,18,0,0
Holly Pond High School,,10102000381,520018,"Computer Science Principles, AP",5,0,0,0,0,0,3,0,0
Vinemont High School,,10102000385,520018,"Computer Science Principles, AP",23,4,0,4,0,0,10,0,0
West Point High School,,10102000387,520007,"Computer Science A, AP",5,1,0,0,0,0,3,0,0
West Point High School,,10102000387,520018,"Computer Science Principles, AP",17,9,0,0,0,0,2,0,0
West Point High School,,10102000387,520043,Exploring Computer Science,16,6,0,1,0,0,7,0,0
Daleville High School,,10108000394,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,1,0,0
Daleville High School,,10108000394,520006,Computer Programming Basic I,2,1,1,0,0,0,2,0,0
Daleville High School,,10108000394,943151,App Development with SWIFT II,1,0,1,0,0,0,0,0,0
Dallas County High School,,10111000397,520043,Exploring Computer Science,35,18,19,1,0,0,11,0,0
Keith Middle-High School,,10111000402,520043,Exploring Computer Science,9,6,9,0,0,0,4,0,0
Southside High School,,10138000506,520043,Exploring Computer Science,13,9,13,0,0,0,9,0,0
