school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Autaugaville School,,10024001408,260003,"Computer Science Elective, Grades 7-12",3,3,3,0,0,0,3,0,0
Billingsley High School,,10024000045,520045,Computer Science Discoveries,30,19,7,1,1,0,18,0,0
Marbury High School,,10024000046,520018,"Computer Science Principles, AP",8,1,0,0,0,0,2,0,0
Marbury Middle School,,10024002159,520045,Computer Science Discoveries,20,10,1,0,0,0,12,0,0
Prattville High School,,10024000048,520006,Computer Programming Basic I,2,0,1,0,0,0,0,0,0
Prattville High School,,10024000048,520007,"Computer Science A, AP",7,2,0,0,0,0,2,0,0
Prattville High School,,10024000048,520018,"Computer Science Principles, AP",116,54,17,10,2,0,22,0,0
Baldwin County High School,,10027001810,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,0,0,0
Baldwin County Virtual School,,10027002443,520006,Computer Programming Basic I,20,6,2,3,0,0,6,0,0
Baldwin County Virtual School,,10027002443,260003,"Computer Science Elective, Grades 7-12",18,6,3,2,2,0,8,0,0
Central Baldwin Middle School,,10027000162,520045,Computer Science Discoveries,312,149,24,42,2,0,210,0,0
Daphne High School,,10027001759,520018,"Computer Science Principles, AP",9,3,0,1,0,0,2,0,0
Elberta High School,,10027000057,520018,"Computer Science Principles, AP",11,1,0,0,0,0,4,0,0
Fairhope High School,,10027000100,520018,"Computer Science Principles, AP",17,8,0,3,0,0,2,0,0
Foley High School,,10027001784,520006,Computer Programming Basic I,1,0,0,1,0,0,0,0,0
Foley High School,,10027001784,260003,"Computer Science Elective, Grades 7-12",1,0,0,0,0,0,0,0,0
Foley Middle School,,10027000060,520045,Computer Science Discoveries,246,102,41,57,1,1,183,0,0
Orange Beach Middle/High School,,10027002483,520045,Computer Science Discoveries,58,19,0,3,0,0,6,0,0
