school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
DEWITT HIGH SCHOOL,AR-0101000-0101004,50000100216,465010,Computer Science with Programming/Coding Emphasis Level 1,16,0,1,0,0,0,7,1,0
DEWITT HIGH SCHOOL,AR-0101000-0101004,50000100216,465020,Computer Science with Programming/Coding Emphasis Level 2,16,0,1,0,0,0,7,1,0
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,465010,Computer Science with Programming/Coding Emphasis Level 1,45,12,20,0,0,0,45,4,2
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,465020,Computer Science with Programming/Coding Emphasis Level 2,45,12,20,0,0,0,45,4,2
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,465030,Computer Science with Programming/Coding Emphasis Level 3,11,2,1,1,0,0,11,1,1
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,465040,Computer Science with Programming/Coding Emphasis Level 4,11,2,1,1,0,0,11,1,1
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,565010,College Board Advanced Placement (AP) Computer Science Principles Level 1,17,12,4,1,0,0,17,0,2
STUTTGART HIGH SCHOOL,AR-0104000-0104025,51296001055,565020,College Board Advanced Placement (AP) Computer Science Principles Level 2,17,12,4,1,0,0,17,0,2
CROSSETT HIGH SCHOOL,AR-0201000-0201006,50480000202,465010,Computer Science with Programming/Coding Emphasis Level 1,3,2,2,0,0,0,0,0,0
CROSSETT HIGH SCHOOL,AR-0201000-0201006,50480000202,465020,Computer Science with Programming/Coding Emphasis Level 2,3,2,2,0,0,0,0,0,0
CROSSETT HIGH SCHOOL,AR-0201000-0201006,50480000202,465510,Robotics Level 1,9,0,4,0,0,0,5,1,0
CROSSETT HIGH SCHOOL,AR-0201000-0201006,50480000202,465520,Robotics Level 2,9,0,4,0,0,0,5,1,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465010,Computer Science with Programming/Coding Emphasis Level 1,10,2,0,0,0,0,4,0,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465020,Computer Science with Programming/Coding Emphasis Level 2,10,2,0,0,0,0,4,0,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465050,Advanced Programming Level 1,3,0,2,0,0,0,1,0,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465060,Advanced Programming Level 2,3,0,2,0,0,0,1,0,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465310,Mobile Application Development Level 1,9,0,0,1,0,0,7,2,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,465320,Mobile Application Development Level 2,9,0,0,1,0,0,7,2,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,565010,College Board Advanced Placement (AP) Computer Science Principles Level 1,8,4,2,2,0,0,5,0,0
HAMBURG HIGH SCHOOL,AR-0203000-0203018,50004201281,565020,College Board Advanced Placement (AP) Computer Science Principles Level 2,8,4,2,2,0,0,5,0,0
COTTER HIGH SCHOOL,AR-0302000-0302007,50468000194,465010,Computer Science with Programming/Coding Emphasis Level 1,9,5,0,0,0,0,9,0,0
COTTER HIGH SCHOOL,AR-0302000-0302007,50468000194,465020,Computer Science with Programming/Coding Emphasis Level 2,9,5,0,0,0,0,9,0,0
COTTER HIGH SCHOOL,AR-0302000-0302007,50468000194,465030,Computer Science with Programming/Coding Emphasis Level 3,1,0,0,0,0,0,1,0,0
COTTER HIGH SCHOOL,AR-0302000-0302007,50468000194,465040,Computer Science with Programming/Coding Emphasis Level 4,1,0,0,0,0,0,1,0,0
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465010,Computer Science with Programming/Coding Emphasis Level 1,71,14,0,0,0,0,31,2,2
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465020,Computer Science with Programming/Coding Emphasis Level 2,61,10,0,0,0,0,26,2,2
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465030,Computer Science with Programming/Coding Emphasis Level 3,6,3,0,0,0,0,3,1,1
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465040,Computer Science with Programming/Coding Emphasis Level 4,6,3,0,0,0,0,3,1,1
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465310,Mobile Application Development Level 1,17,6,0,0,0,0,9,0,0
MOUNTAIN HOME CAREER ACADEMIES,AR-0303000-0303703,50004300676,465320,Mobile Application Development Level 2,17,6,0,0,0,0,9,0,0
NORFORK HIGH SCHOOL,AR-0304000-0304022,51056000774,465010,Computer Science with Programming/Coding Emphasis Level 1,1,0,0,0,0,0,0,0,0
NORFORK HIGH SCHOOL,AR-0304000-0304022,51056000774,465020,Computer Science with Programming/Coding Emphasis Level 2,1,0,0,0,0,0,0,0,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465010,Computer Science with Programming/Coding Emphasis Level 1,111,22,1,13,0,0,23,11,3
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465010,Computer Science with Programming/Coding Emphasis Level 1,111,22,1,13,0,0,23,11,3
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465020,Computer Science with Programming/Coding Emphasis Level 2,111,22,1,13,0,0,23,11,3
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465020,Computer Science with Programming/Coding Emphasis Level 2,111,22,1,13,0,0,23,11,3
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465030,Computer Science with Programming/Coding Emphasis Level 3,21,2,0,1,1,0,2,2,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465040,Computer Science with Programming/Coding Emphasis Level 4,21,2,0,1,1,0,2,2,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465330,Mobile Application Development Level 3,26,2,1,1,1,0,6,3,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,465340,Mobile Application Development Level 4,26,2,1,1,1,0,6,3,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565010,College Board Advanced Placement (AP) Computer Science Principles Level 1,152,48,1,10,2,0,9,1,1
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565010,College Board Advanced Placement (AP) Computer Science Principles Level 1,152,48,1,10,2,0,9,1,1
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565020,College Board Advanced Placement (AP) Computer Science Principles Level 2,150,47,1,9,2,0,9,1,1
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565020,College Board Advanced Placement (AP) Computer Science Principles Level 2,150,47,1,9,2,0,9,1,1
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565110,College Board Advanced Placement (AP) Computer Science A Level 1,20,2,0,0,0,0,1,0,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565110,College Board Advanced Placement (AP) Computer Science A Level 1,20,2,0,0,0,0,1,0,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565120,College Board Advanced Placement (AP) Computer Science A Level 2,20,2,0,0,0,0,1,0,0
BENTONVILLE HIGH SCHOOL,AR-0401000-0401003,50306000073,565120,College Board Advanced Placement (AP) Computer Science A Level 2,20,2,0,0,0,0,1,0,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465010,Computer Science with Programming/Coding Emphasis Level 1,60,4,3,9,1,0,17,11,2
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465020,Computer Science with Programming/Coding Emphasis Level 2,59,3,3,9,1,0,17,11,2
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465030,Computer Science with Programming/Coding Emphasis Level 3,19,1,0,2,0,1,3,2,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465040,Computer Science with Programming/Coding Emphasis Level 4,19,1,0,2,0,1,3,2,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465330,Mobile Application Development Level 3,14,1,0,2,0,0,2,1,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,465340,Mobile Application Development Level 4,14,1,0,2,0,0,2,1,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,565010,College Board Advanced Placement (AP) Computer Science Principles Level 1,32,11,0,5,1,1,5,1,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,565020,College Board Advanced Placement (AP) Computer Science Principles Level 2,32,11,0,5,1,1,5,1,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,565110,College Board Advanced Placement (AP) Computer Science A Level 1,28,7,2,4,0,0,5,1,0
BENTONVILLE WEST HIGH SCHOOL,AR-0401000-0401019,50306001618,565120,College Board Advanced Placement (AP) Computer Science A Level 2,28,7,2,4,0,0,5,1,0
DECATUR HIGH SCHOOL,AR-0402000-0402009,50498000221,465010,Computer Science with Programming/Coding Emphasis Level 1,4,0,0,1,0,0,4,0,1
DECATUR HIGH SCHOOL,AR-0402000-0402009,50498000221,465010,Computer Science with Programming/Coding Emphasis Level 1,4,0,0,1,0,0,4,0,1
DECATUR HIGH SCHOOL,AR-0402000-0402009,50498000221,465020,Computer Science with Programming/Coding Emphasis Level 2,2,0,0,1,0,0,2,0,1
DECATUR HIGH SCHOOL,AR-0402000-0402009,50498000221,465020,Computer Science with Programming/Coding Emphasis Level 2,2,0,0,1,0,0,2,0,1
GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,50654000390,465010,Computer Science with Programming/Coding Emphasis Level 1,11,3,0,1,0,0,6,2,2
GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,50654000390,465020,Computer Science with Programming/Coding Emphasis Level 2,10,3,0,1,0,0,5,2,2
GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,50654000390,465030,Computer Science with Programming/Coding Emphasis Level 3,4,1,0,1,0,0,2,0,0
GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,50654000390,465040,Computer Science with Programming/Coding Emphasis Level 4,4,1,0,1,0,0,2,0,0
GENTRY HIGH SCHOOL CONVERSION CHARTER,AR-0403000-0403703,50654000390,465510,Robotics Level 1,8,1,0,2,0,0,6,3,1
