school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
San Simon School,,40743000631,AZ10152,Computer Programming,14,0,0,0,0,0,12,0,0
Center for Academic Success #1 - Sierra Vista 9-12,,40146003524,AZ10014,PLTW Computer Science Applications,19,7,0,0,0,0,14,0,0
Center for Academic Success #1 - Sierra Vista 9-12,,40146003524,AZ10013,PLTW Introduction to Computer Science,18,0,0,0,0,0,16,0,0
Flagstaff High School,,40286000215,AZ10152,Computer Programming,30,5,0,0,0,0,14,0,0
Coconino High School,,40286000212,AZ10157,AP Computer Science A,17,4,0,0,0,0,0,0,0
Grand Canyon High School,,40355000291,AZ10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Northland Preparatory Academy,,40009701178,AZ10161,Computer Science Principles,13,2,0,0,0,0,0,0,0
San Carlos High School,,40696001502,AZ10151,Software and App Design II,16,0,0,0,16,0,15,0,0
Miami Junior Senior High School,,40503001077,AZ10906,Software and App Design I,13,0,0,0,0,0,0,0,0
Liberty High School,,40009901182,AZ21009,Robotics,0,0,0,0,0,0,0,0,0
Liberty High School,,40009901182,AZ10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Mesa High School,,40497000404,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Mesa High School,,40497000404,AZ10906,Software and App Design I,13,1,0,0,0,0,0,0,0
Westwood High School,,40497000419,AZ10151,Software and App Design II,20,2,0,11,0,0,14,0,0
Westwood High School,,40497000419,AZ10159,IB Computing Studies,0,0,0,0,0,0,0,0,0
Westwood High School,,40497000419,AZ10906,Software and App Design I,14,0,0,0,0,0,13,0,0
Mountain View High School,,40497000406,AZ10906,Software and App Design I,28,5,0,0,0,0,0,0,0
Dobson High School,,40497001132,AZ10906,Software and App Design I,23,3,0,12,0,0,17,0,0
Red Mountain High School,,40497001411,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Red Mountain High School,,40497001411,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Red Mountain High School,,40497001411,AZ10161,Computer Science Principles,0,0,0,0,0,0,0,0,0
Red Mountain High School,,40497001411,AZ10906,Software and App Design I,25,3,0,0,0,0,0,0,0
Peoria High School,,40625000514,AZ10906,Software and App Design I,68,12,0,32,0,0,44,13,0
Peoria High School,,40625000514,AZ10157,AP Computer Science A,18,3,0,0,0,0,0,0,0
Peoria High School,,40625000514,AZ10205,Computer Gaming and Design,21,2,0,0,0,0,12,0,0
Cactus High School,,40625000508,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Cactus High School,,40625000508,AZ10910,Software and App Design III,0,0,0,0,0,0,0,0,0
Cactus High School,,40625000508,AZ10911,Software and App Design IV,0,0,0,0,0,0,0,0,0
Cactus High School,,40625000508,AZ10205,Computer Gaming and Design,11,0,0,0,0,0,0,0,0
Cactus High School,,40625000508,AZ10906,Software and App Design I,68,7,0,15,0,0,35,0,0
Ironwood High School,,40625001315,AZ10906,Software and App Design I,117,23,0,39,0,0,60,16,0
Ironwood High School,,40625001315,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Ironwood High School,,40625001315,AZ10161,Computer Science Principles,15,1,0,0,0,0,0,0,0
Ironwood High School,,40625001315,AZ10205,Computer Gaming and Design,27,4,0,0,0,0,11,0,0
Ironwood High School,,40625001315,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Ironwood High School,,40625001315,AZ10910,Software and App Design III,0,0,0,0,0,0,0,0,0
Ironwood High School,,40625001315,AZ10911,Software and App Design IV,0,0,0,0,0,0,0,0,0
Centennial High School,,40625001500,AZ10910,Software and App Design III,0,0,0,0,0,0,0,0,0
Centennial High School,,40625001500,AZ10911,Software and App Design IV,13,0,0,0,0,0,0,0,0
Centennial High School,,40625001500,AZ10157,AP Computer Science A,20,4,0,0,0,0,0,0,0
Centennial High School,,40625001500,AZ10161,Computer Science Principles,26,2,0,0,0,0,13,0,0
Centennial High School,,40625001500,AZ10205,Computer Gaming and Design,34,3,0,11,0,0,17,0,0
Centennial High School,,40625001500,AZ10906,Software and App Design I,111,16,0,39,0,0,42,11,0
Sunrise Mountain High School,,40625000589,AZ10906,Software and App Design I,92,11,0,0,0,0,25,11,0
Sunrise Mountain High School,,40625000589,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Sunrise Mountain High School,,40625000589,AZ10205,Computer Gaming and Design,22,0,0,0,0,0,0,0,0
Sunrise Mountain High School,,40625000589,AZ10910,Software and App Design III,0,0,0,0,0,0,0,0,0
Sunrise Mountain High School,,40625000589,AZ10911,Software and App Design IV,0,0,0,0,0,0,0,0,0
Gilbert High School,,40340000258,AZ10152,Computer Programming,0,0,0,0,0,0,0,0,0
Gilbert High School,,40340000258,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Gilbert High School,,40340000258,AZ10205,Computer Gaming and Design,31,2,0,11,0,0,17,0,0
Gilbert High School,,40340000258,AZ10906,Software and App Design I,29,8,0,0,0,0,12,0,0
Highland High School,,40340000246,AZ10205,Computer Gaming and Design,79,2,0,12,0,0,28,16,0
Highland High School,,40340000246,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Highland High School,,40340000246,AZ10157,AP Computer Science A,12,0,0,0,0,0,0,0,0
Highland High School,,40340000246,AZ10161,Computer Science Principles,0,0,0,0,0,0,0,0,0
Highland High School,,40340000246,AZ10906,Software and App Design I,52,5,0,0,0,0,0,0,0
Highland High School,,40340000246,AZ10152,Computer Programming,0,0,0,0,0,0,0,0,0
Highland High School,,40340000246,AZ21009,Robotics,32,6,0,0,0,0,0,0,0
Arcadia High School,,40757000640,AZ21009,Robotics,23,3,0,0,0,0,0,0,0
Arcadia High School,,40757000640,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Saguaro High School,,40757000659,AZ21009,Robotics,32,7,0,0,0,0,0,0,0
Chaparral High School,,40757000641,AZ10157,AP Computer Science A,33,16,0,0,0,0,0,0,0
Chaparral High School,,40757000641,AZ21009,Robotics,27,5,0,0,0,0,0,0,0
Chaparral High School,,40757000641,AZ10906,Software and App Design I,0,0,0,0,0,0,0,0,0
Chaparral High School,,40757000641,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Desert Mountain High School,,40757000604,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Desert Mountain High School,,40757000604,AZ10906,Software and App Design I,19,4,0,0,0,0,0,0,0
Desert Mountain High School,,40757000604,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Desert Mountain High School,,40757000604,AZ10159,IB Computing Studies,13,0,0,0,0,0,0,0,0
Desert Mountain High School,,40757000604,AZ21009,Robotics,25,10,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10157,AP Computer Science A,36,4,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10910,Software and App Design III,14,1,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10911,Software and App Design IV,14,1,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10151,Software and App Design II,28,4,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10161,Computer Science Principles,50,11,0,0,0,0,0,0,0
Paradise Valley High School,,40593001553,AZ10906,Software and App Design I,130,48,0,17,0,0,0,0,0
Horizon High School,,40593001084,AZ10161,Computer Science Principles,0,0,0,0,0,0,0,0,0
North Canyon High School,,40593000488,AZ10161,Computer Science Principles,0,0,0,0,0,0,0,0,0
Shadow Mountain High School,,40593000491,AZ10161,Computer Science Principles,0,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ10151,Software and App Design II,13,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ10152,Computer Programming,0,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ10159,IB Computing Studies,0,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ21009,Robotics,15,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ10157,AP Computer Science A,15,0,0,0,0,0,0,0,0
Chandler High School,,40187000123,AZ10161,Computer Science Principles,56,17,0,24,0,0,31,0,0
Cactus Shadows High School,,40000101204,AZ10161,Computer Science Principles,69,10,0,0,0,0,0,0,0
Cactus Shadows High School,,40000101204,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Queen Creek High School,,40681001383,AZ10013,PLTW Introduction to Computer Science,38,3,0,0,0,0,0,0,0
Deer Valley High School,,40775001045,AZ10906,Software and App Design I,64,8,0,13,0,0,25,0,0
Deer Valley High School,,40775001045,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Deer Valley High School,,40775001045,AZ10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Deer Valley High School,,40775001045,AZ10910,Software and App Design III,0,0,0,0,0,0,0,0,0
Barry Goldwater High School,,40775001331,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Barry Goldwater High School,,40775001331,AZ10906,Software and App Design I,55,7,0,17,0,0,37,0,0
Mountain Ridge High School,,40775000636,AZ10906,Software and App Design I,67,13,0,0,0,0,0,0,0
Mountain Ridge High School,,40775000636,AZ10157,AP Computer Science A,25,5,0,0,0,0,0,0,0
Mountain Ridge High School,,40775000636,AZ10151,Software and App Design II,0,0,0,0,0,0,0,0,0
Mountain Ridge High School,,40775000636,AZ10161,Computer Science Principles,18,5,0,0,0,0,0,0,0
Mountain Ridge High School,,40775000636,AZ10911,Software and App Design IV,0,0,0,0,0,0,0,0,0
Fountain Hills High School,,40304000038,AZ10161,Computer Science Principles,18,3,0,0,0,0,0,0,0
Fountain Hills High School,,40304000038,AZ10199,Computer Programming-Other,17,1,0,0,0,0,0,0,0
Buckeye Union High School,,40141000075,AZ10157,AP Computer Science A,14,0,0,0,0,0,11,0,0
Buckeye Union High School,,40141000075,AZ10161,Computer Science Principles,29,4,0,16,0,0,19,0,0
Glendale High School,,40345000278,AZ10906,Software and App Design I,121,23,0,91,0,0,87,0,0
Sunnyslope High School,,40345000281,AZ10906,Software and App Design I,0,0,0,0,0,0,0,0,0
Washington High School,,40345000283,AZ10906,Software and App Design I,97,19,12,47,0,0,76,0,0
Cortez High School,,40345000277,AZ10906,Software and App Design I,42,7,0,22,0,0,13,0,0
Moon Valley High School,,40345000280,AZ10906,Software and App Design I,123,26,20,58,0,0,83,18,0
Thunderbird High School,,40345000282,AZ10906,Software and App Design I,90,9,0,26,0,0,41,13,0
Greenway High School,,40345000279,AZ10906,Software and App Design I,66,14,0,18,0,0,33,0,0
Independence High School,,40345000284,AZ10906,Software and App Design I,92,16,0,70,0,0,62,12,0
Alhambra High School,,40633000538,AZ10162,Exploring Computer Science,89,16,0,68,0,0,89,0,0
Alhambra High School,,40633000538,AZ10906,Software and App Design I,53,8,0,35,0,0,53,0,0
Alhambra High School,,40633000538,AZ10151,Software and App Design II,20,4,0,13,0,0,20,0,0
Trevor Browne High School,,40633000554,AZ10151,Software and App Design II,16,3,0,13,0,0,16,0,0
Trevor Browne High School,,40633000554,AZ10162,Exploring Computer Science,75,22,0,64,0,0,75,14,11
Trevor Browne High School,,40633000554,AZ10906,Software and App Design I,83,15,0,66,0,0,83,15,0
Trevor Browne High School,,40633000554,AZ21009,Robotics,25,1,0,23,0,0,25,0,0
Carl Hayden High School,,40633000541,AZ10162,Exploring Computer Science,197,73,0,182,0,0,197,49,23
