school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
S.T.A.R. ACADEMIC CENTER,AZ-4407-6288,40817000153,AZ10-014,PLTW Computer Science Applications,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ALHAMBRA HIGH SCHOOL,AZ-4286-5436,40633000538,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
APOLLO HIGH SCHOOL,AZ-4285-5431,40345000275,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRADSHAW MOUNTAIN HIGH SCHOOL,AZ-4469-6097,40387000306,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CENTRAL HIGH SCHOOL,AZ-4286-5439,40633000542,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
FRANKLIN POLICE AND FIRE HIGH SCHOOL,AZ-4286-89778,40633002859,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GILBERT CLASSICAL ACADEMY HIGH SCHOOL,AZ-4239-89606,40340002840,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREENWAY HIGH SCHOOL,AZ-4285-5433,40345000279,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
INDEPENDENCE HIGH SCHOOL,AZ-4285-5434,40345000284,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
MOON VALLEY HIGH SCHOOL,AZ-4285-5430,40345000280,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PCJTED - AMPHITHEATER HIGH SCHOOL,AZ-89380-89696,40075202793,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PCJTED - CANYON DEL ORO HIGH SCHOOL,AZ-89380-89697,40075202772,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PCJTED - CENTRAL CAMPUS,AZ-89380-89709,40075202823,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PCJTED - CIENEGA HIGH SCHOOL,AZ-89380-89704,40075202807,AZ10-151,Software Development,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
