school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
A. CRAWFORD MOSLEY HIGH SCHOOL,FL-03-0491,120009000067,0200320,AP COMPUTER SCI A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
A. CRAWFORD MOSLEY HIGH SCHOOL,FL-03-0491,120009000067,0200335,AP COMPUTER SCI PRIN,unspecified,56,25,4,1,0,0,6,3,0
A. CRAWFORD MOSLEY HIGH SCHOOL,FL-03-0491,120009000067,9001110,FOUND OF WEB DESIGN,unspecified,10,2,1,1,0,0,4,0,0
A. CRAWFORD MOSLEY HIGH SCHOOL,FL-03-0491,120009000067,9001120,USER INTERFACE DSN,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
A. CRAWFORD MOSLEY HIGH SCHOOL,FL-03-0491,120009000067,9007210,FOUND OF PROGRAMMING,unspecified,10,2,0,1,0,0,1,1,0
A. PHILIP RANDOLPH ACADEMIES,FL-16-2851,120048000773,0200320,AP COMPUTER SCI A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
A. PHILIP RANDOLPH ACADEMIES,FL-16-2851,120048000773,9001110,FOUND OF WEB DESIGN,unspecified,63,11,48,5,0,0,47,10,3
A. PHILIP RANDOLPH ACADEMIES,FL-16-2851,120048000773,9001330,CYBERSECURITY ESSEN,unspecified,13,1,10,2,0,0,9,2,0
ACCELERATION EAST,FL-48-1811,120144007736,0200335,AP COMPUTER SCI PRIN,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ADDIE R. LEWIS SCHOOL,FL-46-0671,120138001353,9001110,FOUND OF WEB DESIGN,unspecified,24,9,7,0,0,0,5,2,0
ALICE B. LANDRUM MIDDLE SCHOOL,FL-55-0311,120174002897,0200000,M/J COMP SCI DISC,unspecified,99,46,0,8,1,0,1,10,2
ALICE B. LANDRUM MIDDLE SCHOOL,FL-55-0311,120174002897,0200000,M/J COMP SCI DISC,unspecified,201,98,1,18,0,2,7,29,1
ALLEN D NEASE SENIOR HIGH SCHOOL,FL-55-0251,120174002262,0200335,AP COMPUTER SCI PRIN,unspecified,45,11,0,2,0,0,1,0,0
ALLEN D NEASE SENIOR HIGH SCHOOL,FL-55-0251,120174002262,9007210,FOUND OF PROGRAMMING,unspecified,78,22,2,3,0,1,2,3,0
ALONSO HIGH SCHOOL,FL-29-0151,120087003711,0200335,AP COMPUTER SCI PRIN,unspecified,47,13,1,17,0,2,18,2,1
ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,FL-13-7048,120039007635,9001330,CYBERSECURITY ESSEN,unspecified,24,7,3,10,0,0,18,4,3
ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,FL-13-7048,120039007635,9001340,OPERATIONAL CYBERSEC,unspecified,14,4,1,9,0,0,8,0,1
ALTHA PUBLIC SCHOOL,FL-07-0101,120021000293,9007210,FOUND OF PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ALTHA PUBLIC SCHOOL,FL-07-0101,120021000293,9007230,OBJ-ORIENT PROGRAM,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
AMOS P. GODBY HIGH SCHOOL,FL-37-0161,120111001176,0200320,AP COMPUTER SCI A,unspecified,13,4,10,0,2,0,5,0,0
ANDREW JACKSON HIGH SCHOOL,FL-16-0351,120048000649,0200335,AP COMPUTER SCI PRIN,unspecified,19,4,8,1,1,0,5,0,0
ANDREW JACKSON HIGH SCHOOL,FL-16-0351,120048000649,8208330,GAME & SIM PROGRAM,unspecified,24,2,16,2,1,0,15,4,0
ANDREW JACKSON HIGH SCHOOL,FL-16-0351,120048000649,9001330,CYBERSECURITY ESSEN,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
