school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
SANTA FE HIGH SCHOOL,FL-01-0271,120003000020,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,28,3,2,2,0,0,5,1,0
PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,FL-01-0411,120003000027,8208330,GAME & SIMULATION PROGRAMMING/LEVEL 3,19,4,3,1,0,0,5,1,0
PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,FL-01-0411,120003000027,8208340,MULTI-USER GAME & SIMULATION PROGRAMMING/LEVEL 3,12,1,3,0,0,0,2,0,0
EASTSIDE HIGH SCHOOL,FL-01-0421,120003000028,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,65,23,31,6,0,0,34,3,0
F. W. BUCHHOLZ HIGH SCHOOL,FL-01-0431,120003000029,200320,ADVANCED PLACEMENT COMPUTER SCIENCE A,23,5,1,1,0,0,0,0,1
F. W. BUCHHOLZ HIGH SCHOOL,FL-01-0431,120003000029,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,30,6,4,2,0,0,4,0,0
BAKER COUNTY SENIOR HIGH SCHOOL,FL-02-0012,120006000035,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,19,4,0,0,0,0,1,1,0
BAKER COUNTY MIDDLE SCHOOL,FL-02-0032,120006000037,200010,M/J COMPUTER SCIENCE DISCOVERIES 1,81,38,9,1,0,0,34,5,1
BAY HIGH SCHOOL,FL-03-0061,120009000039,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,15,6,1,0,0,1,7,1,0
RUTHERFORD HIGH SCHOOL,FL-03-0341,120009000064,200320,ADVANCED PLACEMENT COMPUTER SCIENCE A,*,*,*,*,*,*,*,*,*
RUTHERFORD HIGH SCHOOL,FL-03-0341,120009000064,200335,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,13,4,2,1,0,0,3,1,0
RUTHERFORD HIGH SCHOOL,FL-03-0341,120009000064,200820,INTERNATIONAL BACCALAUREATE COMPUTER SCIENCE 3,*,*,*,*,*,*,*,*,*
