school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
VIERA HIGH SCHOOL,,120015004244,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
VIERA HIGH SCHOOL,,120015004244,9007510,WEB PROGRAMMING/LEVEL 3,11,1,0,1,0,0,0,0,0
VIERA HIGH SCHOOL,,120015004244,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
VIERA HIGH SCHOOL,,120015004244,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
BAKER SCHOOL,,120138001321,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
BAKER SCHOOL,,120138001321,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
BAKER SCHOOL,,120138001321,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
BAKER SCHOOL,,120138001321,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
NICEVILLE SENIOR HIGH SCHOOL,,120138001333,9007510,WEB PROGRAMMING/LEVEL 3,32,9,0,1,0,0,1,0,0
NICEVILLE SENIOR HIGH SCHOOL,,120138001333,9007510,WEB PROGRAMMING/LEVEL 3,16,6,1,1,0,0,1,0,0
NICEVILLE SENIOR HIGH SCHOOL,,120138001333,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
NICEVILLE SENIOR HIGH SCHOOL,,120138001333,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CHOCTAWHATCHEE SENIOR HIGH SCHOOL,,120138001347,9007510,WEB PROGRAMMING/LEVEL 3,13,6,1,1,0,0,2,1,0
CHOCTAWHATCHEE SENIOR HIGH SCHOOL,,120138001347,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CHOCTAWHATCHEE SENIOR HIGH SCHOOL,,120138001347,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CHOCTAWHATCHEE SENIOR HIGH SCHOOL,,120138001347,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CRESTVIEW HIGH SCHOOL,,120138001348,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CRESTVIEW HIGH SCHOOL,,120138001348,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CRESTVIEW HIGH SCHOOL,,120138001348,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
CRESTVIEW HIGH SCHOOL,,120138001348,9007510,WEB PROGRAMMING/LEVEL 3,0,0,0,0,0,0,0,0,0
