school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Appling County High School,,130006000010,11.4520000,Web Design,8,0,0,0,0,0,0,0,0
Baldwin High School,,130021000158,11.0B48400,"Dual Enrollment Computer Science USG (CSCI 1301, Computer Science I)",1,0,0,0,0,0,0,0,0
Baldwin High School,,130021000158,11.4710000,Computer Science Principles,29,0,0,0,0,0,0,0,0
Banks County High School,,130024000169,11.4520000,Web Design,12,0,0,0,0,0,0,0,0
Apalachee High School,,130029002350,11.0190000,Advanced Placement Computer Science Principles,5,0,0,0,0,0,0,0,0
Apalachee High School,,130029002350,11.4520000,Web Design,4,0,0,0,0,0,0,0,0
Apalachee High School,,130029002350,11.4710000,Computer Science Principles,33,0,0,0,0,0,0,0,0
Apalachee High School,,130029002350,11.4720000,"Programming, Games, Apps and Society",29,0,0,0,0,0,0,0,0
Bear Creek Middle School,,130029000175,11.0120000,Foundations of Computer Programming,58,0,0,0,0,0,0,0,0
Alternative Education Center at Morgan,,,11.0120000,Foundations of Computer Programming,8,0,0,0,0,0,0,0,0
Barrow Arts and Sciences Academy,,,11.4710000,Computer Science Principles,18,0,0,0,0,0,0,0,0
Winder-Barrow High School,,130029000173,11.0190000,Advanced Placement Computer Science Principles,21,0,0,0,0,0,0,0,0
Winder-Barrow High School,,130029000173,11.4520000,Web Design,16,0,0,0,0,0,0,0,0
Winder-Barrow High School,,130029000173,11.4710000,Computer Science Principles,36,0,0,0,0,0,0,0,0
Winder-Barrow High School,,130029000173,11.4720000,"Programming, Games, Apps and Society",25,0,0,0,0,0,0,0,0
Woodland Middle School at Euharlee,,130033002294,11.0120000,Foundations of Computer Programming,89,0,0,0,0,0,0,0,0
Adairsville High School,,130033002352,11.0120000,Foundations of Computer Programming,8,0,0,0,0,0,0,0,0
