school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Anuenue School,,150003000246,EXS0100,Introduction to Computer Science A,12,0,0,0,0,10,0,0,0
Anuenue School,,150003000246,EXS0110,Introduction to Computer Science B,12,0,0,0,0,10,0,0,0
Kalani High School,,150003000163,ECS9500,Advanced Placement (AP) Computer Science A,16,0,0,0,0,0,0,0,0
Kalani High School,,150003000163,EXS1400,Computer Science A,56,11,0,0,0,0,0,0,0
Kalani High School,,150003000163,EXS1500,Computer Science B,56,11,0,0,0,0,0,0,0
Kawananakoa Middle School,,150003000205,EXS0100,Introduction to Computer Science A,40,0,0,0,0,0,20,0,0
McKinley High School,,150003000193,ECS9800,Advanced Placement (AP) Computer Science Principles,51,24,0,0,0,0,31,0,0
McKinley High School,,150003000193,ECS9900,Directed Study - Computer Science,0,0,0,0,0,0,0,0,0
McKinley High School,,150003000193,EXS1400,Computer Science A,27,0,0,0,0,0,12,0,0
McKinley High School,,150003000193,EXS1500,Computer Science B,23,0,0,0,0,0,0,0,0
Washington Middle School,,150003000180,EXS0100,Introduction to Computer Science A,118,46,0,13,0,30,72,19,23
Washington Middle School,,150003000180,EXS0110,Introduction to Computer Science B,78,24,0,0,0,17,41,0,15
Kaiser High School,,150003000228,ECS9500,Advanced Placement (AP) Computer Science A,26,0,0,0,0,0,0,0,0
Kaiser High School,,150003000228,EXS1400,Computer Science A,0,0,0,0,0,0,0,0,0
Kaiser High School,,150003000228,EXS1500,Computer Science B,0,0,0,0,0,0,0,0,0
HI School for the Deaf & Blind,,150003000096,EXS0100,Introduction to Computer Science A,14,0,0,0,0,0,10,14,0
HI School for the Deaf & Blind,,150003000096,EXS0110,Introduction to Computer Science B,12,0,0,0,0,0,0,12,0
