school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Farrington High School,,150003000221,EXS1300,Introduction to Computer Science,30,0,0,0,0,0,11,0,0
Kaewai Elem School,,150003000216,EMS0010,Computer Science Grade 1,52,28,0,0,0,22,31,0,12
Kaewai Elem School,,150003000216,EMS0020,Computer Science Grade 2,60,29,0,0,0,31,45,0,25
Kaewai Elem School,,150003000216,EMS0030,Computer Science Grade 3,46,20,0,0,0,32,35,0,26
Kaewai Elem School,,150003000216,EMS0040,Computer Science Grade 4,46,18,0,0,0,27,34,0,16
Kaewai Elem School,,150003000216,EMS0050,Computer Science Grade 5,66,30,0,0,0,38,44,11,27
Kaewai Elem School,,150003000216,EMS0091,Computer Science Grade K,36,22,0,0,0,19,30,0,0
Kalani High School,,150003000163,ECS9500,Advanced Placement (AP) Computer Science A,32,0,0,0,0,0,0,0,0
Kalani High School,,150003000163,ECS9900,Directed Study - Computer Science,0,0,0,0,0,0,0,0,0
Kalani High School,,150003000163,EXS1400,Computer Science A,54,16,0,0,0,0,14,0,0
Kalani High School,,150003000163,EXS1500,Computer Science B,52,14,0,0,0,0,14,0,0
Kalihi Elem School,,150003000162,EMS0010,Computer Science Grade 1,23,14,0,0,0,10,21,0,11
Kalihi Elem School,,150003000162,EMS0020,Computer Science Grade 2,35,13,0,0,0,18,24,0,19
Kalihi Elem School,,150003000162,EMS0030,Computer Science Grade 3,36,18,0,0,0,17,23,0,15
Kalihi Elem School,,150003000162,EMS0040,Computer Science Grade 4,31,17,0,0,0,14,22,0,13
Kalihi Elem School,,150003000162,EMS0050,Computer Science Grade 5,36,15,0,0,0,25,24,0,24
Kalihi Elem School,,150003000162,EMS0091,Computer Science Grade K,29,11,0,0,0,17,20,0,20
Kalihi-Uka Elem School,,150003000210,EMS0010,Computer Science Grade 1,50,24,0,0,0,0,39,0,0
Kalihi-Uka Elem School,,150003000210,EMS0020,Computer Science Grade 2,54,30,0,0,0,13,40,0,14
Kalihi-Uka Elem School,,150003000210,EMS0030,Computer Science Grade 3,43,18,0,0,0,0,35,0,0
Kalihi-Uka Elem School,,150003000210,EMS0040,Computer Science Grade 4,28,11,0,0,0,0,17,0,0
Kalihi-Uka Elem School,,150003000210,EMS0050,Computer Science Grade 5,48,27,0,0,0,0,33,0,0
Kalihi-Uka Elem School,,150003000210,EMS0091,Computer Science Grade K,39,18,0,0,0,0,26,0,0
Kalihi-Waena Elem School,,150003000209,EMS0010,Computer Science Grade 1,55,30,0,0,0,10,33,0,12
Kalihi-Waena Elem School,,150003000209,EMS0020,Computer Science Grade 2,101,50,0,0,0,41,63,11,43
Kalihi-Waena Elem School,,150003000209,EMS0030,Computer Science Grade 3,94,51,0,0,0,50,63,0,47
Kalihi-Waena Elem School,,150003000209,EMS0040,Computer Science Grade 4,94,47,0,0,0,44,64,0,38
Kalihi-Waena Elem School,,150003000209,EMS0050,Computer Science Grade 5,109,55,0,0,0,44,73,0,30
Kalihi-Waena Elem School,,150003000209,EMS0091,Computer Science Grade K,51,28,0,0,0,0,26,0,0
Kapalama Elem School,,150003000207,EMS0010,Computer Science Grade 1,84,42,0,13,0,14,52,0,0
Kapalama Elem School,,150003000207,EMS0020,Computer Science Grade 2,100,45,0,0,0,12,63,0,15
Kapalama Elem School,,150003000207,EMS0030,Computer Science Grade 3,98,46,0,0,0,10,54,0,17
Kapalama Elem School,,150003000207,EMS0040,Computer Science Grade 4,95,49,0,14,0,0,57,0,21
Kapalama Elem School,,150003000207,EMS0050,Computer Science Grade 5,102,50,0,13,0,11,58,0,15
Kapalama Elem School,,150003000207,EMS0091,Computer Science Grade K,68,30,0,0,0,0,40,0,0
Koko Head Elem School,,150003000204,EMS0020,Computer Science Grade 2,0,0,0,0,0,0,0,0,0
Koko Head Elem School,,150003000204,EMS0040,Computer Science Grade 4,0,0,0,0,0,0,0,0,0
