school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ADM Senior High School,IA-250027 000-250027 172,190315000009,10154,C++ Programming,unspecified,*,*,,*,,,*,,
Akron Westfield Senior High School,IA-750063 000-750063 172,190322001939,10152,Computer Programming,unspecified,*,,,,*,,*,,
Akron Westfield Senior High School,IA-750063 000-750063 172,190322001939,10156,Computer Programming—Other Language,unspecified,*,,,,,,*,,
Albia High School,IA-680081 000-680081 109,190327000017,10152,Computer Programming,unspecified,12,*,,,,,*,*,
Albia High School,IA-680081 000-680081 109,190327000017,10153,Visual Basic (VB) Programming,unspecified,12,*,,,,,*,*,
Alburnett Senior High School,IA-570099 000-570099 172,190330000025,10152,Computer Programming,unspecified,*,*,,,,,*,,
Algona High School,IA-550126 000-550126 109,190336000030,10155,Java Programming,unspecified,*,,,,,,,,
Waukon High School,IA-030135 000-030135 109,190339000038,10015,PLTW Computer Science Principles,unspecified,14,*,,,,,,,
Ames High School,IA-850225 000-850225 109,190354000050,10152,Computer Programming,unspecified,17,*,,*,,,*,,
Anamosa High School,IA-530234 000-530234 109,190357000061,10011,Computer Science Principles,unspecified,*,*,*,,,,*,*,
Anamosa High School,IA-530234 000-530234 109,190357000061,10152,Computer Programming,unspecified,*,,,,,,,*,
Anamosa High School,IA-530234 000-530234 109,190357000061,10155,Java Programming,unspecified,*,,,,,,,*,
Anamosa High School,IA-530234 000-530234 109,190357000061,21009,Robotics,unspecified,15,*,,,,,*,*,
Ankeny High School,IA-770261 000-770261 109,190369000071,10019,AP Computer Science Principles,unspecified,100,13,,*,,,12,*,
Ankeny High School,IA-770261 000-770261 109,190369000071,10152,Computer Programming,unspecified,*,,,,,,,,
Ankeny High School,IA-770261 000-770261 109,190369000071,10152,Computer Programming,unspecified,54,*,,*,,,15,*,*
Ankeny High School,IA-770261 000-770261 109,190369000071,10153,Visual Basic (VB) Programming,unspecified,*,,,,,,,,
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,unspecified,*,,,,,,,,
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,unspecified,*,,,,,,,,
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,unspecified,57,*,*,*,,,*,*,
Ankeny High School,IA-770261 000-770261 109,190369000071,10157,AP Computer Science A,unspecified,22,*,,*,,,*,,
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10019,AP Computer Science Principles,unspecified,93,*,*,*,,,*,,
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10152,Computer Programming,unspecified,64,*,*,*,,,10,*,
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10156,Computer Programming—Other Language,unspecified,48,*,*,*,,,*,*,
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10157,AP Computer Science A,unspecified,27,*,*,,,,*,,
Aplington Parkersburg High School,IA-120279 000-120279 109,190375001337,10152,Computer Programming,unspecified,*,*,,*,,,*,,
Aplington Parkersburg High School,IA-120279 000-120279 109,190375001337,21009,Robotics,unspecified,*,*,,*,,,*,*,
Atlantic High School,IA-150387 000-150387 109,190393000090,10152,Computer Programming,unspecified,*,,,,,,*,*,
Atlantic High School,IA-150387 000-150387 109,190393000090,10152,Computer Programming,unspecified,13,*,,*,,,*,,
Audubon Middle-High School,IA-050414 000-050414 109,190396000096,10152,Computer Programming,unspecified,*,,,,,,,,
