school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
PRIEST RIVER LAMANNA HIGH,,160000100084,101520,Computer Programming & Software Development I,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CLARK FORK JR/SR HIGH SCHOOL,,160000200082,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SANDPOINT HIGH SCHOOL,,160000200087,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),46,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
TROY JR/SR HIGH SCHOOL,,160000900582,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SALMON RIVER JR/SR HIGH SCHOOL,,160013800944,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SALMON RIVER JR/SR HIGH SCHOOL,,160013800944,101520,Computer Programming & Software Development I,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
iSUCCEED VIRTUAL HIGH SCHOOL,,160014400967,3208,AP/Dual Credit Computer Science – Science (11th-12th grade content),8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
FORREST M BIRD CHARTER SCHOOL,,160016500772,100192,Computer Science III,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BINGHAM ACADEMY,,160016901067,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BINGHAM ACADEMY,,160016901067,210092,Introduction to Robotics,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
COEUR D'ALENE CHARTER ACADEMY SCHOOL,,160017300765,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
COEUR D'ALENE CHARTER ACADEMY SCHOOL,,160017300765,3208,AP/Dual Credit Computer Science – Science (11th-12th grade content),2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
PROJECT IMPACT STEM ACADEMY,,160018201102,100190,Computer Science I,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BEAR LAKE HIGH SCHOOL,,160024000018,210092,Introduction to Robotics,15,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLACKFOOT HIGH SCHOOL,,160027000022,101520,Computer Programming & Software Development I,38,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WOOD RIVER HIGH SCHOOL,,160030000038,100190,Computer Science I,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WOOD RIVER HIGH SCHOOL,,160030000038,100191,Computer Science II,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WOOD RIVER HIGH SCHOOL,,160030000038,101522,Programming & Software Development I,32,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BOISE SENIOR HIGH SCHOOL,,160036000044,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),103,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BORAH SENIOR HIGH SCHOOL,,160036000045,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),84,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CAPITAL SENIOR HIGH SCHOOL,,160036000047,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CAPITAL SENIOR HIGH SCHOOL,,160036000047,3208,AP/Dual Credit Computer Science – Science (11th-12th grade content),28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
TREASURE VALLEY MATH/SCIENCE,,160036000823,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),45,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BONNERS FERRY HIGH SCHOOL,,160042000089,101520,Computer Programming & Software Development I,16,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BONNERS FERRY HIGH SCHOOL,,160042000089,100140,PLTW Computer Science A,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BUHL HIGH SCHOOL,,160048000102,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CALDWELL SENIOR HIGH SCHOOL,,160051000104,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
VALLIVUE HIGH SCHOOL,,160060000118,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),62,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
VALLIVUE HIGH SCHOOL,,160060000118,100190,Computer Science I,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
RIDGEVUE HIGH SCHOOL,,160060001078,2204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
