school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
BOISE SENIOR HIGH SCHOOL,ID-001-0007,160036000044,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,117,42,1,9,1,0,6,9,unspecified
BORAH SENIOR HIGH SCHOOL,ID-001-0008,160036000045,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,91,29,2,10,1,0,21,unspecified,unspecified
CAPITAL SENIOR HIGH SCHOOL,ID-001-0009,160036000047,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,23,7,0,3,0,0,unspecified,unspecified,unspecified
CAPITAL SENIOR HIGH SCHOOL,ID-001-0009,160036000047,03208,AP/Dual Credit Computer Science – Science (11th-12th grade content),unspecified,33,9,1,5,0,0,8,unspecified,unspecified
TIMBERLINE HIGH SCHOOL,ID-001-0243,160252000445,03208,AP/Dual Credit Computer Science – Science (11th-12th grade content),unspecified,105,25,2,6,0,2,10,unspecified,unspecified
TREASURE VALLEY MATH/SCIENCE,ID-001-0573,160036000823,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,230,55,5,15,0,0,unspecified,unspecified,unspecified
CENTENNIAL HIGH SCHOOL,ID-002-0015,160210000674,10157,AP Computer Science A ,unspecified,72,12,0,2,1,1,unspecified,unspecified,unspecified
ST MARIES HIGH SCHOOL,ID-041-0029,160306000532,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,1,0,0,0,0,0,unspecified,unspecified,unspecified
SANDPOINT HIGH SCHOOL,ID-084-0202,160000200087,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,52,20,0,4,0,0,7,unspecified,unspecified
BONNERS FERRY HIGH SCHOOL,ID-101-0057,160042000089,10157,AP Computer Science A ,unspecified,1,0,0,0,0,0,unspecified,unspecified,unspecified
SKYVIEW HIGH SCHOOL,ID-131-0994,160234000515,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,28,2,0,10,0,0,unspecified,unspecified,unspecified
NAMPA SENIOR HIGH SCHOOL,ID-131-0998,160234000514,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,33,8,0,10,0,0,10,unspecified,unspecified
CALDWELL SENIOR HIGH SCHOOL,ID-132-0065,160051000104,02204,AP/Dual Credit Computer Science - Mathematics (11-12 grade content),unspecified,175,45,0,80,5,0,unspecified,5,10
