school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Liberty High School,IL-01-001-0020-26-0100100200001,172277002524,10152A001,Computer Operations and Programming I,unspecified,105,54,0,0,0,0,24,unspecified,unspecified
Unity High School,IL-01-001-0040-26-0100100400001,172559002771,10152A001,Computer Operations and Programming I,unspecified,11,*,0,*,0,*,0,unspecified,unspecified
Unity High School,IL-01-001-0040-26-0100100400001,172559002771,10152A001,Computer Operations and Programming I,unspecified,11,*,0,*,0,*,0,unspecified,unspecified
Quincy Sr High School,IL-01-001-1720-22-0100117200003,173300005053,10152A000,Computer Programming,unspecified,49,*,0,*,0,0,12,unspecified,unspecified
Jacksonville High School,IL-01-069-1170-22-0106911700014,172028002280,10153A000,Visual Basic (VB) Programming,unspecified,34,10,*,*,0,0,14,unspecified,unspecified
Jacksonville High School,IL-01-069-1170-22-0106911700014,172028002280,10154A000,C++ Programming,unspecified,*,0,0,0,0,0,0,unspecified,unspecified
Jacksonville High School,IL-01-069-1170-22-0106911700014,172028002280,10157A000,AP Computer Science A,unspecified,78,30,0,*,0,0,15,unspecified,unspecified
Pittsfield High School,IL-01-075-0100-26-0107501000009,173171003332,10152A001,Computer Operations and Programming I,unspecified,12,0,0,*,0,0,*,unspecified,unspecified
Taylorville Sr High School,IL-03-011-0030-26-0301100300006,173870003938,10152A001,Computer Operations and Programming I,unspecified,23,*,0,0,0,0,11,unspecified,unspecified
Taylorville Sr High School,IL-03-011-0030-26-0301100300006,173870003938,10152A002,Computer Operations and Programming II,unspecified,10,0,0,0,0,0,*,unspecified,unspecified
Taylorville Sr High School,IL-03-011-0030-26-0301100300006,173870003938,10152A001,Computer Operations and Programming I,unspecified,23,*,0,0,0,0,11,unspecified,unspecified
Taylorville Sr High School,IL-03-011-0030-26-0301100300006,173870003938,10152A002,Computer Operations and Programming II,unspecified,10,0,0,0,0,0,*,unspecified,unspecified
Vandalia Community High School,IL-03-026-2030-26-0302620300001,174014004044,10161A000,AP Computer Science Principles,unspecified,38,10,0,*,0,0,12,unspecified,unspecified
Vandalia Community High School,IL-03-026-2030-26-0302620300001,174014004044,10161A000,AP Computer Science Principles,unspecified,38,10,0,*,0,0,12,unspecified,unspecified
Belvidere High School,IL-04-004-1000-26-0400410000001,170579000255,10157A000,AP Computer Science A,unspecified,36,*,0,13,0,0,11,unspecified,unspecified
Auburn High School,IL-04-101-2050-25-0410120500001,173451003599,10157A000,AP Computer Science A,unspecified,47,13,*,*,0,0,17,unspecified,unspecified
Rockford East High School,IL-04-101-2050-25-0410120500002,173451003600,10157A000,AP Computer Science A,unspecified,92,*,19,24,0,0,50,unspecified,unspecified
Guilford High School,IL-04-101-2050-25-0410120500003,173451003577,10157A000,AP Computer Science A,unspecified,57,11,*,12,0,0,19,unspecified,unspecified
Jefferson High School,IL-04-101-2050-25-0410120500004,173451003585,10157A000,AP Computer Science A,unspecified,76,*,12,38,0,0,37,unspecified,unspecified
Hononegah CHD High School,IL-04-101-2070-16-0410120700001,171962002236,10152A000,Computer Programming,unspecified,46,*,0,0,0,0,11,unspecified,unspecified
Evanston Twp High School,IL-05-016-2020-17-0501620200001,171449001804,10152A000,Computer Programming,unspecified,94,34,14,12,0,0,14,unspecified,unspecified
Evanston Twp High School,IL-05-016-2020-17-0501620200001,171449001804,10152A001,Computer Operations and Programming I,unspecified,133,30,37,22,0,*,49,unspecified,unspecified
Evanston Twp High School,IL-05-016-2020-17-0501620200001,171449001804,10152A002,Computer Operations and Programming II,unspecified,46,*,12,13,0,*,16,unspecified,unspecified
Evanston Twp High School,IL-05-016-2020-17-0501620200001,171449001804,10155A000,Java Programming,unspecified,54,*,*,*,0,0,11,unspecified,unspecified
Evanston Twp High School,IL-05-016-2020-17-0501620200001,171449001804,10157A000,AP Computer Science A,unspecified,35,*,*,*,0,0,*,unspecified,unspecified
New Trier Township H S Winnetka,IL-05-016-2030-17-0501620300001,172820002975,10152A001,Computer Operations and Programming I,unspecified,53,*,0,*,*,0,0,unspecified,unspecified
New Trier Township H S Winnetka,IL-05-016-2030-17-0501620300001,172820002975,10155A000,Java Programming,unspecified,118,38,0,*,0,0,*,unspecified,unspecified
New Trier Township H S Winnetka,IL-05-016-2030-17-0501620300001,172820002975,10157A000,AP Computer Science A,unspecified,156,41,0,0,0,0,*,unspecified,unspecified
Maine East High School,IL-05-016-2070-17-0501620700001,172409005030,10152A001,Computer Operations and Programming I,unspecified,182,19,*,36,0,0,77,unspecified,unspecified
Maine East High School,IL-05-016-2070-17-0501620700001,172409005030,10157A000,AP Computer Science A,unspecified,46,16,0,0,0,0,12,unspecified,unspecified
Maine East High School,IL-05-016-2070-17-0501620700001,172409005030,10161A000,AP Computer Science Principles,unspecified,44,*,*,*,0,0,22,unspecified,unspecified
Maine South High School,IL-05-016-2070-17-0501620700003,172409005031,10152A001,Computer Operations and Programming I,unspecified,135,17,*,19,0,0,*,unspecified,unspecified
Maine South High School,IL-05-016-2070-17-0501620700003,172409005031,10155A000,Java Programming,unspecified,39,10,0,*,0,0,*,unspecified,unspecified
Maine South High School,IL-05-016-2070-17-0501620700003,172409005031,10157A000,AP Computer Science A,unspecified,53,10,0,*,0,0,*,unspecified,unspecified
Maine South High School,IL-05-016-2070-17-0501620700003,172409005031,10161A000,AP Computer Science Principles,unspecified,74,*,0,*,0,0,*,unspecified,unspecified
Maine West High School,IL-05-016-2070-17-0501620700004,172409005032,10152A001,Computer Operations and Programming I,unspecified,202,14,10,71,*,0,65,unspecified,unspecified
Maine West High School,IL-05-016-2070-17-0501620700004,172409005032,10155A000,Java Programming,unspecified,42,*,*,14,0,0,*,unspecified,unspecified
Maine West High School,IL-05-016-2070-17-0501620700004,172409005032,10157A000,AP Computer Science A,unspecified,53,12,0,*,0,0,*,unspecified,unspecified
Maine West High School,IL-05-016-2070-17-0501620700004,172409005032,10161A000,AP Computer Science Principles,unspecified,34,*,0,*,0,0,*,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10152A000,Computer Programming,unspecified,94,19,*,*,*,0,37,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10156A000,Computer Programming—Other Language,unspecified,46,14,*,*,0,0,*,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10157A000,AP Computer Science A,unspecified,292,99,*,11,*,0,36,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10152A000,Computer Programming,unspecified,94,19,*,*,*,0,37,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10156A000,Computer Programming—Other Language,unspecified,46,14,*,*,0,0,*,unspecified,unspecified
J B Conant High School,IL-05-016-2110-17-0501621100001,173045003165,10157A000,AP Computer Science A,unspecified,292,99,*,11,*,0,36,unspecified,unspecified
