school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
A Vito Martinez Middle School,,174007004037,10152A002,Computer Operations and Programming II,0,0,0,0,0,0,0,0,0
Abingdon-Avon High Sch,,170141306274,10012A000,Exploring Computer Science,14,0,0,0,0,0,0,0,0
Addison Trail High School,,171394001737,10152A000,Computer Programming,60,0,0,24,0,0,0,0,0
Addison Trail High School,,171394001737,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
Adlai E Stevenson High School,,173258003385,10152A000,Computer Programming,288,69,0,19,0,0,0,0,0
Adlai E Stevenson High School,,173258003385,10152A002,Computer Operations and Programming II,0,0,0,0,0,0,0,0,0
Adlai E Stevenson High School,,173258003385,10199A000,Computer Programming—Other,25,0,0,0,0,0,0,0,0
Air Force Acad High School,,170993006055,10152A000,Computer Programming,65,20,32,27,0,0,0,0,0
Alcott College Prep,,170993006072,10152A000,Computer Programming,115,58,22,70,0,0,0,0,0
Amboy High School,,170369000060,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
Amundsen High School,,170993000587,10152A000,Computer Programming,246,107,22,140,0,0,0,0,0
Amundsen High School,,170993000587,10152A001,Computer Operations and Programming I,27,0,0,15,0,0,0,0,0
Amundsen High School,,170993000587,10152A002,Computer Operations and Programming II,15,0,0,0,0,0,0,0,0
Anna-Jonesboro High School,,170378000067,10152A000,Computer Programming,0,0,0,0,0,0,0,0,0
Annawan High School,,170381000069,10011A000,Computer Science Principles,0,0,0,0,0,0,0,0,0
Antioch Comm High School,,170387000075,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
Antioch Comm High School,,170387000075,10152A002,Computer Operations and Programming II,0,0,0,0,0,0,0,0,0
Antioch Comm High School,,170387000075,10204A001,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Argo Community High School,,170402000088,10199A000,Computer Programming—Other,0,0,0,0,0,0,0,0,0
Austin College and Career Academy High School,,170993005984,10152A000,Computer Programming,128,56,119,0,0,0,0,0,0
Back of The Yards IB HS,,170993006282,10152A000,Computer Programming,55,21,0,50,0,0,0,0,0
Barrington High School,,170505000188,10152A000,Computer Programming,50,0,0,0,0,0,0,0,0
Barrington High School,,170505000188,10152A001,Computer Operations and Programming I,30,0,0,0,0,0,0,0,0
Barrington High School,,170505000188,10152A002,Computer Operations and Programming II,118,37,0,0,0,0,0,0,0
Bartlett High School,,171371002108,10152A000,Computer Programming,0,0,0,0,0,0,0,0,0
Barton Elem School,,170993000589,10152A000,Computer Programming,0,0,0,0,0,0,0,0,0
Batavia Sr High School,,170522000202,10153A000,Visual Basic (VB) Programming,48,0,0,0,0,0,0,0,0
Batavia Sr High School,,170522000202,10156A000,Computer Programming—Other Language,47,0,0,0,0,0,0,0,0
Batavia Sr High School,,170522000202,10199A000,Computer Programming—Other,0,0,0,0,0,0,0,0,0
Belvidere North High Sch,,170579005909,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
Benton Cons High School,,170597000278,10152A001,Computer Operations and Programming I,13,0,0,0,0,0,0,0,0
Bismarck-Henning Rossville-Alvin Cooperative HS  7,,173487006534,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
Bismarck-Henning Rossville-Alvin Cooperative HS  7,,173487006534,10152A002,Computer Operations and Programming II,0,0,0,0,0,0,0,0,0
Bismarck-Henning Rossville-Alvin Cooperative HS 1,,170639000309,10152A001,Computer Operations and Programming I,0,0,0,0,0,0,0,0,0
