school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Adams Central High School,IN-0015-0021,180006000007,4568,AP Computer Science Principles,8,2,0,0,0,0,2,0,0
Adams Central High School,IN-0015-0021,180006000007,4803,Introduction to Computer Science,4,0,0,0,0,0,0,0,0
South Adams High School,IN-0035-0023,181026001642,4801,Computer Science I,13,1,0,1,0,0,3,0,0
South Adams High School,IN-0035-0023,181026001642,5236,Computer Science II,2,0,0,0,0,0,1,0,0
Homestead Senior High School,IN-0125-0047,180003000002,4801,Computer Science I,24,2,1,2,0,0,2,2,1
Homestead Senior High School,IN-0125-0047,180003000002,5236,Computer Science II,10,2,0,1,0,0,0,1,0
Homestead Senior High School,IN-0125-0047,180003000002,4803,Introduction to Computer Science,26,1,1,1,0,0,0,0,0
Homestead Senior High School,IN-0125-0047,180003000002,4803,Introduction to Computer Science,26,5,2,2,0,0,4,1,0
Carroll High School,IN-0225-0091,180825001414,4570,AP Computer Science A,24,3,2,0,0,0,1,0,0
Carroll High School,IN-0225-0091,180825001414,4801,Computer Science I,80,8,1,8,1,0,15,6,0
Anthis Career Center,IN-0235-0093,unspecified,5236,Computer Science II,24,4,3,3,0,0,13,2,3
North Side High School,IN-0235-0101,180363000550,4568,AP Computer Science Principles,28,7,3,2,0,0,16,1,2
North Side High School,IN-0235-0101,180363000550,4803,Introduction to Computer Science,117,23,27,19,0,0,80,19,10
R Nelson Snider High School,IN-0235-0102,180363000556,4570,AP Computer Science A,12,1,0,2,0,0,0,0,0
R Nelson Snider High School,IN-0235-0102,180363000556,4568,AP Computer Science Principles,32,4,3,3,0,0,15,3,0
R Nelson Snider High School,IN-0235-0102,180363000556,4803,Introduction to Computer Science,63,15,12,6,0,0,26,6,1
South Side High School,IN-0235-0105,180363000562,4803,Introduction to Computer Science,115,27,35,34,0,0,88,17,8
Wayne High School,IN-0235-0177,180363000568,4803,Introduction to Computer Science,63,20,18,10,0,0,40,15,8
Wayne High School,IN-0235-0177,180363000568,4801,Computer Science I,18,2,1,5,0,0,5,3,0
Northrop High School,IN-0235-0219,180363000552,4801,Computer Science I,72,16,19,7,0,0,33,15,2
Northrop High School,IN-0235-0219,180363000552,4803,Introduction to Computer Science,175,71,29,29,1,0,86,24,4
Leo Junior/Senior High School,IN-0255-0049,180285000349,5610,Industrial Automation and Robotics I,2,0,0,0,0,0,0,0,0
Heritage Jr/Sr High School,IN-0255-0081,180285000344,5610,Industrial Automation and Robotics I,11,5,0,0,0,0,9,0,6
Heritage Jr/Sr High School,IN-0255-0081,180285000344,4803,Introduction to Computer Science,24,2,0,2,0,0,16,4,0
Woodlan Jr/Sr High School,IN-0255-0285,180285000361,5610,Industrial Automation and Robotics I,1,0,0,0,0,0,0,0,0
New Haven Jr/Sr High School,IN-0255-0297,180285000353,4803,Introduction to Computer Science,11,2,4,1,0,0,5,0,0
New Haven Jr/Sr High School,IN-0255-0297,180285000353,5610,Industrial Automation and Robotics I,12,0,4,3,0,0,9,1,2
Columbus North High School,IN-0365-0397,180036000066,5610,Industrial Automation and Robotics I,9,1,0,1,0,0,4,0,2
Columbus North High School,IN-0365-0397,180036000066,5612,Industrial Automation and Robotics II,2,0,0,0,0,0,0,0,0
Columbus North High School,IN-0365-0397,180036000066,4801,Computer Science I,1,0,0,0,0,0,0,1,0
Columbus North High School,IN-0365-0397,180036000066,4570,AP Computer Science A,22,9,0,1,0,0,0,0,0
Columbus North High School,IN-0365-0397,180036000066,4568,AP Computer Science Principles,39,13,2,3,0,0,4,0,0
Columbus North High School,IN-0365-0397,180036000066,5236,Computer Science II,9,1,0,0,0,0,0,1,0
Columbus East High School,IN-0365-0399,180036000065,4801,Computer Science I,15,3,0,1,0,0,0,1,1
Hauser Jr-Sr High School,IN-0370-0410,180357000509,4568,AP Computer Science Principles,5,3,0,0,0,0,1,0,0
Hauser Jr-Sr High School,IN-0370-0410,180357000509,4801,Computer Science I,18,6,1,0,0,0,4,2,0
Hauser Jr-Sr High School,IN-0370-0410,180357000509,5236,Computer Science II,6,2,0,0,0,0,0,0,0
Benton Central Jr-Sr High School,IN-0395-0445,180048000097,4801,Computer Science I,12,0,1,1,0,0,5,5,0
Benton Central Jr-Sr High School,IN-0395-0445,180048000097,5236,Computer Science II,5,1,0,1,0,0,2,1,0
Western Boone Jr-Sr High School,IN-0615-0539,181299002066,4801,Computer Science I,11,0,0,0,0,0,2,1,0
Zionsville Community High School,IN-0630-0512,180283000341,4570,AP Computer Science A,20,0,0,2,0,0,0,1,0
Zionsville Community High School,IN-0630-0512,180283000341,4568,AP Computer Science Principles,32,4,0,2,0,0,1,5,0
Lebanon Senior High School,IN-0665-0553,180579001041,4801,Computer Science I,23,1,0,2,0,0,4,1,0
Brown County High School,IN-0670-0573,180096000169,4568,AP Computer Science Principles,10,4,0,0,0,0,2,0,1
Brown County High School,IN-0670-0573,180096000169,4801,Computer Science I,28,3,0,1,0,0,12,10,0
Brown County Junior High,IN-0670-0587,180096002190,4803,Introduction to Computer Science,22,4,0,0,0,0,14,6,0
Carroll Senior High School,IN-0750-0621,180129000203,4568,AP Computer Science Principles,2,0,0,1,0,0,0,0,0
Carroll Senior High School,IN-0750-0621,180129000203,4803,Introduction to Computer Science,14,1,0,0,0,0,3,1,0
Carroll Senior High School,IN-0750-0621,180129000203,4803,Introduction to Computer Science,1,0,0,0,0,0,0,0,0
Delphi Community High School,IN-0755-0637,180270000326,4801,Computer Science I,70,33,0,5,0,0,35,9,1
Lewis Cass High School,IN-0815-0689,181068001755,4570,AP Computer Science A,10,0,0,0,0,0,6,1,0
Lewis Cass High School,IN-0815-0689,181068001755,4801,Computer Science I,8,1,0,0,0,0,3,2,0
Lewis Cass Polytechnic Academy,IN-0815-0692,181068002622,5610,Industrial Automation and Robotics I,8,1,0,1,0,0,3,0,0
Century Career Center,IN-0875-0739,180603001054,4803,Introduction to Computer Science,61,7,1,20,0,0,30,7,6
Silver Creek High School,IN-0940-0777,180937001536,4801,Computer Science I,19,2,0,0,0,0,3,3,0
Silver Creek High School,IN-0940-0777,180937001536,4803,Introduction to Computer Science,30,5,1,2,0,1,7,3,0
Clarksville Senior High School,IN-1000-0833,180192000249,4801,Computer Science I,9,2,1,1,0,0,3,0,2
Clarksville Senior High School,IN-1000-0833,180192000249,4803,Introduction to Computer Science,11,1,0,0,0,0,2,3,0
Charlestown Senior High School,IN-1010-0821,180394000663,4801,Computer Science I,27,4,0,2,0,0,13,4,1
Jeffersonville High School,IN-1010-0849,180394000666,4803,Introduction to Computer Science,74,11,18,7,0,0,39,14,3
Jeffersonville High School,IN-1010-0849,180394000666,4570,AP Computer Science A,6,0,0,1,0,0,1,0,0
Jeffersonville High School,IN-1010-0849,180394000666,4801,Computer Science I,35,3,5,6,0,0,18,6,1
Jeffersonville High School,IN-1010-0849,180394000666,5236,Computer Science II,22,1,2,4,0,0,8,6,0
Northview High School,IN-1125-0933,180084000154,4801,Computer Science I,4,1,0,0,0,0,1,0,0
Rossville Middle/Senior High Sch,IN-1180-1021,180972001590,4801,Computer Science I,12,1,0,0,0,0,3,1,0
Crawford County High School,IN-1300-1059,180244000279,4801,Computer Science I,14,2,0,0,0,0,7,1,0
North Daviess Jr-Sr High School,IN-1375-1121,180771001319,4801,Computer Science I,17,2,0,1,1,0,9,3,0
East Central High School,IN-1560-7213,181119001802,4801,Computer Science I,49,10,0,0,0,0,7,3,0
East Central High School,IN-1560-7213,181119001802,5236,Computer Science II,10,0,0,0,0,0,1,0,0
Lawrenceburg High School,IN-1620-1177,180570001037,4801,Computer Science I,18,0,1,1,0,0,7,3,0
South Decatur Jr-Sr High School,IN-1655-1263,180261000311,4803,Introduction to Computer Science,19,1,0,1,0,0,8,0,0
North Decatur Jr-Sr High School,IN-1655-1267,180261000309,4803,Introduction to Computer Science,25,3,0,0,0,0,10,5,0
Greensburg Community High School,IN-1730-1268,180408000704,4801,Computer Science I,3,2,0,0,0,0,0,0,0
Greensburg Community High School,IN-1730-1268,180408000704,4803,Introduction to Computer Science,3,2,0,0,0,0,0,0,0
Eastside Junior-Senior High School,IN-1805-1317,180306000405,4801,Computer Science I,1,0,0,0,0,0,0,0,0
DeKalb High School,IN-1835-1345,180159000220,4568,AP Computer Science Principles,13,1,0,2,0,0,8,2,0
DeKalb High School,IN-1835-1345,180159000220,4803,Introduction to Computer Science,23,5,0,2,0,0,8,7,1
DeKalb Middle School,IN-1835-1346,180159000221,4803,Introduction to Computer Science,64,21,0,2,0,0,28,8,0
Delta Middle School,IN-1875-1367,180266000323,4803,Introduction to Computer Science,25,1,1,1,0,0,12,2,0
Wes-Del Middle/Senior High School,IN-1885-1372,180450000761,4801,Computer Science I,2,0,0,0,0,0,1,1,0
Yorktown High School,IN-1910-1389,180723001217,4801,Computer Science I,11,4,0,0,0,0,2,1,1
Daleville Jr-Sr High School,IN-1940-1401,180984001603,4801,Computer Science I,23,8,0,2,0,0,12,3,4
Daleville Jr-Sr High School,IN-1940-1401,180984001603,4803,Introduction to Computer Science,26,11,0,1,0,0,7,2,0
Daleville Jr-Sr High School,IN-1940-1401,180984001603,4801,Computer Science I,1,0,0,0,0,0,0,0,0
Daleville Jr-Sr High School,IN-1940-1401,180984001603,5610,Industrial Automation and Robotics I,1,0,0,0,0,0,1,0,0
Muncie Central High School,IN-1970-1421,180732001242,4803,Introduction to Computer Science,10,1,2,0,0,0,6,3,0
Muncie Central High School,IN-1970-1421,180732001242,4568,AP Computer Science Principles,17,1,2,1,0,0,7,2,0
Northeast Dubois High School,IN-2040-1545,180812001393,4570,AP Computer Science A,3,0,0,0,0,0,0,0,0
Northeast Dubois High School,IN-2040-1545,180812001393,4801,Computer Science I,3,0,0,0,0,0,0,1,0
Forest Park Jr-Sr High School,IN-2100-1583,181064001745,4801,Computer Science I,16,2,0,0,0,0,3,1,0
Southridge High School,IN-2110-1588,181087001779,4801,Computer Science I,17,4,0,2,0,0,5,2,0
Jasper High School,IN-2120-1593,180396000685,4570,AP Computer Science A,40,12,0,6,0,0,4,3,1
Jasper High School,IN-2120-1593,180396000685,4803,Introduction to Computer Science,32,5,0,4,0,0,5,2,1
Fairfield Jr-Sr High School,IN-2155-1613,180348000491,4801,Computer Science I,9,0,0,1,0,0,2,3,0
Fairfield Jr-Sr High School,IN-2155-1613,180348000491,4803,Introduction to Computer Science,12,4,0,2,0,0,1,1,1
Jimtown High School,IN-2260-1701,180042000090,4803,Introduction to Computer Science,24,6,0,0,0,0,7,2,0
Concord Community High School,IN-2270-1715,180240000269,4801,Computer Science I,15,1,0,3,0,0,6,1,0
Concord Community High School,IN-2270-1715,180240000269,4801,Computer Science I,5,0,0,0,0,0,2,0,0
Northridge High School,IN-2275-1733,180660001165,4801,Computer Science I,11,1,0,0,0,0,2,1,0
Northridge High School,IN-2275-1733,180660001165,4801,Computer Science I,25,1,0,3,0,0,6,2,1
North Wood High School,IN-2285-1737,181224001956,4803,Introduction to Computer Science,42,6,1,4,0,0,9,4,0
