school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Western Plains High,,200002000498,21009,Robotics,0,0,0,0,0,0,0,0,0
Turner High,,201236000024,10153,Visual Basic (VB) Programming,0,0,0,0,0,0,0,0,0
Bonner Springs High,,200405000031,21009,Robotics,0,0,0,0,0,0,0,0,0
Ulysses High,,201242000069,21009,Robotics,0,0,0,0,0,0,0,0,0
Deerfield High,,200540000075,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Rolla JH/HS (6-12),,201119000077,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Blue Valley North High,,201200001644,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Blue Valley North High,,201200001644,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Blue Valley High,,201200000112,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Blue Valley High,,201200000112,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Blue Valley Southwest High School,,201200001990,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Blue Valley Southwest High School,,201200001990,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Blue Valley Northwest High,,201200000541,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Blue Valley Northwest High,,201200000541,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Blue Valley West High,,201200001533,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Blue Valley West High,,201200001533,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Spring Hill High School,,201185000118,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Spring Hill High School,,201185000118,10160,PARTICULAR TOPICS IN COMPUTER PROGRAMMING,0,0,0,0,0,0,0,0,0
Spring Hill High School,,201185000118,21009,Robotics,0,0,0,0,0,0,0,0,0
Gardner Edgerton High,,200642000122,10152,Computer Programming,0,0,0,0,0,0,0,0,0
De Soto  High  School,,200549000127,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
De Soto  High  School,,200549000127,31094,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Olathe Northwest High School,,201014001793,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Olathe Northwest High School,,201014001793,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Olathe Northwest High School,,201014001793,21009,Robotics,0,0,0,0,0,0,0,0,0
Olathe South Sr High,,201014001602,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Olathe South Sr High,,201014001602,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Olathe East Sr High,,201014000040,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Olathe East Sr High,,201014000040,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Southeast High,,200471000188,21009,Robotics,0,0,0,0,0,0,0,0,0
Pittsburg High,,201071000208,21009,Robotics,0,0,0,0,0,0,0,0,0
