school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Abilene High School,KS-D0435-6476,200318001063,10152,Computer Programming I (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Abilene High School,KS-D0435-6476,200318001063,10152,Computer Programming II (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover Central High School,KS-D0385-5186,200336001567,10152,VB Programming 1 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover Central High School,KS-D0385-5186,200336001567,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover Central High School,KS-D0385-5186,200336001567,10152,VB Programming 1 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,KS-D0385-5180,200336000860,10152,VB Programming 1 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,KS-D0385-5180,200336000860,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,KS-D0385-5180,200336000860,10152,VB Programming 1 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arkansas City High,KS-D0470-7456,200345001241,10152,Computer Science Essentials (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arkansas City High,KS-D0470-7456,200345001241,10156,Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arkansas City High,KS-D0470-7456,200345001241,31001,Intro to Computer Coding (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arkansas City High,KS-D0470-7456,200345001241,60002,PLTW Computer Science 7 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baldwin High School,KS-D0348-4142,200372000704,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baldwin High School,KS-D0348-4142,200372000704,10152,Computer Programming A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Academy,KS-D0229-7789,unspecified,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Academy,KS-D0229-7789,unspecified,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley High,KS-D0229-0770,201200000112,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley High,KS-D0229-0770,201200000112,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley North High,KS-D0229-0769,201200001644,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley North High,KS-D0229-0769,201200001644,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Northwest High,KS-D0229-7774,201200000541,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Northwest High,KS-D0229-7774,201200000541,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Southwest High School,KS-D0229-0820,201200001990,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley Southwest High School,KS-D0229-0820,201200001990,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley West High,KS-D0229-7777,201200001533,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blue Valley West High,KS-D0229-7777,201200001533,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campus High Haysville,KS-D0261-1956,200705000362,10152,Basic Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campus High Haysville,KS-D0261-1956,200705000362,10156,Advanced Programming Languages (C++)-H (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campus High Haysville,KS-D0261-1956,200705000362,31098,Advanced Programming Languages (Java)-H (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campus High Haysville,KS-D0261-1956,200705000362,10157,AP Computer Science A-H (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campus High Haysville,KS-D0261-1956,200705000362,10152,Basic Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Capital City,KS-D0501-8552,201226001471,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Capital City,KS-D0501-8552,201226001471,31094,AP Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Capital City,KS-D0501-8552,201226001471,31001,Intro to Computer Coding (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Academic Achievement,KS-D0512-8803,unspecified,10152,INTRCOMPPRO (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Academic Achievement,KS-D0512-8803,unspecified,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Academic Achievement,KS-D0512-8803,unspecified,31098,Computer Science PLE (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Academic Achievement,KS-D0512-8803,unspecified,31094,Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Academic Achievement,KS-D0512-8803,unspecified,10152,INTRCOMPPRO (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Advanced Professional Studies,KS-D0229-0821,unspecified,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Advanced Professional Studies,KS-D0229-0821,unspecified,10157,Honors Java Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Central Heights High,KS-D0288-2584,200001400453,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Central Heights High,KS-D0288-2584,200001400453,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Central Heights High,KS-D0288-2584,200001400453,10156,Computer Programming Other Languages (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chanute High,KS-D0413-5882,200459000973,10152,AP Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chanute High,KS-D0413-5882,200459000973,10002,Computer Science Discoveries (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chapman High,KS-D0473-7542,200462001249,10152,Computer Programming-2 (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Clay Center Community High,KS-D0379-4976,200489000824,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Clearwater High,KS-D0264-2014,200492000378,10152,Comp Prog_1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colby Senior High,KS-D0315-3294,200501000573,10152,Computer Programming A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
De Soto  High  School,KS-D0232-0832,200549000127,10157,AP Computer Science A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
De Soto  High  School,KS-D0232-0832,200549000127,31094,AP Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Derby High School,KS-D0260-1942,200546000361,10152,Computer Science Essentials (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Derby High School,KS-D0260-1942,200546000361,10157,AP Computer Science (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Derby High School,KS-D0260-1942,200546000361,31094,AP Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Derby High School,KS-D0260-1942,200546000361,10156,Computer Programming - Other Lang (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Derby High School,KS-D0260-1942,200546000361,10152,Computer Science Essentials (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dodge City High School,KS-D0443-6686,200558001095,10152,Animation Fundamentals (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dodge City High School,KS-D0443-6686,200558001095,10054,Data System/Processing (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,10156,Advanced Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,10157,Computer Science Applications (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,31094,Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East High,KS-D0259-1836,201299000344,41010,Introduction to Computer Science (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eisenhower High School,KS-D0265-2073,200654002052,10152,Computer Programming I (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eisenhower High School,KS-D0265-2073,200654002052,31094,AP Computer Science Principles (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eisenhower High School,KS-D0265-2073,200654002052,10152,Computer Programming I (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
El Dorado High,KS-D0490-8002,200573001333,10152,Computer Programming A (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,10152,Computer Programming (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,10152,Computer Programming (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,10157,Computer Science A AP (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,41010,Computer Science Essentials (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,31094,Computer Science Principles AP (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
F L Schlagle High,KS-D0500-8329,200795001425,10054,Data Systems/Processing (1 of 1),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Frederic Remington High,KS-D0206-0260,200624000042,10152,Computer Programming (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Garden City High School,KS-D0457-7130,200639001175,10152,Computer Programming S1 (1 of 2),unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
