school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
EAST JESSAMINE HIGH SCHOOL,KY-057281000-057281021,210303001641,110202,C++ I,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
JESSAMINE CAREER AND TECHNOLOGY CENTER,KY-057281000-057281024,210303002028,110202,C++ I,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
JOHNSON CENTRAL HIGH SCHOOL,KY-058285000-058285115,210306000802,110202,C++ I,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Larry A. Ryle High School,KY-008035000-008035071,210051000011,110202,C++ I,unspecified,19,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WEST JESSAMINE HIGH SCHOOL,KY-057281000-057281019,210303001640,110202,C++ I,unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Boone County High School,KY-008035000-008035030,210051000081,110205,JAVA Programming I,unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Boyle County High School,KY-011051000-011051005,210063000120,110205,JAVA Programming I,unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bryan Station High School,KY-034165000-034165170,210186000388,110205,JAVA Programming I,unspecified,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CAMPBELL COUNTY HIGH SCHOOL,KY-019091000-019091100,210090000941,110205,JAVA Programming I,unspecified,61,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Conner High School,KY-008035000-008035045,210051000084,110205,JAVA Programming I,unspecified,16,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dupont Manual High,KY-056275000-056275200,210299000734,110205,JAVA Programming I,unspecified,129,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
EARLY COLLEGE AND CAREER CENTER,KY-047231000-047231070,210249002373,110205,JAVA Programming I,unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
