school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Adair County High School,,210003000001,110201,Inro to Programming,19,0,0,0,0,0,0,0,0
Adair County High School,,210003000001,110226,Project-Based Programming,10,0,0,0,0,0,0,0,0
Adair County High School,,210003000001,110701,AP Computer Science A,11,0,0,0,0,0,0,0,0
Adair County High School,,210003000001,110711,AP Computer Science Principles,5,0,0,0,0,0,0,0,0
Allen County-Scottsville High School,,210007000010,110201,Inro to Programming,30,0,0,0,0,0,0,0,0
Allen County-Scottsville High School,,210007000010,110701,AP Computer Science A,1,0,0,0,0,0,0,0,0
Allen County-Scottsville High School,,210007000010,110711,AP Computer Science Principles,8,0,0,0,0,0,0,0,0
Allen County-Scottsville High School,,210007000010,113602,Adv Game Dev and Publishing,9,0,0,0,0,0,0,0,0
Anderson County High School,,210012000016,110711,AP Computer Science Principles,33,0,0,0,0,0,0,0,0
Ashland Middle School,,210015000023,219918,Intro to Comp Science MS,285,0,0,0,0,0,0,0,0
Paul G. Blazer High School,,210015000022,110809,JavaScript,30,0,0,0,0,0,0,0,0
BALLARD COUNTY MIDDLE SCHOOL,,210021000035,219918,Intro to Comp Science MS,95,0,0,0,0,0,0,0,0
BALLARD MEMORIAL HIGH SCHOOL,,210021000036,110220,Object-Oriented Prog I,8,0,0,0,0,0,0,0,0
BALLARD MEMORIAL HIGH SCHOOL,,210021000036,110711,AP Computer Science Principles,7,0,0,0,0,0,0,0,0
BALLARD MEMORIAL HIGH SCHOOL,,210021000036,110809,JavaScript,7,0,0,0,0,0,0,0,0
Barbourville City School,,210024001969,110711,AP Computer Science Principles,30,0,0,0,0,0,0,0,0
Bardstown High School,,210027000045,110711,AP Computer Science Principles,3,0,0,0,0,0,0,0,0
Bardstown High School,,210027000045,110918,Computer Science Co-op,1,0,0,0,0,0,0,0,0
BARREN COUNTY HIGH SCHOOL,,210030000048,110201,Inro to Programming,1,0,0,0,0,0,0,0,0
BARREN COUNTY HIGH SCHOOL,,210030000048,110701,AP Computer Science A,2,0,0,0,0,0,0,0,0
BARREN COUNTY HIGH SCHOOL,,210030000048,110710,Intro to Computer Science,19,0,0,0,0,0,0,0,0
BARREN COUNTY HIGH SCHOOL,,210030000048,110711,AP Computer Science Principles,10,0,0,0,0,0,0,0,0
BARREN COUNTY HIGH SCHOOL,,210030000048,110919,Computer Science Internship,5,0,0,0,0,0,0,0,0
BARREN COUNTY MIDDLE SCHOOL,,210030000607,219918,Intro to Comp Science MS,23,0,0,0,0,0,0,0,0
BAVEL,,210030001970,110225,Computer Science,3,0,0,0,0,0,0,0,0
BAVEL,,210030001970,110710,Intro to Computer Science,6,0,0,0,0,0,0,0,0
COLLEGE STREET CAMPUS,,210030001303,110225,Computer Science,1,0,0,0,0,0,0,0,0
BATH COUNTY HIGH SCHOOL,,210033000057,110201,Inro to Programming,19,0,0,0,0,0,0,0,0
BATH COUNTY HIGH SCHOOL,,210033000057,110220,Object-Oriented Prog I,8,0,0,0,0,0,0,0,0
BATH COUNTY HIGH SCHOOL,,210033000057,110701,AP Computer Science A,4,0,0,0,0,0,0,0,0
BATH COUNTY HIGH SCHOOL,,210033000057,113602,Adv Game Dev and Publishing,17,0,0,0,0,0,0,0,0
BEECHWOOD HIGH SCHOOL,,210036000060,110220,Object-Oriented Prog I,2,0,0,0,0,0,0,0,0
BEECHWOOD HIGH SCHOOL,,210036000060,110701,AP Computer Science A,1,0,0,0,0,0,0,0,0
BEECHWOOD HIGH SCHOOL,,210036000060,110710,Intro to Computer Science,34,0,0,0,0,0,0,0,0
BEECHWOOD HIGH SCHOOL,,210036000060,110711,AP Computer Science Principles,25,0,0,0,0,0,0,0,0
BEREA COMMUNITY HIGH SCHOOL,,210048000078,110711,AP Computer Science Principles,7,0,0,0,0,0,0,0,0
BEREA COMMUNITY HIGH SCHOOL,,210048000078,110752,ST: Computer Science,1,0,0,0,0,0,0,0,0
