Course Code,Course Name,District Code,District Name ,School Code,School Name,Section,Progrmming Included,Total Enrollment
10011,Computer Science Principles,00350000,Boston,00350545,Boston Latin Academy,C73-002,Y,26
10011,Computer Science Principles,00350000,Boston,00350545,Boston Latin Academy,C73-001,Y,28
10011,Computer Science Principles,00350000,Boston,00350575,O'Bryant School Math/Science,C73-01,Y,25
10011,Computer Science Principles,00350000,Boston,00350581,Community Academy of Science and Health,C73-001,Y,11
10011,Computer Science Principles,00500000,Canton,00500505,Canton High,0380-01,Y,20
10011,Computer Science Principles,00500000,Canton,00500505,Canton High,0380-02,Y,21
10011,Computer Science Principles,01370000,Holyoke,01370505,Holyoke High,21028,Y,20
10011,Computer Science Principles,01640000,Lynnfield,01640505,Lynnfield High,0663/01,Y,15
10011,Computer Science Principles,01990000,Needham,01990505,Needham High,2488-1,Y,9
10011,Computer Science Principles,02460000,Reading,02460505,Reading Memorial High,0579/01,Y,19
10011,Computer Science Principles,02810000,Springfield,02810550,Springfield Public Day High School,604-1022004511-9C,Y,8
10011,Computer Science Principles,02810000,Springfield,02810550,Springfield Public Day High School,604-1022004511-T2,Y,9
10011,Computer Science Principles,02910000,Swampscott,02910505,Swampscott High,562.1-02,Y,12
10011,Computer Science Principles,02910000,Swampscott,02910505,Swampscott High,562.1-01,Y,19
10011,Computer Science Principles,03230000,West Bridgewater,03230505,West Bridgewater Junior/Senior,519-03,Y,*
10011,Computer Science Principles,03230000,West Bridgewater,03230505,West Bridgewater Junior/Senior,519-01,Y,6
10011,Computer Science Principles,03230000,West Bridgewater,03230505,West Bridgewater Junior/Senior,519-02,Y,14
10011,Computer Science Principles,03360000,Weymouth,03360505,Weymouth High School,H16369-001,Y,*
10011,Computer Science Principles,03430000,Winchendon,03430515,Murdock High School,21563,Y,13
10011,Computer Science Principles,04360000,Community Charter School of Cambridge (District),04360305,Community Charter School of Cambridge,CompSciAP-2,Y,12
10011,Computer Science Principles,04360000,Community Charter School of Cambridge (District),04360305,Community Charter School of Cambridge,CompSciAP-1,Y,17
10011,Computer Science Principles,04830000,Rising Tide Charter Public (District),04830305,Rising Tide Charter Public School,23020,Y,17
