school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Abington High,MA-0001-00010505,250165000001,10152,Computer Programming,unspecified,6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Agawam High,MA-0005-00050505,250180000024,10152,Computer Programming,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Agawam High,MA-0005-00050505,250180000024,10154,C++ Programming,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Amesbury High,MA-0007-00070505,250186000034,10152,Computer Programming,unspecified,60,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Amesbury High,MA-0007-00070505,250186000034,10205,Computer Gaming and Design,unspecified,39,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Amesbury Innovation High School,MA-0007-00070515,250186002841,10152,Computer Programming,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,MA-0009-00090505,250195000045,10152,Computer Programming,unspecified,204,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,MA-0009-00090505,250195000045,10158,AP Computer Science A,unspecified,39,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Andover High,MA-0009-00090505,250195000045,10205,Computer Gaming and Design,unspecified,25,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ottoson Middle,MA-0010-00100410,250198000063,10012,Exploring Computer Science,unspecified,47,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High,MA-0010-00100505,250198000053,10012,Exploring Computer Science,unspecified,45,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High,MA-0010-00100505,250198000053,10152,Computer Programming,unspecified,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High,MA-0010-00100505,250198000053,10158,AP Computer Science A,unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ashland High,MA-0014-00140505,250210000070,10158,AP Computer Science A,unspecified,26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Attleboro High,MA-0016-00160505,250219000084,10155,JAVA Programming,unspecified,44,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Attleboro High,MA-0016-00160505,250219000084,10158,AP Computer Science A,unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Attleboro Community Academy,MA-0016-00160515,250219002831,10155,JAVA Programming,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High,MA-0017-00170505,250222000100,10152,Computer Programming,unspecified,29,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High,MA-0017-00170505,250222000100,10155,JAVA Programming,unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High,MA-0017-00170505,250222000100,10158,AP Computer Science A,unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Barnstable High,MA-0020-00200505,250231000116,10155,JAVA Programming,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Barnstable High,MA-0020-00200505,250231000116,10158,AP Computer Science A,unspecified,21,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Barnstable High,MA-0020-00200505,250231000116,10205,Computer Gaming and Design,unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bedford High,MA-0023-00230505,250240000128,10152,Computer Programming,unspecified,35,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bedford High,MA-0023-00230505,250240000128,10155,JAVA Programming,unspecified,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bedford High,MA-0023-00230505,250240000128,10158,AP Computer Science A,unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belchertown High,MA-0024-00240505,250243000134,10011,Computer Science Principles,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belchertown High,MA-0024-00240505,250243000134,10012,Exploring Computer Science,unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belchertown High,MA-0024-00240505,250243000134,10158,AP Computer Science A,unspecified,32,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belmont High,MA-0026-00260505,250249000143,10011,Computer Science Principles,unspecified,71,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belmont High,MA-0026-00260505,250249000143,10152,Computer Programming,unspecified,47,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Beverly High,MA-0030-00300505,250264000164,10152,Computer Programming,unspecified,35,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Beverly High,MA-0030-00300505,250264000164,10158,AP Computer Science A,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Billerica Memorial High School,MA-0031-00310505,250267000177,10152,Computer Programming,unspecified,42,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Billerica Memorial High School,MA-0031-00310505,250267000177,10158,AP Computer Science A,unspecified,6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brighton High,MA-0035-00350505,250279000208,10012,Exploring Computer Science,unspecified,26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Boston International High School,MA-0035-00350507,250279002015,10012,Exploring Computer Science,unspecified,37,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Excel High School,MA-0035-00350522,250279002016,10012,Exploring Computer Science,unspecified,26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Another Course To College,MA-0035-00350541,250279000698,10012,Exploring Computer Science,unspecified,27,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
New Mission High School,MA-0035-00350542,250279000704,10012,Exploring Computer Science,unspecified,52,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
