school_name,state_school_id,nces_id,course_id,course_name
Abington High,MA-0001-00010505,250165000001,10152,Computer Programming
Agawam High,MA-0005-00050505,250180000024,10019,AP Computer Science Principles
Agawam High,MA-0005-00050505,250180000024,10152,Computer Programming
Agawam High,MA-0005-00050505,250180000024,10154,C++ Programming
Amesbury High,MA-0007-00070505,250186000034,10152,Computer Programming
Amesbury High,MA-0007-00070505,250186000034,10205,Computer Gaming and Design
Andover High,MA-0009-00090505,250195000045,10152,Computer Programming
Andover High,MA-0009-00090505,250195000045,10158,AP Computer Science A
Andover High,MA-0009-00090505,250195000045,10205,Computer Gaming and Design
Arlington High,MA-0010-00100505,250198000053,10012,Exploring Computer Science
Arlington High,MA-0010-00100505,250198000053,10158,AP Computer Science A
Ashland High,MA-0014-00140505,250210000070,10158,AP Computer Science A
Attleboro High,MA-0016-00160505,250219000084,10155,JAVA Programming
Attleboro High,MA-0016-00160505,250219000084,10158,AP Computer Science A
Auburn Senior High,MA-0017-00170505,250222000100,10152,Computer Programming
Auburn Senior High,MA-0017-00170505,250222000100,10154,C++ Programming
Auburn Senior High,MA-0017-00170505,250222000100,10155,JAVA Programming
Auburn Senior High,MA-0017-00170505,250222000100,10158,AP Computer Science A
Avon Middle High School,MA-0018-00180510,250225001295,10152,Computer Programming
Barnstable High,MA-0020-00200505,250231000116,10013,PLTW Introduction to Computer Science
Barnstable High,MA-0020-00200505,250231000116,10158,AP Computer Science A
Bedford High,MA-0023-00230505,250240000128,10152,Computer Programming
Bedford High,MA-0023-00230505,250240000128,10158,AP Computer Science A
Belchertown High,MA-0024-00240505,250243000134,10012,Exploring Computer Science
Belchertown High,MA-0024-00240505,250243000134,10158,AP Computer Science A
Belmont High,MA-0026-00260505,250249000143,10011,Computer Science Principles
Belmont High,MA-0026-00260505,250249000143,10152,Computer Programming
Beverly High,MA-0030-00300505,250264000164,10152,Computer Programming
Beverly High,MA-0030-00300505,250264000164,10158,AP Computer Science A
Billerica Memorial High School,MA-0031-00310505,250267000177,10015,PLTW Computer Science and Software Engineering
Billerica Memorial High School,MA-0031-00310505,250267000177,10158,AP Computer Science A
Dearborn,MA-0035-00350074,250279000222,10205,Computer Gaming and Design
Boston International High School,MA-0035-00350507,250279002015,10158,AP Computer Science A
Excel High School,MA-0035-00350522,250279002016,10158,AP Computer Science A
Jeremiah E Burke High,MA-0035-00350525,250279000261,10011,Computer Science Principles
East Boston High,MA-0035-00350530,250279000226,10011,Computer Science Principles
East Boston High,MA-0035-00350530,250279000226,10158,AP Computer Science A
The English High,MA-0035-00350535,250279000327,10158,AP Computer Science A
Madison Park High,MA-0035-00350537,250279000282,10019,AP Computer Science Principles
Boston Latin Academy,MA-0035-00350545,250279000204,10019,AP Computer Science Principles
Boston Latin,MA-0035-00350560,250279000203,10019,AP Computer Science Principles
Boston Latin,MA-0035-00350560,250279000203,10158,AP Computer Science A
O'Bryant School Math/Science,MA-0035-00350575,250279000205,10011,Computer Science Principles
O'Bryant School Math/Science,MA-0035-00350575,250279000205,10019,AP Computer Science Principles
Community Academy of Science and Health,MA-0035-00350581,250279001902,10019,AP Computer Science Principles
TechBoston Academy,MA-0035-00350657,250279002725,10019,AP Computer Science Principles
Braintree High,MA-0040-00400505,250294000361,10152,Computer Programming
Braintree High,MA-0040-00400505,250294000361,10158,AP Computer Science A
Brockton High,MA-0044-00440505,250309000385,10011,Computer Science Principles
Brockton High,MA-0044-00440505,250309000385,10156,Computer Programming-Other Language
Brookline High,MA-0046-00460505,250315000415,10152,Computer Programming
Brookline High,MA-0046-00460505,250315000415,10158,AP Computer Science A
Burlington High,MA-0048-00480505,250324000426,10011,Computer Science Principles
Burlington High,MA-0048-00480505,250324000426,10012,Exploring Computer Science
Burlington High,MA-0048-00480505,250324000426,10019,AP Computer Science Principles
Burlington High,MA-0048-00480505,250324000426,10154,C++ Programming
Burlington High,MA-0048-00480505,250324000426,10158,AP Computer Science A
Cambridge Rindge and Latin,MA-0049-00490506,250327000436,10019,AP Computer Science Principles
Cambridge Rindge and Latin,MA-0049-00490506,250327000436,10152,Computer Programming
Cambridge Rindge and Latin,MA-0049-00490506,250327000436,10158,AP Computer Science A
Canton High,MA-0050-00500505,250330000451,10011,Computer Science Principles
Chelmsford High,MA-0056-00560505,250351000475,10015,PLTW Computer Science and Software Engineering
Chelmsford High,MA-0056-00560505,250351000475,10152,Computer Programming
Chelmsford High,MA-0056-00560505,250351000475,10158,AP Computer Science A
Chelsea High,MA-0057-00570505,250354000482,10011,Computer Science Principles
Chelsea High,MA-0057-00570505,250354000482,10012,Exploring Computer Science
Chicopee High,MA-0061-00610505,250366000496,10019,AP Computer Science Principles
Chicopee High,MA-0061-00610505,250366000496,10155,JAVA Programming
Chicopee Comprehensive High School,MA-0061-00610510,250366000495,10012,Exploring Computer Science
Chicopee Comprehensive High School,MA-0061-00610510,250366000495,10019,AP Computer Science Principles
Cohasset Middle/High School,MA-0065-00650505,250378000518,10155,JAVA Programming
Danvers High,MA-0071-00710505,250399000529,10012,Exploring Computer Science
Danvers High,MA-0071-00710505,250399000529,10158,AP Computer Science A
Dartmouth High,MA-0072-00720505,250402000540,10153,VISUAL BASIC Programming
Dartmouth High,MA-0072-00720505,250402000540,10158,AP Computer Science A
Dedham High,MA-0073-00730505,250405000548,10012,Exploring Computer Science
Dedham High,MA-0073-00730505,250405000548,10019,AP Computer Science Principles
Dedham High,MA-0073-00730505,250405000548,10158,AP Computer Science A
Dedham High,MA-0073-00730505,250405000548,10205,Computer Gaming and Design
Douglas High School,MA-0077-00770505,250423000570,10152,Computer Programming
Douglas High School,MA-0077-00770505,250423000570,10153,VISUAL BASIC Programming
Douglas High School,MA-0077-00770505,250423000570,10154,C++ Programming
Dracut Senior High,MA-0079-00790505,250432000579,10152,Computer Programming
Duxbury High,MA-0082-00820505,250441000594,10154,C++ Programming
Duxbury High,MA-0082-00820505,250441000594,10158,AP Computer Science A
Easthampton High,MA-0086-00860505,250459000612,10012,Exploring Computer Science
East Longmeadow High,MA-0087-00870505,250450000603,10153,VISUAL BASIC Programming
East Longmeadow High,MA-0087-00870505,250450000603,10158,AP Computer Science A
Oliver Ames High,MA-0088-00880505,250462000623,10158,AP Computer Science A
Everett High,MA-0093-00930505,250477000634,10012,Exploring Computer Science
Everett High,MA-0093-00930505,250477000634,10158,AP Computer Science A
Fairhaven High,MA-0094-00940505,250480000642,10011,Computer Science Principles
Fairhaven High,MA-0094-00940505,250480000642,10152,Computer Programming
B M C Durfee High,MA-0095-00950505,250483000649,10158,AP Computer Science A
Falmouth High,MA-0096-00960505,250486000686,10012,Exploring Computer Science
Falmouth High,MA-0096-00960505,250486000686,10152,Computer Programming
Falmouth High,MA-0096-00960505,250486000686,10155,JAVA Programming
Fitchburg High,MA-0097-00970505,250489000697,10011,Computer Science Principles
Foxborough High,MA-0099-00990505,250495000708,10155,JAVA Programming
Framingham High School,MA-0100-01000515,250498002573,10011,Computer Science Principles
Framingham High School,MA-0100-01000515,250498002573,10152,Computer Programming
Framingham High School,MA-0100-01000515,250498002573,10154,C++ Programming
Framingham High School,MA-0100-01000515,250498002573,10158,AP Computer Science A
Franklin High,MA-0101-01010505,250501000737,10158,AP Computer Science A
Georgetown High School,MA-0105-01050505,250522000764,10156,Computer Programming-Other Language
Gloucester High,MA-0107-01070505,250528000774,10152,Computer Programming
Gloucester High,MA-0107-01070505,250528000774,10158,AP Computer Science A
Grafton High School,MA-0110-01100505,250537000786,10152,Computer Programming
Grafton High School,MA-0110-01100505,250537000786,10158,AP Computer Science A
Granby Jr Sr High School,MA-0111-01110505,250540000790,10012,Exploring Computer Science
Granby Jr Sr High School,MA-0111-01110505,250540000790,10019,AP Computer Science Principles
Greenfield High,MA-0114-01140505,250549000801,10152,Computer Programming
Hopkins Academy,MA-0117-01170505,250558000813,10019,AP Computer Science Principles
Hopkins Academy,MA-0117-01170505,250558000813,10155,JAVA Programming
Hopkins Academy,MA-0117-01170505,250558000813,10158,AP Computer Science A
Hanover High,MA-0122-01220505,250579000829,10152,Computer Programming
Bromfield,MA-0125-01250505,250588000838,10155,JAVA Programming
Bromfield,MA-0125-01250505,250588000838,10156,Computer Programming-Other Language
Haverhill High,MA-0128-01280505,250597000856,10152,Computer Programming
Haverhill High,MA-0128-01280505,250597000856,10158,AP Computer Science A
Hingham High,MA-0131-01310505,250609000872,10152,Computer Programming
Holbrook Middle High School,MA-0133-01330505,250615000878,10012,Exploring Computer Science
Holliston High,MA-0136-01360505,250624000894,10152,Computer Programming
Holliston High,MA-0136-01360505,250624000894,10155,JAVA Programming
Holliston High,MA-0136-01360505,250624000894,10158,AP Computer Science A
Hopedale Jr Sr High,MA-0138-01380505,250630000915,10013,PLTW Introduction to Computer Science
Hopedale Jr Sr High,MA-0138-01380505,250630000915,10155,JAVA Programming
Hopedale Jr Sr High,MA-0138-01380505,250630000915,10158,AP Computer Science A
Hopedale Jr Sr High,MA-0138-01380505,250630000915,10205,Computer Gaming and Design
Hopkinton High,MA-0139-01390505,250633000920,10019,AP Computer Science Principles
Hopkinton High,MA-0139-01390505,250633000920,10158,AP Computer Science A
David J. Quinn Middle School,MA-0141-01410410,250639000927,60026,PLTW App Creators
David J. Quinn Middle School,MA-0141-01410410,250639000927,60027,PLTW Computer Science for Innovators and Makers
Hudson High,MA-0141-01410505,250639000926,10152,Computer Programming
Ipswich High,MA-0144-01440505,250648000935,10152,Computer Programming
Ipswich High,MA-0144-01440505,250648000935,10158,AP Computer Science A
Lawrence High School,MA-0149-01490515,250666002856,10011,Computer Science Principles
Lawrence High School,MA-0149-01490515,250666002856,10013,PLTW Introduction to Computer Science
Lawrence High School,MA-0149-01490515,250666002856,10152,Computer Programming
Lawrence High School,MA-0149-01490515,250666002856,10154,C++ Programming
Lawrence High School,MA-0149-01490515,250666002856,10158,AP Computer Science A
Lee Middle/High School,MA-0150-01500505,250669000970,10152,Computer Programming
Leicester High,MA-0151-01510505,250672000972,10011,Computer Science Principles
Leicester High,MA-0151-01510505,250672000972,10155,JAVA Programming
Leicester High,MA-0151-01510505,250672000972,10158,AP Computer Science A
Lenox Memorial High,MA-0152-01520505,250675000978,10012,Exploring Computer Science
Leominster High School,MA-0153-01530505,250678000987,10158,AP Computer Science A
Lexington High,MA-0155-01550505,250684001001,10152,Computer Programming
Lexington High,MA-0155-01550505,250684001001,10158,AP Computer Science A
Littleton High School,MA-0158-01580505,250696001012,10155,JAVA Programming
Littleton High School,MA-0158-01580505,250696001012,10158,AP Computer Science A
Longmeadow High,MA-0159-01590505,250699001020,10152,Computer Programming
Longmeadow High,MA-0159-01590505,250699001020,10158,AP Computer Science A
Lowell High,MA-0160-01600505,250702001041,10153,VISUAL BASIC Programming
Lowell High,MA-0160-01600505,250702001041,10155,JAVA Programming
Lunenburg High,MA-0162-01620505,250708001058,10152,Computer Programming
Lynnfield High,MA-0164-01640505,250714001090,10011,Computer Science Principles
Malden High,MA-0165-01650505,250717001106,10152,Computer Programming
Malden High,MA-0165-01650505,250717001106,10155,JAVA Programming
Mansfield High,MA-0167-01670505,250723001114,10019,AP Computer Science Principles
Mansfield High,MA-0167-01670505,250723001114,10153,VISUAL BASIC Programming
Marlborough High,MA-0170-01700505,250732001133,10155,JAVA Programming
Marshfield High,MA-0171-01710505,250735001142,10152,Computer Programming
