school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Fort Hill High,MD-01-010405,240003000015,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Fort Hill High,MD-01-010405,240003000015,"10,019.00",AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Fort Hill High,MD-01-010405,240003000015,"10,152.00",Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Career & Technical Education,MD-01-010601,240003000030,"10,152.00",Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Allegany High,MD-01-010606,240003000001,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Allegany High,MD-01-010606,240003000001,"10,019.00",AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Mountain Ridge High School,MD-01-012404,240003001636,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Mountain Ridge High School,MD-01-012404,240003001636,"10,019.00",AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Mountain Ridge High School,MD-01-012404,240003001636,"10,152.00",Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Glen Burnie High,MD-02-021033,240006000075,"10,153.00",Visual Basic (VB) Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Glen Burnie High,MD-02-021033,240006000075,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Glen Burnie High,MD-02-021033,240006000075,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North County High,MD-02-021323,240006090441,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North County High,MD-02-021323,240006090441,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Severna Park High,MD-02-022013,240006000127,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northeast High,MD-02-022023,240006000103,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chesapeake High,MD-03-031574,240012000362,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chesapeake High,MD-03-031574,240012000362,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chesapeake High,MD-03-031574,240012000362,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Broadneck High,MD-02-022363,240006001402,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Broadneck High,MD-02-022363,240006001402,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arundel High,MD-02-023013,240006000040,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arundel High,MD-02-023013,240006000040,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arundel High,MD-02-023013,240006000040,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Meade High,MD-02-023323,240006000099,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Annapolis High,MD-02-024013,240006000037,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Southern High,MD-02-024023,240006000132,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South River High,MD-02-024293,240006000055,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South River High,MD-02-024293,240006000055,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Southwest Academy,MD-03-030155,240012000411,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodlawn High Center for Pre-Eng. Res.,MD-03-030172,240012000502,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodlawn High Center for Pre-Eng. Res.,MD-03-030172,240012000502,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodlawn High Center for Pre-Eng. Res.,MD-03-030172,240012000502,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Catonsville High,MD-03-030174,240012000355,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Catonsville High,MD-03-030174,240012000355,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Western School of Technology & Env. Science,MD-03-030175,240012000248,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Western School of Technology & Env. Science,MD-03-030175,240012000248,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Western School of Technology & Env. Science,MD-03-030175,240012000248,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northwest Academy of Health Sciences,MD-03-030252,240012001431,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Deer Park Middle Magnet School,MD-03-030254,240012000372,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Milford Mill Academy,MD-03-030271,240012000432,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Milford Mill Academy,MD-03-030271,240012000432,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Milford Mill Academy,MD-03-030271,240012000432,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Pikesville High,MD-03-030371,240012000449,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Pikesville High,MD-03-030371,240012000449,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Franklin Middle,MD-03-030451,240012000389,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Owings Mills High,MD-03-030452,240012001347,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Owings Mills High,MD-03-030452,240012001347,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Owings Mills High,MD-03-030452,240012001347,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Franklin High,MD-03-030472,240012000390,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Franklin High,MD-03-030472,240012000390,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
New Town High,MD-03-030473,240012001547,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
New Town High,MD-03-030473,240012001547,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
New Town High,MD-03-030473,240012001547,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hereford High,MD-03-030772,240012001432,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hereford High,MD-03-030772,240012001432,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hereford High,MD-03-030772,240012001432,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dulaney High,MD-03-030872,240012000373,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dulaney High,MD-03-030872,240012000373,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dulaney High,MD-03-030872,240012000373,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dumbarton Middle,MD-03-030953,240012000374,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Towson High Law & Public Policy,MD-03-030971,240012000487,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Towson High Law & Public Policy,MD-03-030971,240012000487,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Parkville High & Center for Math/Science,MD-03-030972,240012000443,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Parkville High & Center for Math/Science,MD-03-030972,240012000443,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Parkville High & Center for Math/Science,MD-03-030972,240012000443,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Loch Raven High,MD-03-030973,240012000420,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Loch Raven High,MD-03-030973,240012000420,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Loch Raven High,MD-03-030973,240012000420,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George W. Carver Center for Arts & Technology,MD-03-030975,240012000230,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George W. Carver Center for Arts & Technology,MD-03-030975,240012000230,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George W. Carver Center for Arts & Technology,MD-03-030975,240012000230,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Perry Hall Middle,MD-03-031151,240012000447,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Perry Hall High,MD-03-031171,240012000446,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Perry Hall High,MD-03-031171,240012000446,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Perry Hall High,MD-03-031171,240012000446,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Patapsco High & Center for Arts,MD-03-031272,240012000444,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Patapsco High & Center for Arts,MD-03-031272,240012000444,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dundalk High,MD-03-031273,240012000377,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dundalk High,MD-03-031273,240012000377,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dundalk High,MD-03-031273,240012000377,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lansdowne High & Academy of Finance,MD-03-031371,240012000416,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lansdowne High & Academy of Finance,MD-03-031371,240012000416,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Overlea High & Academy of Finance,MD-03-031473,240012000438,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Overlea High & Academy of Finance,MD-03-031473,240012000438,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Stemmers Run Middle,MD-03-031554,240012000478,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Middle River Middle,MD-03-031556,240012001440,"10,012.00",Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Kenwood High IB and Sports Science,MD-03-031572,240012000412,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Kenwood High IB and Sports Science,MD-03-031572,240012000412,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Kenwood High IB and Sports Science,MD-03-031572,240012000412,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sparrows Point High,MD-03-031573,240012000477,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sparrows Point High,MD-03-031573,240012000477,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sparrows Point High,MD-03-031573,240012000477,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chesapeake High,MD-03-031574,240012000362,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chesapeake High,MD-03-031574,240012000362,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eastern Technical High School,MD-03-031575,240012000379,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eastern Technical High School,MD-03-031575,240012000379,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eastern Technical High School,MD-03-031575,240012000379,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Patuxent High,MD-04-040113,240015000611,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Patuxent High,MD-04-040113,240015000611,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Calvert High,MD-04-040213,240015000508,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Calvert High,MD-04-040213,240015000508,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Huntingtown High School,MD-04-040217,240015001342,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Huntingtown High School,MD-04-040217,240015001342,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Huntingtown High School,MD-04-040217,240015001342,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northern High,MD-04-040314,240015000516,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northern High,MD-04-040314,240015000516,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Calvert County Alternative School,MD-04-040500,240015001344,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lockerman Middle School,MD-05-050302,240018000526,"10,152.00",Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Caroline High School,MD-05-050703,240018000523,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Caroline High School,MD-05-050703,240018000523,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Caroline High School,MD-05-050703,240018000523,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colonel Richardson High School,MD-05-050801,240018000518,"10,970.00",CTE- Foundations of Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colonel Richardson High School,MD-05-050801,240018000518,"10,972.00",CTE - AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colonel Richardson High School,MD-05-050801,240018000518,"10,973.00",CTE - AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colonel Richardson Middle School,MD-05-050802,240018000519,"10,152.00",Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
