school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Fort Hill High,,240003000015,10012,Exploring Computer Science,107,41,0,0,0,0,51,0,0
Fort Hill High,,240003000015,10019,AP Computer Science Principles,17,0,0,0,0,0,0,0,0
Fort Hill High,,240003000015,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Center for Career & Technical Education,,240003000030,10152,Computer Programming,11,0,0,0,0,0,0,0,0
Allegany High,,240003000001,10012,Exploring Computer Science,38,16,0,0,0,0,14,0,0
Allegany High,,240003000001,10019,AP Computer Science Principles,14,0,0,0,0,0,0,0,0
Allegany High,,240003000001,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Mountain Ridge High School,,240003001636,10012,Exploring Computer Science,101,46,0,0,0,0,55,0,0
Mountain Ridge High School,,240003001636,10019,AP Computer Science Principles,32,17,0,0,0,0,0,0,0
Mountain Ridge High School,,240003001636,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Glen Burnie High,,240006000075,10199,Computer Programming - Other,0,0,0,0,0,0,0,0,0
Glen Burnie High,,240006000075,10972,CTE - AP Computer Science Principles,19,0,0,0,0,0,0,0,0
Lindale Middle,,240006000087,10205,Computer Gaming and Design,65,0,18,0,0,0,42,10,0
North County High,,240006090441,10152,Computer Programming,13,0,0,0,0,0,0,0,0
North County High,,240006090441,10961,CTE - Java Fundamentals,30,0,0,0,0,0,11,0,0
North County High,,240006090441,10972,CTE - AP Computer Science Principles,203,93,52,38,0,0,69,11,0
North County High,,240006090441,10973,CTE - AP Computer Science A,50,14,0,0,0,0,10,0,0
Severna Park High,,240006000127,10972,CTE - AP Computer Science Principles,159,50,0,11,0,0,0,17,0
Severna Park High,,240006000127,10973,CTE - AP Computer Science A,38,0,0,0,0,0,0,0,0
Northeast High,,240006000103,10972,CTE - AP Computer Science Principles,31,14,0,0,0,0,0,0,0
Chesapeake High,,240012000362,10152,Computer Programming,31,0,0,0,0,0,0,0,0
Chesapeake High,,240012000362,10970,CTE- Foundations of Computer Science,121,38,0,11,0,0,16,26,0
Chesapeake High,,240012000362,10972,CTE - AP Computer Science Principles,30,0,0,0,0,0,0,0,0
Chesapeake High,,240012000362,10973,CTE - AP Computer Science A,14,0,0,0,0,0,0,0,0
Broadneck High,,240006001402,10152,Computer Programming,50,0,0,0,0,0,0,0,0
Broadneck High,,240006001402,10970,CTE- Foundations of Computer Science,206,63,17,18,0,0,24,22,0
Broadneck High,,240006001402,10972,CTE - AP Computer Science Principles,47,12,0,0,0,0,0,0,0
Broadneck High,,240006001402,10973,CTE - AP Computer Science A,16,0,0,0,0,0,0,0,0
Arundel High,,240006000040,10152,Computer Programming,23,0,0,0,0,0,0,0,0
Arundel High,,240006000040,10961,CTE - Java Fundamentals,32,0,0,0,0,0,0,0,0
