school_name,state_school_id,nces_id,course_id,course_name
WHITEHALL SENIOR HIGH SCHOOL,MI-61240-04510,263630007219,unspecified,unspecified
BERRIEN SPRINGS HIGH SCHOOL,MI-11240-00297,260543004199,unspecified,unspecified
CARROLLTON HIGH SCHOOL,MI-73030-00536,260807004379,unspecified,unspecified
MARINE CITY HIGH SCHOOL,MI-74050-02376,261242004941,unspecified,unspecified
MANTON CONSOLIDATED HIGH SCHOOL,MI-83060-02343,262250005966,unspecified,unspecified
MARQUETTE SENIOR HIGH SCHOOL,MI-52170-02389,260001303869,unspecified,unspecified
STEPHENSON HIGH SCHOOL,MI-55120-04065,263300006852,unspecified,unspecified
INTERNATIONAL ACADEMY OF FLINT (K-12),MI-25905-08732,260019501104,unspecified,unspecified
BEACON DAY TREATMENT CENTER,MI-82405-07777,263234001188,unspecified,unspecified
THREE RIVERS HIGH SCHOOL,MI-75080-04181,263384006930,unspecified,unspecified
ACADEMY OF SCIENCE MATH AND TECHNOLOGY EARLY COLLEGE HIGH SC,MI-53010-01355,262313008413,unspecified,unspecified
NEW LOTHROP HIGH SCHOOL,MI-78070-02685,262529006186,unspecified,unspecified
NEGAUNEE HIGH SCHOOL,MI-52090-02666,262502006179,unspecified,unspecified
HARTFORD HIGH SCHOOL,MI-80120-01598,261788005453,unspecified,unspecified
MARLETTE JR./SR. HIGH SCHOOL,MI-76140-02385,262286005980,unspecified,unspecified
CORNERSTONE HEALTH SCHOOL,MI-82741-01214,260103008322,unspecified,unspecified
PATHWAYS TO SUCCESS ACADEMIC CAMPUS,MI-81010-08680,260282001180,unspecified,unspecified
LIGHTHOUSE EDUCATION CENTER,MI-11000-05794,268016000465,unspecified,unspecified
ONTONAGON AREA SCHOOL,MI-66050-06170,262655006301,unspecified,unspecified
RIVERSIDE ACADEMY - WEST CAMPUS,MI-82975-09604,260029101941,unspecified,unspecified
EAST MIDDLE SCHOOL,MI-28010-07724,263387000001,unspecified,unspecified
BEAVER ISLAND COMMUNITY SCHOOL,MI-15010-00241,260435004123,unspecified,unspecified
