school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ROBERT J. ELKINGTON MIDDLE SCHOOL,,271317000939,10012,Exploring Computer Science,0,0,0,0,0,0,0,0,0
MOUNTAIN IRON-BUHL SECONDARY,,270000101613,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
KINGSLAND JUNIOR/SENIOR HIGH SCHOOL,,270000701469,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WATERVILLE-ELYSIAN-MORRISTOWN JR.,,270001301104,21009,Robotics,0,0,0,0,0,0,0,0,0
CHISAGO LAKES MIDDLE,,270001700351,10014,PLTW Computer Science Essentials,0,0,0,0,0,0,0,0,0
CHISAGO LAKES SENIOR HIGH,,270001700353,10152,Computer Programming,0,0,0,0,0,0,0,0,0
MINNEWASKA AREA WIN ACADEMY,,270001903600,10206,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
WADENA-DEER CREEK SENIOR HIGH,,270002201733,10206,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
BUFFALO LAKE-HECTOR SECONDARY,,270002300704,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
DAKOTA CTY. ALC,,270002602155,10206,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
DAKOTA CTY. ALC,,270002602155,21009,Robotics,0,0,0,0,0,0,0,0,0
MN RIVER VALLEY ALC-SEATBASED,,270005802245,21009,Robotics,0,0,0,0,0,0,0,0,0
LAKEVIEW SECONDARY,,270008800408,10152,Computer Programming,0,0,0,0,0,0,0,0,0
MURRAY COUNTY CENTRAL SECONDARY,,270009001449,10012,Exploring Computer Science,0,0,0,0,0,0,0,0,0
PACT CHARTER SECONDARY,,270009303030,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
