school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
CLEVELAND CENTRAL HIGH SCHOOL,MS-0614-0614009,280075001477,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,39,<=10,24,<=10,unspecified,unspecified,unspecified,unspecified,unspecified
ENTERPRISE HIGH SCHOOL,MS-1211-1211008,280144000211,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,85,43,12,<=10,unspecified,unspecified,unspecified,<=10,unspecified
FORREST COUNTY AGRICULTURAL HI SCH,MS-1802-1802004,280151000222,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,81,<=10,36,<=10,unspecified,unspecified,unspecified,19,unspecified
GREENE COUNTY HIGH SCHOOL,MS-2100-2100014,280159000232,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,68,28,13,<=10,unspecified,unspecified,unspecified,<=10,unspecified
GRENADA HIGH,MS-2220-2220004,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,96,27,33,<=10,unspecified,unspecified,unspecified,<=10,unspecified
GRENADA HIGH,MS-2220-2220004,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,50,11,27,unspecified,unspecified,unspecified,unspecified,<=10,unspecified
GRENADA HIGH,MS-2220-2220004,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,84,12,42,<=10,unspecified,unspecified,unspecified,<=10,unspecified
HANCOCK HIGH SCHOOL,MS-2300-2300008,280174001153,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,26,<=10,,<=10,unspecified,unspecified,unspecified,<=10,unspecified
LONG BEACH SENIOR HIGH SCHOOL,MS-2422-2422016,280267000520,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,51,<=10,<=10,<=10,unspecified,unspecified,unspecified,<=10,unspecified
GAUTIER HIGH SCHOOL,MS-3022-3022042,280348000935,000283,EXPLORING COMPUTER SCIENCE (CTE),unspecified,63,<=10,31,<=10,<=10,unspecified,unspecified,<=10,unspecified
