school_name,state_school_id,nces_id,course_id,course_name,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ROBERT LEWIS MAGNET SCHOOL,MS-0130-0130036,280303000604,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),48,91,,,,>=95%,11,
NATCHEZ EARLY COLLEGE@CO-LIN,MS-0130-0130043,280303001414,110141,AP COMPUTER SCIENCE A,53,97,,,,>=95%,10,*
NATCHEZ EARLY COLLEGE@CO-LIN,MS-0130-0130043,280303001414,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),59,103,*,,,>=95%,15,*
NATCHEZ EARLY COLLEGE@CO-LIN,MS-0130-0130043,280303001414,902154,DC - COMPUTER PROGRAMMING I,*,*,*,,,>=95%,,
KOSSUTH HIGH SCHOOL,MS-0200-0200024,280039000020,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,,,,>=95%,,
NORTHSIDE HIGH SCHOOL,MS-0617-0617010,280018601411,000283,EXPLORING COMPUTER SCIENCE (CTE),0,,,,,>=95%,,
SHAW HIGH SCHOOL,MS-0618-0618018,280018501419,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),14,*,,,,76.3%,*,
ENTERPRISE HIGH SCHOOL,MS-1211-1211008,280144000211,000283,EXPLORING COMPUTER SCIENCE (CTE),57,*,*,,,58.5%,17,*
ENTERPRISE HIGH SCHOOL,MS-1211-1211008,280144000211,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,57,*,*,,,58.5%,16,
QUITMAN HIGH SCHOOL,MS-1212-1212012,280378000725,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,,,,,49.0%,,
WEST POINT HIGH SCHOOL,MS-1321-1321020,280019101441,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),10,*,*,,,61.4%,,
LEWISBURG HIGH SCHOOL,MS-1700-1700062,280132001288,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,67,97,*,,,>=95%,*,*
FORREST COUNTY AGRICULTURAL HI SCH,MS-1802-1802004,280151000222,000283,EXPLORING COMPUTER SCIENCE (CTE),62,90,*,,*,>=95%,14,*
PETAL HIGH SCHOOL,MS-1821-1821006,280353001068,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,70,105,*,,,>=95%,12,*
FRANKLIN HIGH SCHOOL,MS-1900-1900010,280153000224,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,69,89,*,,,>=95%,10,
GEORGE COUNTY HIGH SCHOOL,MS-2000-2000012,280156000228,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),29,60,,,,>=95%,13,
GEORGE COUNTY HIGH SCHOOL,MS-2000-2000012,280156000228,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,31,65,,,,>=95%,10,
GREENE COUNTY HIGH SCHOOL,MS-2100-2100014,280159000232,000283,EXPLORING COMPUTER SCIENCE (CTE),14,*,*,,,71.6%,,
GRENADA HIGH,MS-2220-2220004,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),14,*,*,,,71.6%,*,*
GRENADA HIGH,MS-2220-2220004,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),42,26,*,,,71.6%,11,
HARRISON CENTRAL HIGH SCHOOL,MS-2400-2400016,280177000288,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),13,11,*,,,80.0%,*,
HARRISON CENTRAL HIGH SCHOOL,MS-2400-2400016,280177000288,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,,,,80.0%,*,
WEST HARRISON HIGH SCHOOL,MS-2400-2400055,280177001347,000283,EXPLORING COMPUTER SCIENCE (CTE),13,17,*,,,80.0%,*,
BILOXI HIGH SCHOOL,MS-2420-2420008,280063000053,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,,,,80.0%,,
GULFPORT HIGH SCHOOL,MS-2421-2421040,280171000276,902110,DC - PROGRAMMING IN PYTHON IST 1724,*,*,,,,80.0%,,
LONG BEACH SENIOR HIGH SCHOOL,MS-2422-2422016,280267000520,000283,EXPLORING COMPUTER SCIENCE (CTE),13,*,17,,,81.6%,*,10
PASS CHRISTIAN HIGH SCHOOL,MS-2423-2423012,280351000684,110141,AP COMPUTER SCIENCE A,22,*,17,,,76.9%,*,13
PASS CHRISTIAN HIGH SCHOOL,MS-2423-2423012,280351000684,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),29,26,*,,,74.6%,*,*
PASS CHRISTIAN HIGH SCHOOL,MS-2423-2423012,280351000684,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,*,,,,64.3%,,
TERRY HIGH SCHOOL,MS-2500-2500030,280186000902,232065,PLTW:COMPUTER SCIENCE PRINCIPLES (ACADEMIC),41,*,*,,,55.5%,*,
BRINKLEY MIDDLE SCHOOL,MS-2520-2520014,280219000375,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),39,*,*,,,55.5%,*,
