school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
MORGANTOWN MIDDLE,,280303000602,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),105,53,94,0,0,0,0,16,0
ROBERT LEWIS MAGNET SCHOOL,,280303000604,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),110,55,98,0,0,0,0,16,0
NATCHEZ EARLY COLLEGE@CO-LIN,,280303001414,902154,DC - COMPUTER PROGRAMMING I,0,0,0,0,0,0,0,0,0
NATCHEZ HIGH SCHOOL,,280303000608,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),12,0,11,0,0,0,0,0,0
KOSSUTH HIGH SCHOOL,,280039000020,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),12,0,0,0,0,0,0,0,0
KOSCIUSKO JUNIOR HIGH SCHOOL,,280234000457,000287,COMPUTER SCIENCE AND ENGINEERING,139,80,84,0,0,0,0,0,0
ASHLAND MIDDLE-HIGH SCHOOL,,280060000049,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),18,0,0,0,0,0,0,0,0
NORTHSIDE HIGH SCHOOL,,280018601411,000283,EXPLORING COMPUTER SCIENCE (CTE),31,0,0,0,0,0,0,0,0
NORTHSIDE HIGH SCHOOL,,280018601411,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,0,0,0,0,0,0,0,0
MCEVANS SCHOOL,,280018501409,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),17,0,17,0,0,0,0,0,0
HOULKA ATTENDANCE CENTER,,280096000108,000287,COMPUTER SCIENCE AND ENGINEERING,36,15,0,0,0,0,0,0,0
ENTERPRISE HIGH SCHOOL,,280144000211,000283,EXPLORING COMPUTER SCIENCE (CTE),35,19,0,0,0,0,0,0,0
ENTERPRISE HIGH SCHOOL,,280144000211,110141,AP COMPUTER SCIENCE A,0,0,0,0,0,0,0,0,0
ENTERPRISE HIGH SCHOOL,,280144000211,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,0,0,0,0,0,0,0,0
QUITMAN HIGH SCHOOL,,280378000725,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),11,0,0,0,0,0,0,0,0
WEST POINT HIGH SCHOOL,,280019101441,000283,EXPLORING COMPUTER SCIENCE (CTE),144,80,123,0,0,0,0,16,0
WEST POINT HIGH SCHOOL,,280019101441,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),51,20,43,0,0,0,0,0,0
COAHOMA COUNTY JR/SR HIGH SCHOOL,,280111000139,000283,EXPLORING COMPUTER SCIENCE (CTE),0,0,12,0,0,0,0,0,0
HERNANDO HIGH SCHOOL,,280132000187,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),164,72,25,13,0,0,0,45,0
HORN LAKE HIGH,,280132000190,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),99,40,67,0,0,0,0,16,0
SOUTHAVEN HIGH SCHOOL,,280132000196,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),78,38,42,0,0,0,0,18,0
DESOTO CENTRAL HIGH SCHOOL,,280132001569,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),113,63,52,0,0,0,0,25,0
LEWISBURG HIGH SCHOOL,,280132001288,110141,AP COMPUTER SCIENCE A,0,0,0,0,0,0,0,0,0
LEWISBURG HIGH SCHOOL,,280132001288,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),73,33,0,0,0,0,0,21,0
CENTER HILL HIGH SCHOOL,,280132001289,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),88,54,46,0,0,0,0,22,0
LAKE CORMORANT HIGH,,280132001357,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),42,15,22,0,0,0,0,11,0
FORREST COUNTY AGRICULTURAL HI SCH,,280151000222,000283,EXPLORING COMPUTER SCIENCE (CTE),54,35,22,0,0,0,0,15,0
HATTIESBURG HIGH SCHOOL,,280180000310,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,14,0,11,0,0,0,0,0,0
PETAL HIGH SCHOOL,,280353001068,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,30,0,0,0,0,0,0,0,0
FRANKLIN HIGH SCHOOL,,280153000224,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,17,0,0,0,0,0,0,0,0
GEORGE COUNTY HIGH SCHOOL,,280156000228,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),38,11,0,0,0,0,0,0,0
GEORGE COUNTY HIGH SCHOOL,,280156000228,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,15,0,0,0,0,0,0,0,0
LEAKESVILLE JR HIGH SCHOOL,,280159001134,000287,COMPUTER SCIENCE AND ENGINEERING,81,40,19,0,0,0,0,0,0
MC LAIN ELEMENTARY SCHOOL,,280159000233,000287,COMPUTER SCIENCE AND ENGINEERING,20,0,0,0,0,0,0,0,0
SAND HILL ELEMENTARY SCHOOL,,280159000234,000287,COMPUTER SCIENCE AND ENGINEERING,35,19,0,0,0,0,0,0,0
GREENE COUNTY HIGH SCHOOL,,280159000232,000283,EXPLORING COMPUTER SCIENCE (CTE),55,24,0,0,0,0,0,0,0
GRENADA HIGH,,280168000262,000283,EXPLORING COMPUTER SCIENCE (CTE),66,30,37,0,0,0,0,12,0
GRENADA MIDDLE SCHOOL,,280168000264,000287,COMPUTER SCIENCE AND ENGINEERING,289,148,158,0,0,0,0,21,0
HANCOCK MIDDLE SCHOOL,,280174001232,000287,COMPUTER SCIENCE AND ENGINEERING,133,0,0,0,0,0,0,26,0
HARRISON CENTRAL HIGH SCHOOL,,280177000288,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),54,21,25,0,0,0,0,0,0
BILOXI HIGH SCHOOL,,280063000053,000283,EXPLORING COMPUTER SCIENCE (CTE),25,0,0,0,0,0,0,0,0
BILOXI HIGH SCHOOL,,280063000053,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,19,0,0,0,0,0,0,0,0
GULFPORT HIGH SCHOOL,,280171000276,110141,AP COMPUTER SCIENCE A,46,0,15,0,0,0,0,0,0
GULFPORT HIGH SCHOOL,,280171000276,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),100,36,55,0,0,0,0,12,0
GULFPORT HIGH SCHOOL,,280171000276,902110,DC - PROGRAMMING IN PYTHON IST 1724,0,0,0,0,0,0,0,0,0
