school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Hamilton High School,MT-0735-1084,301326000389,10152,ADVANCED PROGRAMMING 1,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hamilton High School,MT-0735-1084,301326000389,10152,ADVANCED PROGRAMMING 1,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hamilton High School,MT-0735-1084,301326000389,10152,ADVANCED PROGRAMMING 2,unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hamilton High School,MT-0735-1084,301326000389,10152,ADVANCED PROGRAMMING 2,unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Beaverhead Co High School,MT-0006-0023,300309000041,10157,AP COMPUTER SCIENCE,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Billings Central Catholic HS,MT-9050-9028,unspecified,10157,AP Computer Science - JAVA,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blgs Central Catholic H S,MT-9050-9028,unspecified,10157,AP Computer Science - JAVA,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Billings Central Catholic HS,MT-9050-9028,unspecified,10157,AP Computer Science - JAVA,unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Blgs Central Catholic H S,MT-9050-9028,unspecified,10157,AP Computer Science - JAVA,unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Broadview High School,MT-0979-1293,300492000122,10157,AP Computer Science A,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Big Sky High School,MT-0584-1592,301854000824,10157,AP COMPUTER SCIENCE A FALL 2017 SECTION 1,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Terry High School,MT-0726-0958,302595000736,10152,Coding,unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Terry High School,MT-0726-0958,302595000736,10152,Coding,unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
